"C5_Fe_NO_1" "C5_Fe_NO_2" "C6_Fe_NO_1" "C6_Fe_NO_2" "C5_Fe_YES_1" "C5_Fe_YES_2" "C6_Fe_YES_1" "C6_Fe_YES_2"
"Rv0001" 205.544645 185.444802 16.948817 13.736291 187.399282 191.831779 30.506543 21.263717
"Rvnr01" 27.194588 105.626214 85.45652 57.439113 45.793655 52.965963 45.7064 45.042808
"Rvnt01" 44.568613 49.753332 4.094475 2.119051 45.688264 57.740967 8.084355 5.238249
"RVnc0001" 9.33258 6.1387 0.318268 0 8.265073 3.149662 2.513623 1.628699
"Rvns01" 37316.967832 35684.064021 168035.249351 192309.596195 39459.285293 31484.998562 147714.620611 113453.241028
"Rv0002" 138.679473 113.835561 7.894311 7.198465 129.298577 119.666316 12.794736 10.772856
"RVnc0002" 17.603552 12.587168 3.107602 5.62907 21.436209 20.374275 3.506182 3.180557
"Rvnt02" 108.798749 104.071984 7.263487 7.518278 79.997134 79.069461 10.536557 16.992019
"Rvnr02" 51036.010449 44389.93252 100366.47571 127813.478204 48289.727975 54819.024469 96779.455836 111596.874846
"Rv0003" 92.824178 93.514768 2.289441 1.489558 85.94329 85.578331 3.837725 3.882999
"Rvnr03" 1790.384839 1645.478999 123.831172 91.358752 1828.108428 1649.16305 300.979035 253.476597
"Rvnt03" 72.984254 55.624016 26.466096 26.449846 57.768381 72.252488 26.771599 40.164117
"RVnc0003" 0 0 0 0 0 0 0 0
"Rv0004" 200.491023 200.293147 4.163442 3.892442 184.741423 180.227683 5.758158 5.773219
"Rvnt04" 21.803903 12.346568 0 2.208589 16.450115 28.50666 4.814827 2.183833
"RVnc0004" 805.521193 776.063662 586.434516 567.381691 763.43615 756.873951 805.008043 548.517904
"Rv0005" 1461.121409 1233.502092 105.068313 87.258313 1395.899753 1259.752687 223.856226 169.846353
"Rvnt05" 6.647674 2.16446 0 0 0 5.552738 1.055101 0.957112
"RVnc0005" 55.170246 55.566302 13.659438 16.709241 56.432836 63.901996 30.822787 25.418389
"Rv0006" 972.92653 946.168302 31.448726 25.044712 1017.466595 993.47674 59.216444 53.686122
"Rvnt06" 83.90412 76.052603 2.075282 6.444238 95.154486 93.445727 7.024371 7.434008
"RVnc0006" 0 0.456566 0 0 1.440738 0 0 0
"Rv0007" 370.670496 460.561617 5.794913 7.197827 420.021537 421.835099 12.329115 16.691409
"Rvnt07" 0 0 0 0 0 1.012999 0 0
"Rv0008c" 42.874083 55.638483 5.534085 7.518278 49.401739 50.659222 11.317042 12.744014
"Rvnt08" 1763.830568 2031.80534 466.938442 786.197073 1700.9917 2092.773534 714.144403 720.036806
"RVnc0008" 403.846204 425.698365 25.991889 28.440993 468.268056 499.011458 25.13623 32.682566
"Rv0009" 1027.760392 846.374848 12.279697 10.425424 1000.003293 904.322477 87.33123 64.958105
"Rvnt09" 15.892096 21.915158 3.156158 6.533742 20.490494 22.905042 4.747955 0
"Rvnt10" 0 0 0 0 0 0 0 0
"Rv0010c" 266.228816 233.487318 17.069925 15.092023 234.341989 202.36209 39.521707 27.843876
