"C5_Fe_NO_1" "C5_Fe_NO_2" "C6_Fe_NO_1" "C6_Fe_NO_2" "C5_Fe_YES_1" "C5_Fe_YES_2" "C6_Fe_YES_1" "C6_Fe_YES_2"
"Rv0001" 4654 4836 341 267 4646 3900 544 418
"Rvnr01" 621 2778 1734 1126 1145 1086 822 893
"Rvnt01" 49 63 4 2 55 57 7 5
"RVnc0001" 33 25 1 0 32 10 7 5
"Rvns01" 170208 187456 681034 753002 197067 128944 530619 449270
"Rv0002" 2491 2355 126 111 2543 1930 181 168
"RVnc0002" 51 42 8 14 68 53 8 8
"Rvnt02" 118 130 7 7 95 77 9 16
"Rvnr02" 2379386 2383549 4157877 5115480 2465097 2294792 3553506 4517073
"Rv0003" 1597 1853 35 22 1619 1322 52 58
"Rvnr03" 3059 3238 188 134 3420 2530 405 376
"Rvnt03" 90 79 29 28 78 80 26 43
"RVnc0003" 0 0 0 0 0 0 0 0
"Rv0004" 1680 1933 31 28 1695 1356 38 42
"Rvnt04" 23 15 0 2 19 27 4 2
"RVnc0004" 1113 1235 720 673 1155 939 876 658
"Rv0005" 44024 42805 2813 2257 46052 34081 5312 4443
"Rvnt05" 8 3 0 0 0 6 1 1
"RVnc0005" 50 58 11 13 56 52 22 20
"Rv0006" 36383 40751 1045 804 41661 33358 1744 1743
"Rvnt06" 91 95 2 6 113 91 6 7
"RVnc0006" 0 1 0 0 3 0 0 0
"Rv0007" 5039 7211 70 84 6252 5149 132 197
"Rvnt07" 0 0 0 0 0 1 0 0
"Rv0008c" 279 417 32 42 352 296 58 72
"Rvnt08" 1913 2538 450 732 2020 2038 610 678
"RVnc0008" 612 743 35 37 777 679 30 43
"Rv0009" 8383 7951 89 73 8931 6623 561 460
"Rvnt09" 17 27 3 6 24 22 4 0
"Rvnt10" 0 0 0 0 0 0 0 0
"Rv0010c" 1685 1702 96 82 1624 1150 197 153
"RVnc0010" 47 41 1 5 36 42 6 5
"Rv0011c" 2044 1970 146 67 2016 1369 242 171
"Rvnt11" 3 4 0 2 2 1 1 0
"Rv0012" 1965 2002 192 123 2031 1319 413 432
"RVnc0012" 313 772 9 28 433 539 23 39
"Rvnt12" 0 0 0 0 0 0 0 0
"Rv0013" 1756 1768 111 75 1849 1453 228 242
"RVnc0013" 180 212 210 317 231 198 392 440
"Rvnt13" 86 68 40 37 70 73 43 52
"Rvnt14" 47 51 11 5 64 56 8 9
"Rv0014c" 8622 9095 144 92 9406 7525 318 314
"Rvnt15" 43 40 7 8 62 39 37 40
"Rv0015c" 5209 7749 79 102 6400 7041 311 396
"RVnc0015" 45 67 5 2 62 48 6 4
"Rvnt16" 0 0 0 0 2 0 0 0
"Rv0016c" 5707 6798 124 100 5926 5314 239 261
"Rvnt17" 197 243 10 6 221 143 17 17
"Rv0017c" 5294 4966 95 68 5383 3768 188 241
"Rvnt18" 15 7 2 4 3 1 0 1
"RVnc0018" 3 5 0 0 7 3 1 0
"Rv0018c" 6732 8559 184 191 7684 6766 651 834
"Rvnt19" 22 21 7 4 17 14 9 11
"Rv0019c" 3022 4184 95 119 3510 2978 325 452
"Rvnt20" 2 5 1 2 3 2 4 4
"Rv0020c" 18101 26667 702 794 21014 23150 2299 2944
"Rv0021c" 650 704 26 22 667 493 22 33
"RVnc0021" 1024 2101 221 216 1306 1466 125 175
"Rvnt21" 55 71 7 7 58 58 9 9
"Rv0022c" 35 57 0 1 49 27 1 1
"Rvnt22" 5 4 5 5 0 1 2 2
"Rv0023" 935 1449 8 10 1167 946 47 42
"Rvnt23" 0 0 0 0 0 0 0 0
"Rvnt24" 239 316 16 1 302 196 8 14
"Rv0024" 1246 1843 56 53 1432 1271 72 92
"RVnc0024" 3724 5243 11147 10618 4884 3000 2362 2684
"Rvnt25" 42 42 26 22 33 18 29 10
"Rv0025" 678 686 35 29 724 470 48 61
"Rvnt26" 168 292 15 15 167 208 27 36
"Rv0026" 1313 1515 53 54 1374 1119 91 82
"Rv0027" 315 330 26 15 351 289 43 29
"Rvnt27" 2 0 0 0 2 1 0 0
"Rv0028" 233 190 23 13 201 157 37 33
"Rvnt28" 0 3 0 2 4 4 3 2
"Rv0029" 1126 1423 65 67 1349 1010 186 165
"Rvnt29" 72 74 12 11 81 42 12 7
"Rv0030" 139 141 21 11 140 110 20 28
"Rvnt30" 119 221 53 46 168 166 54 54
"Rvnt31" 199 258 38 25 183 189 33 37
"Rv0032" 461 546 8 13 512 418 24 15
"Rvnt32" 7 18 7 2 13 20 1 2
"Rv0033" 6 8 0 0 6 2 0 0
"Rvnt33" 0 0 0 0 0 0 0 0
"Rv0034" 56 52 0 2 60 28 0 2
"Rvnt34" 0 3 1 1 1 1 0 3
"RVnc0034" 41 49 1 3 41 36 7 2
"Rv0035" 505 498 7 11 521 321 15 17
"RVnc0035" 276 309 63 40 361 240 95 55
"Rvnt35" 2 0 1 4 0 3 8 3
"RVnc0036a" 220097 186866 4813788 3414087 204775 113297 3355259 3193191
"RVnc0036" 1361 1705 8934 6508 1186 1016 9691 10035
"Rv0036c" 2032 2661 64 52 2395 1894 92 123
"Rvnt36" 8 3 1 0 5 4 0 0
"Rv0037c" 1903 2389 99 102 2159 1700 219 308
"Rvnt37" 36 32 9 7 27 26 3 5
"Rv0038" 2663 3233 405 322 2776 2248 401 399
"Rvnt38" 83 78 3 1 95 60 2 5
"Rv0039c" 365 691 6 14 563 303 14 15
"Rvnt39" 6 12 3 6 15 8 3 5
"RVnc0040" 462 479 25 23 424 345 27 45
"Rv0040c" 2913 3776 82 60 3669 3063 102 114
"Rvnt40" 211 242 30 14 174 176 14 19
"Rvnt41" 20 27 0 1 42 20 1 1
"Rv0041" 4361 4333 197 133 4938 3723 299 251
"Rvnt42" 11 22 3 4 28 21 6 7
"Rv0042c" 2457 2350 46 30 2490 1753 79 67
"Rv0043c" 1045 1098 24 18 1124 844 61 44
"Rvnt43" 15 22 1 1 16 11 6 0
"Rv0044c" 1051 1171 33 17 1187 833 52 41
"Rvnt44" 2 3 1 0 6 2 0 0
"Rvnt45" 2 8 0 5 18 9 0 4
"Rv0045c" 928 1044 161 159 1016 849 290 347
"Rv0046c" 4594 4023 599 561 5027 3840 1736 1691
"RVnc0046" 543798 634775 1665655 1914155 580649 462266 1693275 1936490
"Rv0047c" 1657 1650 520 458 1804 1419 1103 959
"RVnc0047" 30 57 0 0 37 26 9 12
"Rv0048c" 465 547 31 32 513 548 37 36
"Rv0049" 1755 2533 204 221 2345 1659 159 177
