Function	Groups	Group Genes
DIM/DIP cell wall layer assembly	Group07	Rv0526|Rv0528|Rv1021|Rv1251c|Rv1410c|Rv1478|Rv1626|Rv2147c|Rv2525c|Rv2864c|Rv2949c|Rv2952|Rv2953|Rv2959c|Rv3201c|Rv3202c|Rv3649|Rv3673c|Rv3717|Rv3807c|Rv3910|Rv3921c|accD2|accD4|aftA|aftB|aftC|aftD|aroG|bacA|ccdA|ccsA|cspA|dacB1|dacB2|ddlA|dinG|dnaB|dprE2|drrB|embA|embB|embC|engA|ercc3|fabG1|fadD1|fadD22|fadD30|fbpB|fbpC|frr|ftsQ|ftsZ|glfT1|glfT2|gyrA|helZ|hupB|inhA|kdtB|lppX|lpqI|mmpL7|papA5|pbpA|pbpB|pknF|pks1|pks12|pks17|pks5|pks6|pks7|pks8|pks9|ppsB|ppsC|ppsD|ppsE|priA|prsA|recB|recC|recD|recG|rhlE|ripA|rodA|rplV|rpsS|ruvA|ruvB|tesA|topA|typA|ubiA
DNA duplex unwinding	Group12	Rv1251c|Rv2681|Rv2752c|Rv2837c|Rv3201c|Rv3202c|Rv3649|dinG|dnaB|dnaE1|dnaQ|engA|ercc3|ftsZ|gpsI|gyrA|helZ|hupB|ligD|mku|pknF|polA|priA|recB|recC|recD|recF|recG|recN|rhlE|rplV|rpsS|ruvA|ruvB|topA|typA|xseA|xseB|xthA
NADPH regeneration	Group00	devB|gnd2|pntAa|pntAb|rpe|tal|tkt|zwf1|zwf2
aerobic respiration	Group10	Rv0161|Rv0247c|Rv0248c|Rv1718|Rv2199c|Rv3032|Rv3198A|aceE|acn|ctaC|ctaD|devB|dlaT|eno|fba|fdxC|fixA|fixB|fum|gabD1|gabD2|gap|glcB|glgP|gltA2|gnd2|icd1|icd2|lpdC|mdh|mqo|nuoA|nuoB|nuoC|nuoD|nuoF|nuoG|nuoH|nuoI|nuoJ|nuoK|nuoL|nuoM|nuoN|pgi|pgk|pntAa|pntAb|prpC|prpD|rpe|sdhA|sdhB|sdhC|sucC|sucD|tal|tkt|tpi|treX|zwf1|zwf2
aspartate family amino acid metabolic process	Group09	Rv1059|Rv1718|Rv1885c|Rv2294|Rv2522c|Rv2949c|Rv3015c|Rv3075c|amiB1|ansA|aroD|aroE|aroG|asd|ask|citE|dapB|dapC|dapD|folC|folD|fum|gadB|gdh|hemA|ilvA|ilvE|lysA|mapA|mapB|mdh|metB|metE|mez|nadA|nadB|nadC|oxcA|thrA|thrB|thrC
carbohydrate derivative metabolic process	Group02	Rv0111|Rv0228|Rv0295c|Rv0386|Rv1021|Rv1230c|Rv1264|Rv1319c|Rv1320c|Rv1565c|Rv1700|Rv2611c|Rv2953|Rv2957|Rv2959c|Rv2983|Rv3032|Rv3137|Rv3382c|Rv3594|Rv3631|Rv3717|Rv3811|Rv3910|aceE|ackA|acpM|adk|aldC|alr|atpD|bacA|cdd|coaA|coaE|dacB1|dacB2|ddlA|deoA|deoD|devB|dlaT|embC|eno|epiA|fabH|fadD22|fba|fbiA|fbiB|fbiC|fbpC|galU|gap|glcB|glfT2|glpD2|glpK|glpX|gmdA|gmk|gnd2|gpdA2|guaA|hpt|iunH|kdtB|lpdC|lpqI|lpqU|manA|mcr|mgtA|mptA|mrsA|nagA|pbpA|pbpB|pgi|pgk|pimA|pknB|pks15|plsB1|pmmA|pmmB|ppk2|prsA|purA|purC|purE|purH|purK|purL|pyrF|pyrH|rmlB|rmlC|rodA|rpe|sucC|tal|tesB2|tkt|tmk|tpi|trpC|ubiA|zwf1|zwf2
carbohydrate metabolic process	Group08	Rv0111|Rv0221|Rv0228|Rv0295c|Rv0895|Rv1524|Rv1526c|Rv1565c|Rv1771|Rv2285|Rv2402|Rv2974c|Rv2983|Rv3031|Rv3032|Rv3137|Rv3401|Rv3807c|aceE|acpM|aftA|aftB|aftC|aftD|bglS|celA1|devB|dlaT|dprE2|eno|fba|fbiA|fbiB|fgd1|galE1|gap|glcB|glfT1|glfT2|glgP|glpD2|glpK|glpX|gnd2|gpdA2|icd1|icd2|lpdC|lpqI|manA|mdh|mrsA|nagA|otsA|pca|pgi|pgk|pgmA|pmmA|pmmB|prpC|prsA|rbsK|rmlB|rmlC|rpe|sdaA|suhB|tal|tgs3|tpi|treX|treY|treZ|ubiA|wbbL1|zwf1|zwf2
carboxylic acid metabolic process	Group06	Rv0161|Rv0295c|Rv0466|Rv0669c|Rv0694|Rv1059|Rv1129c|Rv1683|Rv1716|Rv1718|Rv1769|Rv1771|Rv1867|Rv1885c|Rv2294|Rv2522c|Rv2859c|Rv2949c|Rv2983|Rv3015c|Rv3075c|Rv3137|Rv3329|Rv3382c|Rv3762c|accA1|accD1|accD2|aceE|ackA|acn|acpM|acpS|aldC|alr|amiB1|ansA|aroD|aroE|aroG|asd|ask|aspB|bioB|bioD|bioF1|cbs|cfp21|citE|cobB|cobQ1|cysE|cysK1|dapB|dapC|dapD|dlaT|echA21|echA4|echA6|echA8|echA9|egtD|egtE|eno|entC|etgB|fabG1|fabG4|fabH|fadA3|fadB3|fadD1|fadD10|fadD11|fadD22|fadD30|fadD31|fadD34|fadD6|fadD8|fba|fbiA|fbiB|fbiC|folC|folD|fum|gadB|gap|gcvT|gdh|glcB|glnA1|glnA4|gltS|gnd2|guaA|hadB|hadC|hemA|hisC2|htdX|htdY|htdZ|icd1|icd2|ilvA|ilvC|ilvE|ilvN|ilvX|inhA|leuC|leuD|lpdC|ltp1|lysA|mapA|mapB|mdh|metB|metE|metS|mez|nadA|nadB|nadC|nrp|oxcA|pca|pgi|pgk|pheT|pknA|pknB|pknD|pks1|pks12|pks15|pks17|pks5|pks6|pks7|pks8|pks9|plsB1|ppdK|ppk1|ppnK|ppsB|ppsC|ppsD|ppsE|priA|proA|proC|prpC|prpD|serB2|snoP|snzP|sseB|tesB2|thrA|thrB|thrC|thrS|tpi|trpA|trpB|trpC|trpD|trpS|tyrS
nucleoside monophosphate kinase activity	Group01	adk|cmk|gmk|pyrH|tmk
organic cation transport	Group03	Rv1457c|drrA|drrB|drrC|proV|proW|proX|proZ
