NAME	double-strand break repair via homologous recombination	exonuclease activity	inorganic phosphate transmembrane transporter activity	carbohydrate metabolic process	organic acid metabolic process	generation of precursor metabolites and energy	tricarboxylic acid cycle	double-strand break repair	lysine metabolic process	threonine metabolic process	NADPH regeneration	transport	phosphate ion transport	organelle organization	NADH dehydrogenase (ubiquinone) activity	aerobic respiration	aspartate family amino acid metabolic process	aspartate family amino acid biosynthetic process	primary active transmembrane transporter activity	oxidoreduction-driven active transmembrane transporter activity	organic cation transport	peptide transport	energy derivation by oxidation of organic compounds	cellular component organization	carbohydrate biosynthetic process	exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	exodeoxyribonuclease activity, producing 5'-phosphomonoesters	carboxylic acid metabolic process	cellular component assembly	active transmembrane transporter activity	DNA duplex unwinding	oxoacid metabolic process	dicarboxylic acid metabolic process	cellular carbohydrate metabolic process	cellular polysaccharide metabolic process	cellular respiration	nucleoside monophosphate kinase activity	chromosome organization	transmembrane transport	organic substance transport	Actinobacterium-type cell wall biogenesis	DIM/DIP cell wall layer assembly	carbohydrate derivative metabolic process
double-strand break repair via homologous recombination	1.0	0.27407030056036763	-0.01243339253996095	-0.020183723638245495	-0.020895522388059865	-0.019868610799552613	-0.016949152542376857	0.6619217081850538	-0.013719512195122498	-0.011616650532433525	-0.013719512195122498	-0.02063437926330136	-0.014686248331108367	0.25357142857143045	-0.014686248331108367	-0.0182849936948287	-0.017731806427778034	-0.016536964980544314	-0.018696728072586787	-0.015756893640969178	-0.013125512715339108	-0.013719512195122498	-0.018833376929114014	0.064667710897293	-0.018376722817763858	0.3914590747330941	0.4937833037300173	-0.02087450592885368	-0.019173704633644494	-0.01922217255252546	0.41193021947101993	-0.020888674233276866	-0.01808439383791096	-0.019356196086681206	-0.017597551644989662	-0.0185453491741535	-0.010638297872347456	0.33690088413215546	-0.020460358056265993	-0.01947535771065238	-0.018696728072586787	-0.017130620985008952	-0.020551144325082035
exonuclease activity	0.27407030056036763	1.0	-0.020932623119333478	-0.05921146273188764	-0.0657856093979441	-0.05657902241487519	-0.0379596678529069	0.3682460515378208	-0.024855441442993453	-0.018717098849679387	-0.024855441442993453	-0.06326487263696215	-0.028220957267697803	0.21151271753681272	-0.028220957267697803	-0.045385631143931966	-0.042123738481788436	-0.03595267992862202	-0.048009884387962776	-0.032459063903780234	-0.022972002871501713	-0.024855441442993453	-0.048921352131816566	0.038361196335023905	-0.04595500239348996	0.7630922693266823	0.6005046257359133	-0.06557774625001492	-0.05128596504617169	-0.05163420766257659	0.31169395739747924	-0.065717779175916	-0.044169520985635966	-0.052612767174207674	-0.04137388273652206	-0.047024246877296484	-0.016301579215484845	0.26801078720945215	-0.06165703275529828	-0.05350257617634063	-0.048009884387962776	-0.038882138517617605	-0.06248890466891531
inorganic phosphate transmembrane transporter activity	-0.01243339253996095	-0.020932623119333478	1.0	-0.027798284245093202	-0.029166666666666893	-0.02720406180461995	-0.022012578616350153	-0.01764335223692646	-0.016858442601018913	-0.013790838942698443	-0.016858442601018913	0.08384935539539168	0.7737017627441627	-0.023569023569023732	-0.018342067651263352	-0.024320115011380542	-0.023351171033428795	-0.02132234366600821	0.07495131322701032	-0.020042949176806973	-0.015970340795667937	-0.016858442601018913	-0.025299934742232324	-0.02813852813852804	-0.02448265811716601	-0.01764335223692646	-0.014957264957268486	-0.029125735529458005	-0.025917926565874116	0.26127527216174246	-0.020042949176806973	-0.02915332579022095	-0.023966522952066614	-0.026252496840733025	-0.02311889718552634	-0.024782873264367674	-0.01243339253996095	-0.021681149445064028	0.10622154779969634	-0.02647217720151306	-0.025053950207906624	-0.02231964926265624	-0.02850004626630928
carbohydrate metabolic process	-0.020183723638245495	-0.05921146273188764	-0.027798284245093202	1.0	-0.05868102288021557	0.21429576969099726	0.0634640810929929	-0.038767395626242415	-0.035169459682873556	-0.024022174314751992	0.1076125347561437	-0.23696281510661066	-0.04230873542247081	-0.08661854525263647	-0.04230873542247081	0.025399019459623393	-0.08374714803382068	-0.06243966755350437	-0.09090529480541146	-0.05260622410636844	-0.031513559921215996	-0.035169459682873556	0.06045246631227602	-0.05668971988074849	0.510939510939511	-0.038767395626242415	-0.027798284245093202	-0.06006970020118502	-0.09221376466856941	-0.11342013512714917	-0.05260622410636844	-0.05570432689701554	-0.07143639270306357	0.7061325496867994	0.41142676909906045	0.014981590418553983	-0.020183723638245495	-0.06561974200785169	-0.2124728063814359	-0.1450997513334978	-0.07107065308167629	-0.071839742113746	0.3020515663986694
organic acid metabolic process	-0.020895522388059865	-0.0657856093979441	-0.029166666666666893	-0.05868102288021557	1.0	-0.02971114167812937	0.022222222222222345	-0.030222222222222022	0.0640949554896141	0.042921013412816594	-0.026112759643916985	-0.4020356234096691	-0.04556213017751485	-0.09043478260869563	-0.04556213017751485	-0.018443804034582314	0.167198838896952	0.11964809384164231	-0.12532188841201747	-0.057731958762886434	-0.033283803863298614	-0.03738872403560829	-0.02453637660484991	-0.18624338624338593	-0.05525179856115074	-0.041481481481481196	-0.029166666666666893	0.9726618705035971	-0.015841584158415963	-0.15932203389830502	-0.046539027982326876	0.9909307875894989	0.18728323699421953	-0.07426160337552763	-0.09360465116279083	-0.019512195121951285	-0.020895522388059865	-0.06266471449487561	-0.3560784313725488	-0.16022408963585402	0.07038626609442088	0.06248175182481757	-0.10322580645161294
generation of precursor metabolites and energy	-0.019868610799552613	-0.05657902241487519	-0.02720406180461995	0.21429576969099726	-0.02971114167812937	1.0	0.43450815360336725	-0.03762135922330024	-0.005090619154221565	-0.02357713271644015	0.22797387224385857	-0.023692662782775407	-0.04094743478130424	-0.08109875735775135	0.27276275104319947	0.6044563324837868	-0.05349316153561742	-0.05951943981703658	0.21950512275275427	0.3365149575136767	-0.030752061504122404	-0.03422368057898139	0.7065532481110105	-0.18380544379469324	0.002001000500250552	-0.03762135922330024	-0.02720406180461995	-0.022034719327693172	-0.11784938450398263	0.1788833262240976	-0.05051798393667844	-0.02719217504130961	-0.03719783183908477	0.06241775594350369	-5.330064227320137E-5	0.6497222358782755	-0.019868610799552613	-0.06240214717065633	0.013942680092950977	-0.13024930866685266	-0.10187512081964095	-0.06800109679188382	0.06479576843961243
tricarboxylic acid cycle	-0.016949152542376857	-0.0379596678529069	-0.022012578616350153	0.0634640810929929	0.022222222222222345	0.43450815360336725	1.0	-0.028368794326240152	-0.02639296187683153	-0.01957585644372135	-0.02639296187683153	-0.07427869858809084	-0.03021978021978142	-0.04761904761904726	-0.03021978021978142	0.7810858143607711	-0.04673807205452717	-0.03926096997690615	-0.05409705648369142	-0.03513174404015069	-0.02427921092564325	-0.02639296187683153	0.6738296239447435	-0.07087227414330191	-0.05150214592274732	-0.028368794326240152	-0.022012578616350153	0.025676295277395785	-0.05829285218598217	-0.05874316939890747	-0.03513174404015069	0.023349797934441162	0.04197080291970851	0.037834311806913955	-0.04581673306772829	0.7316267547481419	-0.016949152542376857	-0.04049493813273601	-0.07207207207207252	-0.0611735330836448	-0.05409705648369142	-0.042780748663103	-0.023294509151414396
double-strand break repair	0.6619217081850538	0.3682460515378208	-0.01764335223692646	-0.038767395626242415	-0.030222222222222022	-0.03762135922330024	-0.028368794326240152	1.0	-0.0203504804974541	-0.01604278074866149	-0.0203504804974541	-0.040464844076581956	-0.02255253716043087	0.2635658914728691	-0.02255253716043087	-0.03232098077458855	-0.030631780472238437	-0.027232679215055268	-0.03363006923837695	-0.02517985611510998	-0.019070321811675565	-0.0203504804974541	-0.034074775201134784	0.06348174628967651	-0.03260869565217194	0.3870967741935502	0.4612476370510408	-0.02976299834649972	-0.0352053646269915	-0.03536911371581285	0.4019784172661866	-0.03007248547295258	-0.03169944232462707	-0.03582554517133889	-0.0302333223792279	-0.03314344899015846	-0.014234875444842041	0.3392581143740331	-0.039800995024875115	-0.036235903124421404	-0.03363006923837695	-0.02888086642599355	-0.04014598540145949
lysine metabolic process	-0.013719512195122498	-0.024855441442993453	-0.016858442601018913	-0.035169459682873556	0.0640949554896141	-0.005090619154221565	-0.02639296187683153	-0.0203504804974541	1.0	0.25537979193387467	-0.01931330472102714	-0.036560800376015855	-0.021285745001073685	-0.028662420382166758	-0.021285745001073685	-0.029780921953445373	0.5325723282818343	0.605612753238126	-0.03088881037702488	-0.023610980980041184	-0.018156600680871993	-0.01931330472102714	0.014570367153953183	-0.03571584318171895	-0.030025020850708687	-0.0203504804974541	-0.016858442601018913	0.06757618884035918	-0.03221270612297028	-0.03234974504722985	-0.023610980980041184	0.06522991264279514	0.4281930901649215	-0.032731153891766326	-0.027999458947651858	-0.03047780305836192	-0.013719512195122498	-0.025917926565874945	-0.036018009004502693	-0.03307334633268356	-0.03088881037702488	-0.02683563175549867	-0.03630030250252043
threonine metabolic process	-0.011616650532433525	-0.018717098849679387	-0.013790838942698443	-0.024022174314751992	0.042921013412816594	-0.02357713271644015	-0.01957585644372135	-0.01604278074866149	0.25537979193387467	1.0	-0.015391192817441075	-0.024663258199854106	-0.016618406143776576	-0.02079722703639659	-0.016618406143776576	-0.021379861153775916	0.3876235496347228	0.4240276093647979	-0.02194492254733104	-0.018002571795971204	-0.014647543484891687	-0.015391192817441075	-0.022133415308944904	-0.024275837538625614	-0.02150537634408689	-0.01604278074866149	-0.013790838942698443	0.04527911020136397	-0.02260495156081853	-0.022672349400237882	-0.018002571795971204	0.04368949595534577	0.10266432154256808	-0.02285903594500581	-0.020445958959922017	-0.021736669308278507	-0.011616650532433525	-0.01931330472103403	-0.02441505595116948	-0.023025414105023536	-0.02194492254733104	-0.01981833195705825	-0.024544440312384147
