Function	Groups	Group Genes
homeostatic process	Group15	Rv1286|Rv1465|Rv1619|Rv2025c|Rv2557|Rv2558|Rv3402c|Rv3583c|ahpC|ahpD|bfrA|bkdB|ctpC|ctpV|cydC|cysD|eccA3|glbN|glbO|grpE|hspX|irtA|irtB|kdpF|mbtA|mbtB|mbtI|mpt53|mscL|mymT|nrdH|pckA|phoY2|pks2|relA|sigF|trxA|trxB1|trxC|whiB1|whiB3|whiB4|whiB7
negative regulation of biological process	Group11	Rv0079|Rv0190|Rv0207c|Rv0229c|Rv0298|Rv0299|Rv0792c|Rv1766|Rv1773c|Rv1985c|Rv2011c|Rv2295|Rv2367c|Rv3098A|Rv3180c|Rv3241c|Rv3583c|Rv3642c|Rv3660c|TB31.7|blaI|clgR|crp|csoR|espI|espL|furA|garA|higA|higB|hrcA|hspR|hspX|ideR|mazE3|mazE5|mazE6|mazE9|mazF1|mazF2|mazF3|mazF5|mazF6|mazF9|mce2R|mprA|nrdR|phoP|phoY2|pknG|pknL|ptpA|relB|relE|relF|relG|rnc|rne|rsbW|rshA|uvrA|vapB2|vapB28|vapB3|vapB30|vapB35|vapB43|vapB46|vapC1|vapC10|vapC15|vapC17|vapC2|vapC22|vapC25|vapC28|vapC3|vapC30|vapC31|vapC35|vapC36|vapC4|vapC41|vapC43|vapC46|vapC6|vapC9|whiB1|whiB3|whiB4|whiB7|zur
negative regulation of nucleobase-containing compound metabolic process	Group16	Rv0079|Rv0190|Rv0299|Rv0792c|Rv1766|Rv1773c|Rv1985c|Rv2011c|Rv2295|Rv3098A|Rv3241c|Rv3642c|Rv3660c|blaI|clgR|crp|csoR|espI|espL|furA|garA|higA|higB|hrcA|hspR|hspX|ideR|mazE3|mazE6|mazF1|mazF2|mazF3|mazF5|mazF6|mazF9|mce2R|mprA|nrdR|phoP|phoY2|pknG|pknL|ptpA|relE|relG|rsbW|rshA|uvrA|vapB2|vapB3|vapC15|vapC2|vapC22|vapC25|vapC28|vapC30|vapC31|vapC35|vapC41|vapC43|vapC46|whiB1|whiB3|whiB4|whiB7|zur
nitrogen cycle metabolic process	Group07	Rv0818|argG|glbN|narG|narH|narI|narK2|narX|nirB|nirD|ureA|ureB|ureC
positive regulation of macromolecule biosynthetic process	Group14	Rv0298|Rv0818|Rv1904|Rv2050|Rv2638|Rv2884|clgR|crp|devR|dnaK|hbhA|higA|katG|kdpE|mazE5|mazE9|mazF3|mazF6|mprA|phoP|prrA|relB|relF|rpsD|rseA|rsfA|sigB|sigF|trcR|vapB2|vapB22|vapB28|vapB30|vapB35|vapB43|vapB46|vapC3|zur
regulation of cellular macromolecule biosynthetic process	Group03	Rv0079|Rv0144|Rv0232|Rv0238|Rv0258c|Rv0273c|Rv0302|Rv0328|Rv0653c|Rv1019|Rv1167c|Rv1404|Rv1685c|Rv1766|Rv1773c|Rv1985c|Rv3050c|Rv3058c|Rv3066|Rv3160c|Rv3241c|infA|infC|mazF3|prfB|rpsD|vapB2|vapB22|vapC2|vapC22
regulation of gene expression	Group17	PE_PGRS11|Rv0079|Rv0081|Rv0135c|Rv0142|Rv0144|Rv0148|Rv0190|Rv0195|Rv0207c|Rv0208c|Rv0229c|Rv0232|Rv0238|Rv0258c|Rv0273c|Rv0275c|Rv0298|Rv0302|Rv0324|Rv0328|Rv0406c|Rv0452|Rv0465c|Rv0472c|Rv0474|Rv0485|Rv0494|Rv0576|Rv0653c|Rv0767c|Rv0775|Rv0792c|Rv0802c|Rv0818|Rv0825c|Rv0828c|Rv0880|Rv0888|Rv0918|Rv0958|Rv1005c|Rv1019|Rv1049|Rv1148c|Rv1152|Rv1159A|Rv1167c|Rv1219c|Rv1255c|Rv1364c|Rv1395|Rv1404|Rv1433|Rv1461|Rv1586c|Rv1647|Rv1685c|Rv1765c|Rv1766|Rv1773c|Rv1828|Rv1829|Rv1870c|Rv1904|Rv1945|Rv1977|Rv1985c|Rv2011c|Rv2015c|Rv2034|Rv2050|Rv2132|Rv2175c|Rv2204c|Rv2212|Rv2293c|Rv2367c|Rv2372c|Rv2377c|Rv2413c|Rv2625c|Rv2630|Rv2631|Rv2638|Rv2640c|Rv2642|Rv2646|Rv2651c|Rv2659c|Rv2842c|Rv2884|Rv2912c|Rv2961|Rv2979c|Rv3007c|Rv3050c|Rv3058c|Rv3060c|Rv3066|Rv3098A|Rv3160c|Rv3180c|Rv3204|Rv3241c|Rv3249c|Rv3334|Rv3404c|Rv3405c|Rv3557c|Rv3640c|Rv3642c|Rv3644c|Rv3645|Rv3660c|Rv3668c|Rv3733c|Rv3736|Rv3749c|Rv3788|Rv3789|Rv3830c|Rv3833|adoK|ahpC|ahpD|alaS|alkA|apt|argG|argR|asnB|atpB|bkdA|blaI|blaR|clgR|clpP1|cmaA2|cmtR|cpsY|crp|csoR|cya|cydC|cyp51|cysQ|cysS1|deaD|deoC|devR|devS|dfp|dnaE2|dnaJ1|dnaJ2|dnaK|dosT|end|erg3|espI|fic|fmt|folE|ftsH|furA|garA|gcvH|glbN|glbO|glf|glgB|glmS|glnE|greA|groEL1|groES|guaB1|guaB2|guaB3|hbhA|higA|higB|hrcA|hsaA|hsaB|hsaD|hspR|hspX|htpX|htrA|ideR|ileS|infA|infC|katG|kdpD|kdpE|kmtR|kshA|kshB|kstD|kstR|ldtA|ldtB|ligB|lipB|lprQ|lysX|malQ|mazE2|mazE6|mazE9|mazF1|mazF2|mazF3|mazF5|mazF6|mazF9|mbtA|mbtB|mbtE|mbtF|mbtG|mbtI|mbtK|mbtL|mbtN|mce1R|mce2R|miaA|mmsA|moaR1|moaX|mobA|mpa|mprA|mprB|mpt53|msrA|murA|murE|murF|murX|nadD|nadR|narG|narK2|nmtR|nrdB|nrdE|nrdF1|nrdF2|nrdH|nrdI|nrdR|nrdZ|nth|nusA|nusG|ogt|oplA|oxyS|parD1|pepA|pepD|pfkA|pfkB|phoP|phoR|phoY2|pip|pknG|pknK|pknL|pncB2|prcA|prfB|proS|prrA|prrB|ptpA|pup|purB|purF|purT|purU|recO|relA|relE|relF|relG|relJ|rfe|rip|rnc|rne|rplK|rplN|rplS|rplT|rplU|rplY|rpmH|rpmI|rpmJ|rpoA|rpoB|rpoZ|rpsB|rpsD|rpsF|rpsG|rpsJ|rpsK|rpsL|rpsM|rpsO|rpsT|rsbW|rseA|rsfA|rshA|sigA|sigB|sigC|sigE|sigF|sigG|sigL|smtB|sppA|thiO|thyA|trcR|truA|trxA|trxB1|trxC|udgA|udgB|upp|ureA|ureB|ureC|uvrA|vapB1|vapB10|vapB14|vapB2|vapB22|vapB29|vapB43|vapB9|vapC1|vapC10|vapC14|vapC15|vapC17|vapC2|vapC22|vapC25|vapC28|vapC3|vapC30|vapC31|vapC35|vapC36|vapC4|vapC41|vapC43|vapC46|vapC6|vapC9|whiB1|whiB3|whiB4|whiB7|zur
response to decreased oxygen levels	Group06	PE_PGRS11|Rv0465c|Rv0569|Rv1760|Rv2005c|Rv2484c|Rv2629|Rv3087|Rv3134c|Rv3371|Rv3740c|TB31.7|acg|ald|cmaA2|devR|dosT|espG1|fdxA|groEL2|higA|higB|hrp1|hspX|icl1|kshB|narG|narH|narK2|narX|pncB2|sigB|sigC|sigF|sigG|tgs1|tgs2|tgs4|trxB1|vapC15
response to host iron concentration	Group02	PPE37|hisE|irtA|irtB
response to inorganic substance	Group08	Rv0190|Rv1760|Rv2484c|Rv2642|Rv3087|Rv3371|Rv3740c|bfrA|cadI|cmtR|csoR|ctpG|ctpV|dnaK|furA|glnE|hsp|hspX|katG|kmtR|lpqS|mpa|mymT|narG|narH|sigA|sigC|sigE|sigG|smtB|tgs1|tgs2|tgs4|trxB1|whiB1|zur
