NAME	sulfate assimilation	response to hypoxia	DNA-binding transcription factor activity	ribonuclease activity	nucleobase-containing compound metabolic process	transcription, DNA-templated	regulation of transcription, DNA-templated	steroid biosynthetic process	cellular iron ion homeostasis	response to oxidative stress	macromolecule biosynthetic process	response to temperature stimulus	cellular response to starvation	response to pH	response to heat	response to toxic substance	negative regulation of metabolic process	response to organic substance	response to inorganic substance	response to metal ion	cellular response to iron ion starvation	response to acidic pH	gene expression	regulation of gene expression	positive regulation of macromolecule biosynthetic process	positive regulation of macromolecule metabolic process	negative regulation of macromolecule metabolic process	RNA metabolic process	heterocycle biosynthetic process	nonribosomal peptide biosynthetic process	regulation of nucleobase-containing compound metabolic process	regulation of metabolic process	siderophore biosynthetic process	aromatic compound biosynthetic process	catechol-containing siderophore biosynthetic process	urea metabolic process	cellular homeostasis	regulation of cellular metabolic process	negative regulation of cellular metabolic process	regulation of cellular biosynthetic process	negative regulation of cellular biosynthetic process	positive regulation of cellular biosynthetic process	response to nutrient levels	response to lipid	cellular nitrogen compound metabolic process	nucleobase-containing compound biosynthetic process	response to decreased oxygen levels	regulation of growth	homeostatic process	macromolecule metabolic process	cellular nitrogen compound biosynthetic process	secondary metabolite biosynthetic process	negative regulation of transcription, DNA-templated	positive regulation of transcription, DNA-templated	negative regulation of growth	negative regulation of nucleobase-containing compound metabolic process	positive regulation of nucleobase-containing compound metabolic process	response to copper ion	positive regulation of biological process	negative regulation of biological process	positive regulation of cellular process	negative regulation of cellular process	chemical homeostasis	regulation of cellular process	chaperone cofactor-dependent protein refolding	regulation of nitrogen compound metabolic process	negative regulation of nitrogen compound metabolic process	positive regulation of nitrogen compound metabolic process	negative regulation of RNA metabolic process	transition metal ion homeostasis	cellular chemical homeostasis	regulation of macromolecule metabolic process	cellular response to chemical stimulus	response to nitric oxide	nitrogen cycle metabolic process	response to host iron concentration	regulation of primary metabolic process	nucleic acid metabolic process	inorganic ion homeostasis	transcription regulator activity	organic cyclic compound biosynthetic process	response to nitrogen compound	response to oxygen-containing compound	cellular response to oxygen-containing compound	regulation of cellular macromolecule biosynthetic process	positive regulation of transcription regulatory region DNA binding	reactive nitrogen species metabolic process
sulfate assimilation	1.0	-0.02220923436586722	-0.02387309564944306	-0.021850899742930644	-0.017040221062327398	-0.02461359561994282	-0.024586100921978753	-0.014585232452145474	-0.017057569296376033	0.13114754098360445	-0.02498836977470609	-0.018298261665142635	0.14362657091561865	-0.017514314584033876	-0.017514314584033876	-0.020539152759949577	-0.022575141094632097	-0.018298261665142635	-0.02203856749311394	-0.01863715783342956	-0.015325670498084977	-0.016547574276046532	-0.025012893243940376	-0.024789291026276333	-0.019957234497506245	-0.020358486390792817	-0.022365110427732936	-0.02493447616349093	-0.02489962797893136	-0.016547574276046532	-0.02461359561994282	-0.024838861814180147	-0.015325670498084977	-0.024909865617830082	-0.013732221677290594	-0.010165184243961255	-0.021156025689459627	-0.024734366835046272	-0.02212587830766944	-0.02467317252807933	-0.021643557659789373	-0.019957234497506245	0.1371484953132712	-0.01156737998843644	-0.018514971589095416	-0.024856227565710765	-0.022365110427732936	-0.021947013638500504	-0.021643557659789373	-0.025285946848770568	-0.025078369905955883	-0.017925736235598042	-0.02086677367576109	-0.019230769230770096	-0.019957234497506245	-0.02128830978161017	-0.019492177481404884	-0.014585232452145474	-0.02220923436586722	-0.0236051502145918	-0.020539152759949577	-0.022365110427732936	-0.019230769230770096	-0.0248891538432878	-0.01156737998843644	-0.02471969630087386	-0.021850899742930644	-0.020358486390792817	-0.021015761821366972	-0.018298261665142635	-0.017925736235598042	-0.024808464064209855	0.09207708779443069	-0.017057569296376033	-0.016547574276046532	-0.010165184243961255	-0.02471969630087386	-0.025057778859019837	-0.01863715783342956	-0.024004683840748813	-0.0249622822658073	-0.01863715783342956	-0.021015761821366972	-0.01597444089456711	-0.02141327623126435	-0.010165184243961255	-0.015325670498084977
response to hypoxia	-0.02220923436586722	1.0	-0.02069873667750326	-0.021284634760704704	-0.07840920768677428	-0.056883842845350384	-0.05453205600589478	0.016218243179899526	-0.03975935129479569	-0.024183523561983875	-0.0813781893620206	0.11084876351435319	-0.019032821907166736	0.039418998243284604	0.1211705728608777	0.0030270270270265544	-0.0654245243009416	-0.04722256741642917	0.29684908789386394	-0.010675576562625841	-0.031469979296065265	0.04756622443093572	-0.09403669724770639	-0.07251264755480626	0.011752740422645881	0.005850305312809478	-0.06105484985072833	-0.06475614980496469	-0.0717853192851734	-0.03709455561964692	-0.056883842845350384	-0.06541161455009556	-0.031469979296065265	-0.0728744939271255	-0.02541441742703038	-0.015408008109479654	-0.03999454929481455	-0.05480364469547585	-0.056366228801989035	-0.0620651266351236	-0.04774210220298539	0.011752740422645881	-0.021647670771819668	-0.01887635984302801	-0.08801731488161596	-0.06721733767097617	0.9720775039512961	0.06560741270482888	-0.04774210220298539	-0.08860713638833528	-0.09146968139773885	-0.04481887110362154	-0.03579434015130321	0.021306818181817143	0.04768900440727752	-0.042009746261133546	0.018022917071275353	-0.028499109402830684	-7.79283059584374E-4	-0.026910656620021196	0.0030270270270265544	-0.06105484985072833	-0.0539772727272731	-0.048253087798056364	0.028513238289204226	-0.0533487733283064	-0.05132241813601927	0.005850305312809478	-0.037923531240285004	-0.04722256741642917	-0.04481887110362154	-0.07428377307213235	0.05093513728611329	0.3345540151713312	0.08989661445622817	-0.015408008109479654	-0.06619449007621282	-0.07965691140848999	-0.04954771412272864	-0.028662170639899613	-0.0680511041840455	0.3003015239181816	0.32452595585949706	0.051861221539574114	-0.07560684440907216	0.03294475418145	0.10020703933747488
DNA-binding transcription factor activity	-0.02387309564944306	-0.02069873667750326	1.0	-0.10925542260369492	0.3021634739505345	0.6862125453067963	0.7009091859128437	-0.03129826006383146	-0.04542737597130892	0.03663207744271832	0.451228531514504	0.03734772777007886	-0.04558417988544985	-0.02524890678657037	0.021888973985225553	-0.08281122309997256	0.11678977442411498	-0.009045152819315762	0.1246246246246248	0.125446299334169	-0.03491844704801312	-0.04198157029151125	0.43318362167932173	0.5847391826074679	0.1916568006128559	0.18185560408900653	0.12836026963372069	0.4895775371313616	0.5134628250545641	-0.018027970974464576	0.6862125453067963	0.5535033446724961	-0.01056742476453003	0.5065176908752329	-0.002855140550782183	-0.01619088197699232	-0.09384371141294777	0.6179461663551856	0.14039811918719056	0.6533169594746998	0.16157935351110334	0.1916568006128559	-0.04879303892215532	-0.020064947065501337	0.20605978445062015	0.5422626641227407	-0.007228132867700893	-0.11170134587523967	-0.10426133927805938	0.20277754877198764	0.38306451612903236	0.017989314249301405	0.16768824661088988	0.2069260367678491	-0.07409986767880786	0.15412570878122492	0.20175831428100025	0.04236590136929935	0.11670301633677632	0.041073099719247774	0.17706347044402082	0.12836026963372069	-0.06498503634031685	0.5205076938371976	-0.020064947065501337	0.626577943047265	0.13276394232802025	0.18185560408900653	0.1631021387167703	-0.055438033408709154	-0.05215430616146278	0.5728043546529885	-0.09912612495108945	-0.04542737597130892	-0.018027970974464576	-0.01619088197699232	0.626577943047265	0.39913955155907843	-0.058670269227058085	0.9545006518075737	0.4700111108781787	-0.058670269227058085	-0.006396162302617585	-0.03847906435117177	0.2326855354115039	-0.01619088197699232	-0.01056742476453003
ribonuclease activity	-0.021850899742930644	-0.021284634760704704	-0.10925542260369492	1.0	0.13444946589975362	-0.09870747201478859	-0.09746914871365789	-0.02791174961518647	-0.038625390514058604	-0.057564397145965944	-0.0963161851573408	-0.04563145886458087	-0.053858018258368175	-0.04104945437659592	-0.04104945437659592	-0.02604286702005023	0.1957106936843666	-0.04563145886458087	-0.07911576497963954	-0.04779896318425534	-0.03075531433740266	-0.03610561374716469	-0.00826671131388393	0.003790222772277285	-0.01910750997702106	-0.02380487804878032	0.20934372889680133	0.23205822997210945	-0.1123050422432887	-0.03610561374716469	-0.09870747201478859	-0.0030925284512621316	-0.03075531433740266	-0.11281729865246065	-0.024946281641423006	-0.015234681303911934	-0.06881098662811791	-0.07860450091525792	0.04146598194634995	-0.0745663437711195	0.023408175800177792	-0.01910750997702106	-0.05574227395688115	-0.018616875650222284	0.08889469899993468	-0.1101538986437911	-0.024924795874517843	0.39072478957193824	-0.07425100661980535	0.0873878231739452	-0.10298661174047405	-0.043383157127232286	-0.03031431550722368	-0.05190839694656502	0.4808320232192528	-0.0022792834502655224	-0.053858018258368175	-0.02791174961518647	0.03879093198992522	0.3376839766731461	-0.02604286702005023	0.03364233531831274	-0.05190839694656502	-0.08920859904639081	-0.018616875650222284	-0.07762867797163767	0.04992696853007548	-0.02380487804878032	0.0026411356883461025	-0.04563145886458087	-0.043383157127232286	0.0011422044545971028	-0.07160909856781823	-0.038625390514058604	-0.03610561374716469	-0.015234681303911934	-0.07762867797163767	0.18341428457679745	-0.04779896318425534	-0.11206688640565918	-0.11546946699611757	-0.04779896318425534	-0.06734896005282191	-0.03348434114634719	0.062342038753159607	-0.015234681303911934	-0.03075531433740266
nucleobase-containing compound metabolic process	-0.017040221062327398	-0.07840920768677428	0.3021634739505345	0.13444946589975362	1.0	0.508277242132072	0.4960773107497272	-0.03357731483851147	-0.05039176524811805	-0.023071598861801053	0.42521087651280987	0.01029739491277955	-0.06355877905635719	-0.038310840226382224	0.0024072319393582038	-0.06016310201569466	0.12936065194478	-0.038576807807577	-0.037293881954076145	-0.0020494953117794926	-0.03777931352222983	-0.03804500883279132	0.4581061241610738	0.4612136377854237	0.06660001538106582	0.06636067591476696	0.133782186359665	0.7088978396191871	0.613603700122815	-0.03804500883279132	0.508277242132072	0.4523536165327209	-0.029639867925977125	0.6051909354661648	-0.02123902863430487	-0.016780068552719105	-0.0851849951249551	0.46177481512342455	0.10552544375658245	0.47060659660805326	0.10201776454279403	0.06660001538106582	-0.06777054390731524	-0.012842487656373797	0.7845013154747669	0.6472108381842387	-0.07868633396720966	0.040422198823801304	-0.10206910715202547	0.5054892474547438	0.5153203342618384	-0.034371478332138064	0.10270880361173816	0.0710332103321032	0.0502960855187265	0.11460391593317763	0.07498910787052465	-0.009162102676971835	0.06864659336142229	0.13907797029702973	0.06216340975534711	0.09292285552757366	-0.07564575645756468	0.3894041119151492	-0.0047072066310214706	0.4701931587442078	0.10995275267050136	0.06636067591476696	0.10667282382821514	-0.06301390916775529	-0.05880545026124368	0.4651490260502231	-0.11810902371419772	-0.0422491934244893	-0.03804500883279132	-0.016780068552719105	0.4701931587442078	0.833000735216889	-0.06722344622636683	0.326271186440678	0.5588420060726625	-0.05907670236204339	-0.056491957207727345	-0.033841900471021924	0.061441330458885224	-0.008645828004297319	-0.029639867925977125
transcription, DNA-templated	-0.02461359561994282	-0.056883842845350384	0.6862125453067963	-0.09870747201478859	0.508277242132072	1.0	0.9837812106855867	-0.03258342286291522	-0.04818591415698363	0.020593913762985992	0.7161351375081705	0.044865778111507285	-0.05973833621328067	-0.021960364220674593	0.03815495132171788	-0.04905128088456112	0.22503135332345228	-0.014830110756523365	0.04748786566968408	0.055622242661386975	-0.03652574058096059	-0.02919152176672152	0.6922313922246511	0.8528858118240116	0.19600992920842128	0.18694831679551965	0.23816170016834776	0.7658649463571979	0.7961248041031487	-0.02919152176672152	0.967806524184477	0.8157974387609197	-0.021282714984181893	0.787381473377097	-0.013260379787576439	-0.01652811895039965	-0.049324334435748164	0.89140874844165	0.25154729042568647	0.9314511225832126	0.2603559034187404	0.19600992920842128	-0.06343885976106628	-0.0051220540084933935	0.3605393896380412	0.8319064696005471	-0.05010144030849364	-0.0183961160505385	-0.06367865317876378	0.35528383730433133	0.624078624078624	-0.010894648435660076	0.27419136146556783	0.1950675769820259	-0.037878091385492314	0.27431912418339655	0.19047765983707732	0.013309173708769887	0.20561018348225285	0.1574564723694171	0.18246348455203185	0.23816170016834776	-0.07078166364776367	0.7756900429360049	-0.0051220540084933935	0.9012734343511366	0.2511993662064815	0.18694831679551965	0.28378378378378377	-0.05960202740754645	-0.05582329947724495	0.8388139137046188	-0.11327654640324665	-0.03310410244249438	-0.02919152176672152	-0.01652811895039965	0.9012734343511366	0.6462254851338284	-0.06335448267261161	0.727826031826539	0.7406711807443286	-0.04848239200586153	-0.017027027027027016	-0.04044006432199233	0.18454265709316325	-0.01652811895039965	-0.021282714984181893
regulation of transcription, DNA-templated	-0.024586100921978753	-0.05453205600589478	0.7009091859128437	-0.09746914871365789	0.4960773107497272	0.9837812106855867	1.0	-0.0325352574614623	-0.048080651415277176	0.022984192504339196	0.7012915851272016	0.04726523177220682	-0.05918203436274592	-0.021183098591549085	0.040241448692152966	-0.047800259884908	0.23259656496847603	-0.013709793394372203	0.051549145299145664	0.05833280264917548	-0.03646522570210258	-0.02876741206804254	0.677621796976075	0.8673554514535069	0.20197945494629227	0.1928432818442912	0.24582772149675006	0.7505932510155653	0.7806313810054267	-0.02876741206804254	0.9837812106855867	0.8298751704605055	-0.020879282458461663	0.771949098233086	-0.012872216095208416	-0.01651571656899305	-0.04771201952410007	0.9063338642462855	0.25932772363614853	0.9469020638065765	0.26809675672423156	0.20197945494629227	-0.06286090886266595	-0.004743502562486219	0.35105102979687164	0.8161887999000177	-0.04746149792118049	-0.015603829489451139	-0.06197725494915416	0.3459046066808233	0.6102362204724409	-0.009782852744009531	0.28195754354704905	0.2008534850640114	-0.036680894976312106	0.28220523187766977	0.1962235625757886	0.014398163332240518	0.21261606484893175	0.16498343702027973	0.18832374234267707	0.24582772149675006	-0.0705547652916073	0.7893953240032446	-0.004743502562486219	0.9163231295500394	0.258852003466101	0.1928432818442912	0.29177572668411633	-0.05944106226930628	-0.05568207332328267	0.8531294792164357	-0.11269653730800674	-0.03266770065916987	-0.02876741206804254	-0.01651571656899305	0.9163231295500394	0.6321175297680631	-0.06317264217028584	0.7429099401996766	0.7256064903893836	-0.04798446156785334	-0.01487808238049306	-0.0403658973273869	0.19076615468508595	-0.01651571656899305	-0.020879282458461663
steroid biosynthetic process	-0.014585232452145474	0.016218243179899526	-0.03129826006383146	-0.02791174961518647	-0.03357731483851147	-0.03258342286291522	-0.0325352574614623	1.0	-0.020539152759947756	-0.024894420982440404	-0.03324344635515656	-0.022365110427730556	-0.02417495029821137	-0.02120501580181328	-0.02120501580181328	-0.025806451612902088	-0.029104446042556402	0.06653620352250837	-0.028218694885360263	-0.022873481057900557	-0.01807909604519857	-0.01980420839428047	-0.033286863270777275	-0.03289203190527089	-0.024894420982440404	-0.025521880851651416	-0.028756290438533696	-0.03314813070910626	-0.033086570816763264	-0.01980420839428047	-0.03258342286291522	-0.032979361807602754	-0.01807909604519857	-0.03310464989654789	-0.015902314354680737	-0.011307420494696139	-0.026787849796700222	-0.032795404024365364	-0.028361998754372685	-0.032687909742338754	-0.027574321413182258	-0.024894420982440404	-0.024547407180114826	0.14278712628655693	-0.03376606766003715	-0.033009982444225414	0.014108554996405948	-0.028068768482780462	-0.027574321413182258	-0.03377219300412982	-0.03340292275574107	-0.02181110029210861	-0.026325781546639566	-0.023774145616642994	-0.024894420982440404	-0.027000290951410145	-0.02417495029821137	-0.01705756929637335	-0.028499109402830684	-0.030839320133169153	-0.025806451612902088	-0.028756290438533696	-0.023774145616642994	-0.03306807915547676	-0.013069759843158803	-0.03276961788284892	-0.02791174961518647	-0.025521880851651416	-0.02656336469286231	-0.022365110427730556	-0.02181110029210861	-0.03292579590848539	-0.027201632097926143	-0.020539152759947756	-0.01980420839428047	-0.011307420494696139	-0.03276961788284892	-0.03336640278593238	-0.022873481057900557	-0.03152482099091743	0.05380879637018618	-0.022873481057900557	0.03209739900387369	-0.01898884405411838	-0.027201632097926143	-0.011307420494696139	-0.01807909604519857
cellular iron ion homeostasis	-0.017057569296376033	-0.03975935129479569	-0.04542737597130892	-0.038625390514058604	-0.05039176524811805	-0.04818591415698363	-0.048080651415277176	-0.020539152759947756	1.0	-0.033077377436504754	-0.049643517296012435	-0.028756290438534733	0.5673016537575886	-0.026866442779641724	-0.026866442779641724	-0.03470715835140841	-0.04094750624925652	0.04744787922358029	0.004084967320262757	0.043940795559669475	0.8539944903581266	-0.024656766601288398	-0.049740401256329565	-0.04886391399951145	-0.033077377436504754	-0.03419438766028669	-0.04026170105687002	-0.04943125965454311	-0.03770007656688634	0.24264499859904792	-0.04818591415698363	-0.04905689668555458	0.2699724517906329	-0.026398355512279505	0.19561551433389174	-0.012738853503187531	0.5853976531942632	-0.04865096359743064	-0.03949299533022039	-0.04841477734622022	-0.037982195845698175	-0.033077377436504754	0.5482954545454547	0.10439354111904187	-0.03041385948026956	-0.04912468057515544	-0.04026170105687002	-0.038926734325039174	0.5281899109792283	-0.05083196973882735	-0.021875000000000054	0.2093485827946298	-0.03565306822077542	-0.031128404669262116	-0.033077377436504754	-0.03690154286623125	-0.0318191333472881	-0.020539152759947756	-0.03975935129479569	-0.04446690247599855	-0.03470715835140841	-0.04026170105687002	0.7937743190661476	-0.049253456221198255	-0.015020653398421381	-0.04859423811176643	-0.038625390514058604	-0.03419438766028669	-0.03609022556390851	0.8856937455068294	0.9209348582794636	-0.04893846707448735	0.012115563839704878	-0.025806451612904395	-0.024656766601288398	0.24044585987260764	-0.04859423811176643	-0.049918216514206075	0.8529139685476407	-0.04590622813156059	-0.02790064647839448	-0.02960222016651114	0.017042606516292864	0.06963136337039572	-0.03727865796831213	-0.012738853503187531	-0.02203856749311394
response to oxidative stress	0.13114754098360445	-0.024183523561983875	0.03663207744271832	-0.057564397145965944	-0.023071598861801053	0.020593913762985992	0.022984192504339196	-0.024894420982440404	-0.033077377436504754	1.0	-0.013268407464295785	0.2502720348204559	0.11289793239251833	0.02603369065849932	0.2086523736600308	0.2771667399912021	0.06998119908084384	-0.03808487486398275	0.16403785488958939	0.07280438239971657	-0.027131782945735802	0.033238751520067375	0.004639486478756986	0.03037187612100887	0.1033834586466159	0.18999100988912118	0.07790786738155252	-0.008246994005336166	-0.0050280132164917	0.033238751520067375	0.03521191505010547	0.036877595336965135	0.041343669250647794	-0.005971422478139991	0.050528249885163995	-0.014289359530494554	0.20489255304770843	0.03652471896025773	0.08662683823529439	0.015371777416663554	0.10327108660233206	0.1033834586466159	0.10803013303413918	-0.017224409448820387	-0.027928626842513533	-0.0010493179433366667	0.008316008316008063	-0.058236272878536686	0.18298032334879158	-0.014734227095558302	-0.02177293934681187	0.08195194635872449	0.1277254184836138	0.11800302571860902	-0.046052631578948115	0.114793213149523	0.1650804069576652	0.04578795287841876	0.11956153237653902	0.051591912619101996	0.18389793224812964	0.07790786738155252	-0.04236006051437116	0.08826304710749783	-0.017224409448820387	0.03815728245695685	0.09626315152981155	0.18999100988912118	0.12324234904880131	-0.03808487486398275	-0.0365058670143422	0.04066760695815717	0.44166991806476774	-0.033077377436504754	-0.031211998378595993	-0.014289359530494554	0.03815728245695685	-0.010238188442892268	-0.039582965188195526	0.04990478691969232	-0.010831174947021432	0.07280438239971657	0.1670802315963589	0.2363750261014844	-0.05462348809988318	0.06685378923194639	0.041343669250647794
