ID	Ontology Source	Term	GOLevels	GOGroups	Nr. Genes	% Associated Genes	Term PValue	Term PValue Corrected with Benjamini-Hochberg	Group PValue	Group PValue Corrected with Benjamini-Hochberg	Associated Genes Found	All Associated Genes	OverViewTerm
GO:0000103	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	sulfate assimilation	[4]	[Group00]	6	100.0	9.937455819972504E-4	0.0062624721582468235	{Group00=9.937455819972504E-4}	{Group00=0.0016261291341773188}	[Rv1286, Rv1739c, cysD, cysH, cysQ, sirA]	[Rv1286, Rv1739c, cysD, cysH, cysQ, sirA]	TRUE
GO:0001666	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	response to hypoxia	[3, 5]	[Group06]	38	65.51724	8.28702147047157E-8	1.5377028728541691E-6	{Group06=1.7503770495289293E-8}	{Group06=1.5753393445760363E-7}	[PE_PGRS11, Rv0465c, Rv0569, Rv1760, Rv2005c, Rv2484c, Rv2629, Rv3087, Rv3134c, Rv3371, Rv3740c, TB31.7, acg, ald, cmaA2, devR, dosT, espG1, fdxA, groEL2, higA, higB, hrp1, hspX, icl1, kshB, narG, narK2, narX, pncB2, sigB, sigC, sigG, tgs1, tgs2, tgs4, trxB1, vapC15]	[PE_PGRS11, Rv0221, Rv0465c, Rv0560c, Rv0569, Rv0895, Rv1125, Rv1129c, Rv1425, Rv1760, Rv2005c, Rv2257c, Rv2258c, Rv2285, Rv2484c, Rv2629, Rv3087, Rv3134c, Rv3371, Rv3480c, Rv3740c, TB16.3, TB31.7, acg, ald, bfrB, cmaA2, devR, dosT, espG1, fdxA, gmdA, groEL2, higA, higB, hrp1, hspX, icl1, kasB, kshB, narG, narK2, narX, pncB2, ponA1, ppk1, scoB, sigB, sigC, sigG, tgs1, tgs2, tgs3, tgs4, trxB1, tuf, vapB15, vapC15]	FALSE
GO:0003700	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	DNA-binding transcription factor activity	[7, 8, 9, 10, 11, 12]	[Group17]	76	60.8	4.5776404559442816E-12	1.0920942230609929E-10	{Group17=0.3828075551218228}	{Group17=0.3828075551218228}	[Rv0081, Rv0135c, Rv0144, Rv0190, Rv0232, Rv0238, Rv0302, Rv0324, Rv0328, Rv0452, Rv0465c, Rv0472c, Rv0474, Rv0494, Rv0576, Rv0653c, Rv0767c, Rv0792c, Rv0818, Rv0880, Rv1019, Rv1049, Rv1152, Rv1167c, Rv1219c, Rv1255c, Rv1395, Rv1404, Rv1685c, Rv1773c, Rv1985c, Rv2011c, Rv2034, Rv2640c, Rv2642, Rv2884, Rv2912c, Rv3050c, Rv3058c, Rv3060c, Rv3066, Rv3160c, Rv3405c, Rv3557c, Rv3736, Rv3833, alkA, argR, cmtR, crp, csoR, devR, furA, ideR, kdpE, kmtR, kstR, mce1R, mce2R, mprA, nmtR, nusA, oxyS, phoP, pknK, prrA, sigA, sigB, sigC, sigE, sigF, sigG, sigL, smtB, trcR, zur]	[Rv0042c, Rv0043c, Rv0067c, Rv0078, Rv0081, Rv0104, Rv0135c, Rv0144, Rv0158, Rv0190, Rv0232, Rv0238, Rv0302, Rv0324, Rv0328, Rv0330c, Rv0339c, Rv0377, Rv0452, Rv0465c, Rv0472c, Rv0474, Rv0494, Rv0576, Rv0653c, Rv0691c, Rv0737, Rv0767c, Rv0792c, Rv0818, Rv0880, Rv0998, Rv1019, Rv1049, Rv1152, Rv1167c, Rv1219c, Rv1230c, Rv1255c, Rv1287, Rv1395, Rv1404, Rv1474c, Rv1534, Rv1556, Rv1674c, Rv1685c, Rv1719, Rv1773c, Rv1931c, Rv1985c, Rv2011c, Rv2034, Rv2166c, Rv2250c, Rv2282c, Rv2327, Rv2506, Rv2640c, Rv2642, Rv2884, Rv2887, Rv2912c, Rv2989, Rv3050c, Rv3055, Rv3058c, Rv3060c, Rv3066, Rv3160c, Rv3167c, Rv3173c, Rv3208, Rv3295, Rv3405c, Rv3557c, Rv3575c, Rv3736, Rv3833, alkA, argR, cmr, cmtR, crp, csoR, devR, ethR, furA, hupB, ideR, kdpE, kmtR, kstR, mce1R, mce2R, mce3R, mprA, mtrA, nmtR, nusA, oxyS, phoP, pknK, prrA, regX3, sigA, sigB, sigC, sigD, sigE, sigF, sigG, sigH, sigI, sigJ, sigK, sigL, sigM, sirR, smtB, tcrA, tcrX, trcR, virS, zur]	FALSE
GO:0004540	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	ribonuclease activity	[7, 8]	[Group11]	34	44.736843	0.010258890807346729	0.04230209295868898	{Group11=1.6649137214039755E-5}	{Group11=3.746055873158945E-5}	[Rv0207c, Rv0229c, Rv2367c, Rv3098A, Rv3180c, higB, mazF1, mazF2, mazF3, mazF5, mazF6, mazF9, rnc, rne, vapB2, vapC1, vapC10, vapC15, vapC17, vapC2, vapC22, vapC25, vapC28, vapC3, vapC30, vapC31, vapC35, vapC36, vapC4, vapC41, vapC43, vapC46, vapC6, vapC9]	[Rv0207c, Rv0229c, Rv0910, Rv1339, Rv2179c, Rv2228c, Rv2367c, Rv2407, Rv2681, Rv2752c, Rv2816c, Rv3098A, Rv3180c, Rv3796, gpsI, higB, mazF1, mazF2, mazF3, mazF4, mazF5, mazF6, mazF7, mazF9, orn, relK, rnc, rne, rnhB, rnpA, rphA, rraA, topA, vapB2, vapC1, vapC10, vapC11, vapC12, vapC13, vapC15, vapC17, vapC18, vapC19, vapC2, vapC20, vapC21, vapC22, vapC24, vapC25, vapC26, vapC27, vapC28, vapC29, vapC3, vapC30, vapC31, vapC32, vapC33, vapC35, vapC36, vapC37, vapC38, vapC39, vapC4, vapC40, vapC41, vapC42, vapC43, vapC44, vapC46, vapC47, vapC48, vapC5, vapC6, vapC7, vapC9]	FALSE
GO:0006139	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	nucleobase-containing compound metabolic process	[3, 4]	[Group17]	246	37.44292	9.616875789798433E-5	8.681179767007234E-4	{Group17=0.3828075551218228}	{Group17=0.3828075551218228}	[PE_PGRS11, Rv0081, Rv0135c, Rv0142, Rv0144, Rv0190, Rv0195, Rv0207c, Rv0208c, Rv0229c, Rv0232, Rv0238, Rv0258c, Rv0273c, Rv0298, Rv0302, Rv0324, Rv0328, Rv0452, Rv0465c, Rv0472c, Rv0474, Rv0494, Rv0576, Rv0653c, Rv0767c, Rv0792c, Rv0802c, Rv0818, Rv0828c, Rv0880, Rv0918, Rv0958, Rv1019, Rv1049, Rv1148c, Rv1152, Rv1167c, Rv1219c, Rv1255c, Rv1364c, Rv1395, Rv1404, Rv1461, Rv1586c, Rv1647, Rv1685c, Rv1765c, Rv1766, Rv1773c, Rv1828, Rv1829, Rv1870c, Rv1904, Rv1945, Rv1985c, Rv2011c, Rv2015c, Rv2034, Rv2050, Rv2132, Rv2212, Rv2293c, Rv2367c, Rv2372c, Rv2413c, Rv2630, Rv2631, Rv2638, Rv2640c, Rv2642, Rv2646, Rv2659c, Rv2884, Rv2912c, Rv2961, Rv2979c, Rv3007c, Rv3050c, Rv3058c, Rv3060c, Rv3066, Rv3098A, Rv3160c, Rv3180c, Rv3204, Rv3334, Rv3404c, Rv3405c, Rv3557c, Rv3640c, Rv3644c, Rv3645, Rv3733c, Rv3736, Rv3749c, Rv3788, Rv3833, adoK, alaS, alkA, apt, argR, atpB, bkdA, blaI, clgR, cmtR, crp, csoR, cya, cysQ, cysS1, deaD, deoC, devR, dfp, dnaE2, end, fmt, furA, garA, glmS, greA, groEL1, groES, guaB1, guaB2, guaB3, higA, higB, hrcA, hspR, ideR, ileS, katG, kdpE, kmtR, kstR, ligB, lysX, mazE2, mazE6, mazE9, mazF1, mazF2, mazF3, mazF5, mazF6, mazF9, mce1R, mce2R, miaA, mmsA, moaR1, mprA, murA, nadD, nadR, nmtR, nrdB, nrdE, nrdF1, nrdF2, nrdR, nrdZ, nth, nusA, nusG, ogt, oxyS, parD1, pfkA, pfkB, phoP, pknK, pncB2, proS, prrA, purB, purF, purT, purU, recO, relA, relE, relF, relG, relJ, rnc, rne, rpoA, rpoB, rpoZ, rpsK, rsbW, rseA, rsfA, rshA, sigA, sigB, sigC, sigE, sigF, sigG, sigL, smtB, thyA, trcR, truA, udgA, udgB, upp, uvrA, vapB1, vapB10, vapB14, vapB2, vapB29, vapB43, vapB9, vapC1, vapC10, vapC14, vapC15, vapC17, vapC2, vapC22, vapC25, vapC28, vapC3, vapC30, vapC31, vapC35, vapC36, vapC4, vapC41, vapC43, vapC46, vapC6, vapC9, whiB1, whiB3, whiB4, whiB7, zur]	[PE_PGRS11, Rv0042c, Rv0043c, Rv0067c, Rv0078, Rv0081, Rv0104, Rv0135c, Rv0142, Rv0144, Rv0158, Rv0190, Rv0195, Rv0207c, Rv0208c, Rv0229c, Rv0232, Rv0238, Rv0258c, Rv0260c, Rv0273c, Rv0295c, Rv0298, Rv0302, Rv0324, Rv0328, Rv0330c, Rv0339c, Rv0377, Rv0380c, Rv0386, Rv0452, Rv0465c, Rv0472c, Rv0474, Rv0494, Rv0535, Rv0576, Rv0605, Rv0653c, Rv0674, Rv0691c, Rv0737, Rv0767c, Rv0787A, Rv0792c, Rv0802c, Rv0818, Rv0828c, Rv0843, Rv0880, Rv0881, Rv0890c, Rv0891c, Rv0910, Rv0918, Rv0920c, Rv0921, Rv0944, Rv0958, Rv0998, Rv1000c, Rv1003, Rv1019, Rv1021, Rv1041c, Rv1049, Rv1129c, Rv1148c, Rv1152, Rv1156, Rv1167c, Rv1199c, Rv1219c, Rv1230c, Rv1255c, Rv1262c, Rv1264, Rv1277, Rv1287, Rv1301, Rv1313c, Rv1318c, Rv1319c, Rv1320c, Rv1321, Rv1322A, Rv1339, Rv1341, Rv1353c, Rv1354c, Rv1358, Rv1364c, Rv1366, Rv1395, Rv1404, Rv1461, Rv1474c, Rv1508A, Rv1534, Rv1540, Rv1556, Rv1586c, Rv1626, Rv1647, Rv1674c, Rv1685c, Rv1700, Rv1701, Rv1711, Rv1719, Rv1765c, Rv1766, Rv1773c, Rv1828, Rv1829, Rv1830, Rv1870c, Rv1897c, Rv1904, Rv1931c, Rv1945, Rv1985c, Rv2011c, Rv2015c, Rv2019, Rv2034, Rv2050, Rv2090, Rv2118c, Rv2132, Rv2165c, Rv2166c, Rv2177c, Rv2179c, Rv2191, Rv2212, Rv2228c, Rv2250c, Rv2282c, Rv2292c, Rv2293c, Rv2327, Rv2367c, Rv2372c, Rv2407, Rv2413c, Rv2415c, Rv2424c, Rv2435c, Rv2464c, Rv2488c, Rv2506, Rv2529, Rv2554c, Rv2559c, Rv2603c, Rv2613c, Rv2630, Rv2631, Rv2638, Rv2640c, Rv2642, Rv2646, Rv2659c, Rv2681, Rv2689c, Rv2733c, Rv2752c, Rv2791c, Rv2792c, Rv2803, Rv2807, Rv2812, Rv2816c, Rv2817c, Rv2818c, Rv2821c, Rv2823c, Rv2824c, Rv2837c, Rv2884, Rv2885c, Rv2886c, Rv2887, Rv2912c, Rv2943, Rv2943A, Rv2944, Rv2961, Rv2966c, Rv2978c, Rv2979c, Rv2989, Rv3007c, Rv3050c, Rv3055, Rv3058c, Rv3060c, Rv3066, Rv3098A, Rv3113, Rv3160c, Rv3167c, Rv3173c, Rv3180c, Rv3191c, Rv3201c, Rv3202c, Rv3204, Rv3208, Rv3282, Rv3295, Rv3300c, Rv3327, Rv3334, Rv3348, Rv3387, Rv3394c, Rv3395c, Rv3404c, Rv3405c, Rv3421c, Rv3422c, Rv3427c, Rv3428c, Rv3430c, Rv3433c, Rv3557c, Rv3575c, Rv3579c, Rv3586, Rv3600c, Rv3640c, Rv3644c, Rv3645, Rv3649, Rv3672c, Rv3725, Rv3733c, Rv3736, Rv3749c, Rv3752c, Rv3788, Rv3796, Rv3828c, Rv3833, aceE, ackA, acpM, acs, add, adk, adoK, alaS, alkA, apt, argR, argS, aspS, atpA, atpB, atpC, atpD, atpE, atpF, atpG, bkdA, blaI, carA, carB, cdd, clgR, cmk, cmr, cmtR, coaA, coaE, cobB, crp, csoR, cspA, cspB, cya, cysQ, cysS1, dcd, deaD, deoA, deoC, deoD, devR, dfp, dgt, dinG, dinP, dinX, dlaT, dnaA, dnaB, dnaE1, dnaE2, dnaG, dnaN, dnaQ, dnaZX, dut, embR, end, eno, epiA, erm(37), espR, ethR, fabH, fadE7, fba, fmt, fmu, folD, fpg, furA, galU, gap, garA, gatB, gatC, gcp, gid, glcB, glfT2, glmS, glmU, gltS, glyS, gmdA, gmk, gpgS, gpm1, gpsI, greA, groEL1, groES, guaA, guaB1, guaB2, guaB3, gyrA, gyrB, helY, higA, higB, hisS, hpt, hrcA, hsdM, hspR, hupB, ideR, ileS, iunH, katG, kdpE, kdtB, kmtR, ksgA, kstR, leuS, lexA, ligA, ligB, ligC, ligD, lipJ, lpdC, lsr2, lysS, lysX, manA, mazE2, mazE6, mazE9, mazF1, mazF2, mazF3, mazF4, mazF5, mazF6, mazF7, mazF8, mazF9, mce1R, mce2R, mce3R, mcr, mesJ, metS, mfd, miaA, mku, mmsA, moaR1, moeW, moeY, mpg, mprA, mrr, mrsA, mshC, mtn, mtrA, murA, mutT1, mutT2, mutT3, mutY, nadA, nadB, nadC, nadD, nadE, nadR, narL, ndkA, nei, nmtR, nrdB, nrdE, nrdF1, nrdF2, nrdR, nrdZ, nth, nudC, nusA, nusB, nusG, ogt, orn, oxyS, parD1, pcnA, pfkA, pfkB, pgi, pgk, pheS, pheT, phoP, pknH, pknJ, pknK, pmmB, pncA, pncB1, pncB2, polA, ppk2, ppnK, priA, proS, prrA, prsA, pta, purA, purB, purC, purD, purE, purF, purH, purK, purL, purM, purN, purQ, purT, purU, pykA, pyrB, pyrC, pyrD, pyrE, pyrF, pyrG, pyrH, pyrR, radA, rbfA, recA, recB, recC, recD, recF, recG, recN, recO, recR, recX, regX3, relA, relE, relF, relG, relJ, relK, rho, ribF, rimM, rmlA, rmlB, rmlC, rmlD, rnc, rne, rnhB, rnpA, rphA, rplA, rpoA, rpoB, rpoC, rpoZ, rpsK, rraA, rsbW, rseA, rsfA, rsfB, rshA, rskA, rslA, ruvA, ruvB, ruvC, sahH, sapM, serS, sigA, sigB, sigC, sigD, sigE, sigF, sigG, sigH, sigI, sigJ, sigK, sigL, sigM, sirR, smtB, spoU, sucC, tagA, tatD, tcrA, tcrX, tesB1, tesB2, thrS, thyA, thyX, tlyA, tmk, topA, tpi, trcR, trmD, trmU, trpS, truA, truB, tsnR, tyrS, udgA, udgB, ung, upp, uvrA, uvrB, uvrC, uvrD1, uvrD2, valS, vapB1, vapB10, vapB12, vapB14, vapB19, vapB2, vapB20, vapB26, vapB29, vapB31, vapB41, vapB43, vapB9, vapC1, vapC10, vapC11, vapC12, vapC13, vapC14, vapC15, vapC17, vapC18, vapC19, vapC2, vapC20, vapC21, vapC22, vapC24, vapC25, vapC26, vapC27, vapC28, vapC29, vapC3, vapC30, vapC31, vapC32, vapC33, vapC34, vapC35, vapC36, vapC37, vapC38, vapC39, vapC4, vapC40, vapC41, vapC42, vapC43, vapC44, vapC46, vapC47, vapC48, vapC5, vapC6, vapC7, vapC8, vapC9, virS, whiB1, whiB2, whiB3, whiB4, whiB5, whiB6, whiB7, xerC, xseA, xseB, xthA, zur]	FALSE
GO:0006351	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	transcription, DNA-templated	[6, 7, 8, 9]	[Group17]	127	59.069767	2.071529615515617E-18	1.7297272289555402E-16	{Group17=0.3828075551218228}	{Group17=0.3828075551218228}	[Rv0081, Rv0135c, Rv0144, Rv0190, Rv0195, Rv0232, Rv0238, Rv0258c, Rv0273c, Rv0298, Rv0302, Rv0324, Rv0328, Rv0452, Rv0465c, Rv0472c, Rv0474, Rv0494, Rv0576, Rv0653c, Rv0767c, Rv0792c, Rv0818, Rv0880, Rv0918, Rv0958, Rv1019, Rv1049, Rv1152, Rv1167c, Rv1219c, Rv1255c, Rv1364c, Rv1395, Rv1404, Rv1685c, Rv1766, Rv1773c, Rv1828, Rv1904, Rv1985c, Rv2011c, Rv2034, Rv2050, Rv2132, Rv2638, Rv2640c, Rv2642, Rv2884, Rv2912c, Rv3050c, Rv3058c, Rv3060c, Rv3066, Rv3160c, Rv3334, Rv3405c, Rv3557c, Rv3736, Rv3788, Rv3833, alkA, argR, blaI, clgR, cmtR, crp, csoR, devR, furA, greA, groES, higA, hrcA, hspR, ideR, kdpE, kmtR, kstR, mazE2, mazE6, mazE9, mazF3, mce1R, mce2R, moaR1, mprA, nmtR, nrdR, nusA, nusG, oxyS, parD1, phoP, pknK, prrA, relF, relG, relJ, rpoA, rpoB, rpoZ, rsbW, rseA, rsfA, rshA, sigA, sigB, sigC, sigE, sigF, sigG, sigL, smtB, trcR, vapB1, vapB10, vapB14, vapB2, vapB29, vapB43, vapB9, whiB1, whiB3, whiB4, whiB7, zur]	[Rv0042c, Rv0043c, Rv0067c, Rv0078, Rv0081, Rv0104, Rv0135c, Rv0144, Rv0158, Rv0190, Rv0195, Rv0232, Rv0238, Rv0258c, Rv0260c, Rv0273c, Rv0298, Rv0302, Rv0324, Rv0328, Rv0330c, Rv0339c, Rv0377, Rv0386, Rv0452, Rv0465c, Rv0472c, Rv0474, Rv0494, Rv0576, Rv0653c, Rv0674, Rv0691c, Rv0737, Rv0767c, Rv0792c, Rv0818, Rv0880, Rv0890c, Rv0918, Rv0958, Rv0998, Rv1019, Rv1049, Rv1129c, Rv1152, Rv1167c, Rv1219c, Rv1230c, Rv1255c, Rv1287, Rv1353c, Rv1358, Rv1364c, Rv1395, Rv1404, Rv1474c, Rv1534, Rv1556, Rv1626, Rv1674c, Rv1685c, Rv1719, Rv1766, Rv1773c, Rv1828, Rv1830, Rv1904, Rv1931c, Rv1985c, Rv2011c, Rv2034, Rv2050, Rv2132, Rv2166c, Rv2250c, Rv2282c, Rv2327, Rv2488c, Rv2506, Rv2603c, Rv2638, Rv2640c, Rv2642, Rv2803, Rv2884, Rv2887, Rv2912c, Rv2989, Rv3050c, Rv3055, Rv3058c, Rv3060c, Rv3066, Rv3160c, Rv3167c, Rv3173c, Rv3208, Rv3295, Rv3334, Rv3405c, Rv3557c, Rv3575c, Rv3736, Rv3788, Rv3833, alkA, argR, blaI, clgR, cmr, cmtR, crp, csoR, cspA, cspB, devR, embR, espR, ethR, fmu, furA, greA, groES, higA, hrcA, hspR, hupB, ideR, kdpE, kmtR, kstR, lexA, lsr2, mazE2, mazE6, mazE9, mazF3, mce1R, mce2R, mce3R, mfd, moaR1, mprA, mtrA, narL, nmtR, nrdR, nusA, nusB, nusG, oxyS, parD1, phoP, pknH, pknK, prrA, pyrR, regX3, relF, relG, relJ, relK, rho, rpoA, rpoB, rpoC, rpoZ, rsbW, rseA, rsfA, rsfB, rshA, rskA, rslA, sigA, sigB, sigC, sigD, sigE, sigF, sigG, sigH, sigI, sigJ, sigK, sigL, sigM, sirR, smtB, tcrA, tcrX, trcR, vapB1, vapB10, vapB12, vapB14, vapB19, vapB2, vapB20, vapB26, vapB29, vapB31, vapB41, vapB43, vapB9, virS, whiB1, whiB2, whiB3, whiB4, whiB5, whiB6, whiB7, zur]	FALSE
GO:0006355	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	regulation of transcription, DNA-templated	[5, 6, 7, 8, 9, 10]	[Group17]	124	59.615383	1.9535267836905653E-18	2.1749264858421627E-16	{Group17=0.3828075551218228}	{Group17=0.3828075551218228}	[Rv0081, Rv0135c, Rv0144, Rv0190, Rv0195, Rv0232, Rv0238, Rv0258c, Rv0273c, Rv0298, Rv0302, Rv0324, Rv0328, Rv0452, Rv0465c, Rv0472c, Rv0474, Rv0494, Rv0576, Rv0653c, Rv0767c, Rv0792c, Rv0818, Rv0880, Rv0918, Rv0958, Rv1019, Rv1049, Rv1152, Rv1167c, Rv1219c, Rv1255c, Rv1364c, Rv1395, Rv1404, Rv1685c, Rv1766, Rv1773c, Rv1828, Rv1904, Rv1985c, Rv2011c, Rv2034, Rv2050, Rv2132, Rv2638, Rv2640c, Rv2642, Rv2884, Rv2912c, Rv3050c, Rv3058c, Rv3060c, Rv3066, Rv3160c, Rv3334, Rv3405c, Rv3557c, Rv3736, Rv3788, Rv3833, alkA, argR, blaI, clgR, cmtR, crp, csoR, devR, furA, greA, groES, higA, hrcA, hspR, ideR, kdpE, kmtR, kstR, mazE2, mazE6, mazE9, mazF3, mce1R, mce2R, moaR1, mprA, nmtR, nrdR, nusA, nusG, oxyS, parD1, phoP, pknK, prrA, relF, relG, relJ, rsbW, rseA, rsfA, rshA, sigA, sigB, sigC, sigE, sigF, sigG, sigL, smtB, trcR, vapB1, vapB10, vapB14, vapB2, vapB29, vapB43, vapB9, whiB1, whiB3, whiB4, whiB7, zur]	[Rv0042c, Rv0043c, Rv0067c, Rv0078, Rv0081, Rv0104, Rv0135c, Rv0144, Rv0158, Rv0190, Rv0195, Rv0232, Rv0238, Rv0258c, Rv0260c, Rv0273c, Rv0298, Rv0302, Rv0324, Rv0328, Rv0330c, Rv0339c, Rv0377, Rv0386, Rv0452, Rv0465c, Rv0472c, Rv0474, Rv0494, Rv0576, Rv0653c, Rv0691c, Rv0737, Rv0767c, Rv0792c, Rv0818, Rv0880, Rv0890c, Rv0918, Rv0958, Rv0998, Rv1019, Rv1049, Rv1129c, Rv1152, Rv1167c, Rv1219c, Rv1230c, Rv1255c, Rv1287, Rv1353c, Rv1358, Rv1364c, Rv1395, Rv1404, Rv1474c, Rv1534, Rv1556, Rv1674c, Rv1685c, Rv1719, Rv1766, Rv1773c, Rv1828, Rv1830, Rv1904, Rv1931c, Rv1985c, Rv2011c, Rv2034, Rv2050, Rv2132, Rv2166c, Rv2250c, Rv2282c, Rv2327, Rv2488c, Rv2506, Rv2603c, Rv2638, Rv2640c, Rv2642, Rv2803, Rv2884, Rv2887, Rv2912c, Rv2989, Rv3050c, Rv3055, Rv3058c, Rv3060c, Rv3066, Rv3160c, Rv3167c, Rv3173c, Rv3208, Rv3295, Rv3334, Rv3405c, Rv3557c, Rv3575c, Rv3736, Rv3788, Rv3833, alkA, argR, blaI, clgR, cmr, cmtR, crp, csoR, cspA, cspB, devR, embR, espR, ethR, fmu, furA, greA, groES, higA, hrcA, hspR, hupB, ideR, kdpE, kmtR, kstR, lexA, lsr2, mazE2, mazE6, mazE9, mazF3, mce1R, mce2R, mce3R, mfd, moaR1, mprA, mtrA, narL, nmtR, nrdR, nusA, nusB, nusG, oxyS, parD1, phoP, pknH, pknK, prrA, pyrR, regX3, relF, relG, relJ, relK, rsbW, rseA, rsfA, rsfB, rshA, rskA, rslA, sigA, sigB, sigC, sigD, sigE, sigF, sigG, sigH, sigI, sigJ, sigK, sigL, sigM, sirR, smtB, tcrA, tcrX, trcR, vapB1, vapB10, vapB12, vapB14, vapB19, vapB2, vapB20, vapB26, vapB29, vapB31, vapB41, vapB43, vapB9, virS, whiB1, whiB2, whiB3, whiB4, whiB5, whiB6, whiB7, zur]	FALSE
GO:0006694	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	steroid biosynthetic process	[5]	[Group01]	8	80.0	0.00230367706335177	0.01165800210847714	{Group01=0.00230367706335177}	{Group01=0.002764412476022124}	[cyp51, erg3, hsaA, hsaB, hsaD, kshA, kshB, kstD]	[Rv0785, Rv1106c, cyp51, erg3, hsaA, hsaB, hsaD, kshA, kshB, kstD]	TRUE
GO:0006879	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	cellular iron ion homeostasis	[8, 10]	[Group15]	12	63.157894	0.004500446071558538	0.020591082026034952	{Group15=5.570195896385287E-5}	{Group15=1.0026352613493516E-4}	[Rv1465, Rv2025c, Rv3402c, bfrA, eccA3, irtA, irtB, mbtA, mbtB, mbtI, pckA, pks2]	[Rv0560c, Rv1465, Rv1875, Rv2025c, Rv3000, Rv3402c, bfrA, bfrB, eccA3, hupB, irtA, irtB, mbtA, mbtB, mbtI, pckA, pks2, tcrX, viuB]	FALSE
GO:0006979	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	response to oxidative stress	[3]	[Group12]	21	51.219513	0.006710181660170894	0.02910650226619582	{Group12=7.563756616892438E-7}	{Group12=3.4036904776015973E-6}	[Rv1286, Rv2455c, ahpC, ahpD, clgR, cysD, dnaK, ftsH, furA, glbN, glbO, hsp, ideR, katG, mpt53, msrA, phoP, rshA, sigE, sigF, trxB1]	[Rv0944, Rv1021, Rv1286, Rv2455c, Rv2464c, ahpC, ahpD, ahpE, bcp, bcpB, clgR, cysD, dnaK, dsbF, fhaB, fpg, ftsH, furA, glbN, glbO, hsp, htpG, ideR, katG, lsr2, mpt53, mshD, msrA, msrB, phoP, ppk1, qor, rshA, sigE, sigF, sigH, sigJ, sodA, sodC, tpx, trxB1]	FALSE
