Edge1-Edge2	KappaScore
GO:0006351 (term-term) GO:0003700	0.7403523365318916
GO:0006351 (term-term) GO:0006139	0.49628263500662784
GO:0006355 (term-term) GO:0003700	0.7632096896290689
GO:0006355 (term-term) GO:0006139	0.4783277270543008
GO:0006355 (term-term) GO:0006351	0.9756452680344144
GO:0006355 (term-term-ontology) GO:0006351	2.0
GO:0008202 (term-term) GO:0006694	0.47053406998158387
GO:0008202 (term-term-ontology) GO:0006694	2.0
GO:0009059 (term-term) GO:0003700	0.48857784851605646
GO:0009059 (term-term) GO:0006351	0.7096731331384533
GO:0009059 (term-term) GO:0006355	0.6875278396436526
GO:0010038 (term-term) GO:0010035	0.5938661710037177
GO:0010038 (term-term-ontology) GO:0010035	2.0
GO:0010467 (term-term) GO:0003700	0.47149520898917724
GO:0010467 (term-term) GO:0006139	0.43033513060376866
GO:0010467 (term-term) GO:0006351	0.6883809357312995
GO:0010467 (term-term) GO:0006355	0.6665568369028008
GO:0010467 (term-term) GO:0009059	0.761216513313248
GO:0010468 (term-term) GO:0003700	0.6521284787152128
GO:0010468 (term-term) GO:0006139	0.44893812773135017
GO:0010468 (term-term) GO:0006351	0.8573767238813375
GO:0010468 (term-term) GO:0006355	0.8789473684210528
GO:0010468 (term-term) GO:0009059	0.6816884352564657
GO:0010468 (term-term) GO:0010467	0.7786759045419553
GO:0010468 (term-term-ontology) GO:0006355	2.0
GO:0010468 (term-term-ontology) GO:0010467	2.0
GO:0010557 (term-term-ontology) GO:0009059	2.0
GO:0010604 (term-term) GO:0010557	0.947733212134985
GO:0010604 (term-term-ontology) GO:0010557	2.0
GO:0010605 (term-term) GO:0009892	0.951714485654304
GO:0010605 (term-term-ontology) GO:0009892	2.0
GO:0016070 (term-term) GO:0003700	0.5247240725433948
GO:0016070 (term-term) GO:0006139	0.7058149746095989
GO:0016070 (term-term) GO:0006351	0.7540162927228871
GO:0016070 (term-term) GO:0006355	0.7312714776632302
GO:0016070 (term-term) GO:0009059	0.5606677186280209
GO:0016070 (term-term) GO:0010467	0.6919685169159765
GO:0016070 (term-term) GO:0010468	0.704893372267941
GO:0016125 (term-term) GO:0006694	0.4316309719934096
GO:0016125 (term-term) GO:0008202	0.9501084598698484
GO:0016125 (term-term-ontology) GO:0008202	2.0
GO:0018130 (term-term) GO:0003700	0.5399772828287817
GO:0018130 (term-term) GO:0006139	0.5914352293998547
GO:0018130 (term-term) GO:0006351	0.7724448943905019
GO:0018130 (term-term) GO:0006355	0.7494785631517962
GO:0018130 (term-term) GO:0009059	0.5967270601987141
GO:0018130 (term-term) GO:0010467	0.5190277030104767
GO:0018130 (term-term) GO:0010468	0.6507993212467625
GO:0018130 (term-term) GO:0016070	0.5607706671193347
GO:0019219 (term-term) GO:0003700	0.7459853143095935
GO:0019219 (term-term) GO:0006139	0.49179571917150205
GO:0019219 (term-term) GO:0006351	0.9577848864649431
GO:0019219 (term-term) GO:0006355	0.9816733067729084
GO:0019219 (term-term) GO:0009059	0.6735562849285905
GO:0019219 (term-term) GO:0010467	0.6527504266771694
GO:0019219 (term-term) GO:0010468	0.8627275440167114
GO:0019219 (term-term) GO:0016070	0.7169037199124727
GO:0019219 (term-term) GO:0018130	0.7349253180896184
GO:0019219 (term-term-ontology) GO:0006139	2.0
GO:0019222 (term-term) GO:0003700	0.6240420172570879
GO:0019222 (term-term) GO:0006139	0.4493813919638411
GO:0019222 (term-term) GO:0006351	0.8262755226353492
GO:0019222 (term-term) GO:0006355	0.8472324723247232
GO:0019222 (term-term) GO:0009059	0.6547139058076692
GO:0019222 (term-term) GO:0010467	0.7510505539284349
GO:0019222 (term-term) GO:0010468	0.967687552683338
GO:0019222 (term-term) GO:0016070	0.6775324220119173
GO:0019222 (term-term) GO:0018130	0.6239172706381475
