NAME	phosphorelay signal transduction system	response to hypoxia	DNA-binding transcription factor activity	ribonuclease activity	nucleobase-containing compound metabolic process	transcription, DNA-templated	regulation of transcription, DNA-templated	arginine metabolic process	steroid biosynthetic process	response to oxidative stress	steroid metabolic process	macromolecule biosynthetic process	response to temperature stimulus	response to pH	negative regulation of metabolic process	response to organic substance	response to inorganic substance	response to metal ion	gene expression	regulation of gene expression	positive regulation of macromolecule biosynthetic process	positive regulation of macromolecule metabolic process	negative regulation of macromolecule metabolic process	RNA metabolic process	sterol metabolic process	heterocycle biosynthetic process	regulation of nucleobase-containing compound metabolic process	regulation of metabolic process	triglyceride biosynthetic process	aromatic compound biosynthetic process	regulation of cellular metabolic process	negative regulation of cellular metabolic process	regulation of cellular biosynthetic process	negative regulation of cellular biosynthetic process	positive regulation of cellular biosynthetic process	nucleobase-containing compound biosynthetic process	response to decreased oxygen levels	homeostatic process	macromolecule metabolic process	negative regulation of transcription, DNA-templated	positive regulation of transcription, DNA-templated	negative regulation of growth	negative regulation of nucleobase-containing compound metabolic process	positive regulation of nucleobase-containing compound metabolic process	alcohol catabolic process	response to copper ion	negative regulation of biological process	positive regulation of cellular process	regulation of cellular process	regulation of nitrogen compound metabolic process	negative regulation of nitrogen compound metabolic process	positive regulation of nitrogen compound metabolic process	regulation of macromolecule metabolic process	cellular response to chemical stimulus	response to nitric oxide	nitrogen cycle metabolic process	response to host	regulation of primary metabolic process	nucleic acid metabolic process	detoxification	transcription regulator activity	organic cyclic compound biosynthetic process	response to nitrogen compound	response to oxygen-containing compound	secondary alcohol metabolic process	reactive nitrogen species metabolic process
phosphorelay signal transduction system	1.0	0.028596568411791083	0.10576367361950288	-0.05128439528293255	0.006788694586550924	0.08430714786006589	0.08962892483349226	-0.026257079114468982	-0.022032956859840327	0.010004653327128642	-0.04350860865518986	0.03356422532341875	-0.02990564529026065	0.04365904365904328	0.028596568411791083	-0.031549644293227104	-0.05182926829268346	-0.035890218156228254	0.030570500582649155	0.06497983608689976	0.36408194042981057	0.34152451389717364	0.03505500652619818	0.040066777963272154	-0.04161566707466473	0.04288155211376267	0.08560600431002421	0.05920189845750334	-0.02990564529026065	0.04508093247678624	0.07235875175171727	0.0398058252427176	0.07930948211158388	0.04771762757478388	0.36408194042981057	0.05135079397813958	0.024679840556355977	-0.04820741340895185	0.04815106215578274	0.060052219321147626	0.3762913223140504	-0.03837471783295588	0.05360043313481311	0.36408194042981057	-0.04059318838758377	-0.024225151407197037	-9.600000000002723E-4	0.33108422522103337	0.15107464296868378	0.07460719364572868	0.044966578894065565	0.34152451389717364	0.0630012189645215	-0.049514563106796514	-0.03308878574636755	0.05268577312510509	-0.058688147295741996	0.07460719364572868	0.02399216582340472	-0.04350860865518986	0.09592994327793868	0.035439695565507585	-0.035890218156228254	-0.04522278873863757	-0.04161566707466473	0.04801324503311319
response to hypoxia	0.028596568411791083	1.0	-0.05046814341173858	-0.01622367966862382	-0.08004268943436502	-0.06739464255246516	-0.06432953549518039	-0.03212646608872975	0.02283590015932086	-0.062398703403566604	-0.025121555915721384	-0.0868381989114296	0.09759686120647304	0.05247670426679698	-0.05142857142857181	-0.0404234841193457	0.2949591280653941	-0.005922551252848349	-0.10013286628819948	-0.0787860208461072	0.021692896639727923	0.015232606010703802	-0.046186144156753796	-0.07018455939693241	-0.020083682008367996	-0.08012735473600366	-0.06664376502919965	-0.06865936667653141	0.3683178028445317	-0.07856084085702728	-0.059670452727562946	-0.04244604316546726	-0.0703008143593153	-0.03642508449117631	0.021692896639727923	-0.07413138275425493	0.9698657058630856	-0.07253886010362695	-0.09034317637669603	-0.027522935779817802	0.02508650519031174	0.06907171139463286	-0.032108317214700824	0.021692896639727923	-0.017439387494682723	-0.02913631633714808	-0.004527296937416599	0.012155591572122822	-0.06495982568432507	-0.05815648793131379	-0.038490007401924695	0.015232606010703802	-0.07997576491972196	0.02374100719424457	0.39159187529522876	0.10861805201427803	0.10530702973048132	-0.07306010043738934	-0.0833428604092832	-0.025121555915721384	-0.05596851770878893	-0.07392996108949366	0.3712984054669695	0.3315003927729768	0.01841004184100416	0.10299999999999944
DNA-binding transcription factor activity	0.10576367361950288	-0.05046814341173858	1.0	-0.10858784817166413	0.3249271052580764	0.7403523365318916	0.7632096896290689	-0.010078261359157207	-0.028492805136731157	0.03722009279806336	-0.07877748638289211	0.48857784851605646	0.058576248686320616	-0.01775540682559886	0.15962548527060982	0.003728478999890451	0.12173352962826657	0.13972749131712556	0.47149520898917724	0.6521284787152128	0.19177303498527204	0.1814530479434639	0.17312540853487707	0.5247240725433948	-0.0727831881086622	0.5399772828287817	0.7459853143095935	0.6240420172570879	-0.04319929199623869	0.5517353389470528	0.6868173952511986	0.18246445497630356	0.7183427121905706	0.1970130436890849	0.19177303498527204	0.5845054065911378	-0.03542970332688035	-0.0956597055143878	0.21002465078060806	0.21749136939010388	0.19706127553147113	-0.06341617191194282	0.20709184929820235	0.19177303498527204	-0.06971215957831606	0.04613112146346987	0.08275174476570306	0.17641718781521065	0.5597310026950104	0.6971345146423154	0.19208930805504734	0.1814530479434639	0.6426040019628156	-0.10094786729857787	-0.05017122356906074	-0.010078261359157207	-0.07287532223086089	0.6971345146423154	0.4329363594338167	-0.07877748638289211	0.9595269937354823	0.49913603332781015	-0.05690622495324586	-0.01608259704159719	-0.0727831881086622	-0.013950892857143325
ribonuclease activity	-0.05128439528293255	-0.01622367966862382	-0.10858784817166413	1.0	0.15180217775276109	-0.10793792794962662	-0.10627763041556187	-0.03172060237103488	-0.025755379640985572	-0.06088560885608955	-0.06088560885608955	-0.11312419338826596	-0.03720405862457718	-0.03720405862457718	0.14256127027959997	-0.03978300180831822	-0.07852743561030223	-0.04694167852062702	-0.02526830922789923	-0.014747624336665583	-0.05532515662225352	-0.05909439754412887	0.15575068374838094	0.26178174416784117	-0.05724197745013003	-0.12138327916022795	-0.1075313517633201	-0.020122640947788078	-0.03720405862457718	-0.12064531846357932	-0.09689685173847197	-0.005185185185184621	-0.09410070014404882	0.002246494693624269	-0.05532515662225352	-0.11855684677806985	-0.020229854156864836	-0.07050206012513344	0.09466135458167321	-0.0246679316888057	-0.05334051724137923	0.45333211445287463	-0.029165001997603992	-0.05532515662225352	-0.05532515662225352	-0.028802094697796158	0.30094979647218484	-0.06088560885608955	-0.10755424225012995	-0.09598877247951958	-3.052037234848555E-4	-0.05909439754412887	-0.01658233250015256	-0.07333333333333325	-0.042261846123534584	-0.03172060237103488	-0.06934285876282892	-0.09598877247951958	0.20945899498178341	-0.022307950352230953	-0.11116035812428023	-0.12390116117981938	-0.04694167852062702	-0.06429615197272381	-0.05724197745013003	-0.034518828451882796
nucleobase-containing compound metabolic process	0.006788694586550924	-0.08004268943436502	0.3249271052580764	0.15180217775276109	1.0	0.49628263500662784	0.4783277270543008	-0.030124822308336296	-0.03040573443191354	-0.023831739367078844	-0.09536583469403624	0.38172043010752693	0.005976599762493403	-0.02984406330912848	0.12525468128456413	-0.02522676840425134	-0.03108989287377748	0.006518143788306124	0.43033513060376866	0.44893812773135017	0.07862240631623986	0.0788731846725121	0.1293628916411073	0.7058149746095989	-0.0867198133385185	0.5914352293998547	0.49179571917150205	0.4493813919638411	-0.04775439484493942	0.604456079338085	0.45283272259846896	0.10233009708737875	0.4523914671377277	0.0974960663571555	0.07862240631623986	0.6392294890678502	-0.07974936468214704	-0.08553781610534913	0.460093896713615	0.10594546267322309	0.08297028162439717	0.051527942578148134	0.11512678519382107	0.08756781984715009	-0.07344962370923518	-0.007868188369103885	0.14542815674891135	0.07452764170748778	0.3757525946596839	0.46151336621313016	0.11102047158450844	0.0788731846725121	0.457900586364159	-0.11203883495145643	-0.04746890874058528	-0.030124822308336296	-0.13114024047863382	0.46151336621313016	0.8249985733579351	-0.05959878703055749	0.34757438925552847	0.5437813507276229	-0.056133865161980975	-0.050371176493451186	-0.0867198133385185	-0.034462616822430084
transcription, DNA-templated	0.08430714786006589	-0.06739464255246516	0.7403523365318916	-0.10793792794962662	0.49628263500662784	1.0	0.9756452680344144	-0.01991666348102006	-0.02944013581818897	0.013053512188085916	-0.08647050338958547	0.7096731331384533	0.041702965796750126	-0.010567781523427295	0.23084797816072386	0.002714727396123327	0.062157346491227956	0.07606472010414718	0.6883809357312995	0.8573767238813375	0.22686250867770139	0.21697874035710404	0.245041807753438	0.7540162927228871	-0.07930156420516503	0.7724448943905019	0.9577848864649431	0.8262755226353492	-0.04541494640354479	0.7865379707185781	0.8951075527629279	0.25470383275261327	0.9287613246263843	0.26950629918481156	0.22686250867770139	0.825306781229973	-0.058652316648052004	-0.042589078642209593	0.332824427480916	0.28984310487200643	0.23187022900763354	-0.017436502377704846	0.2795871151450437	0.22686250867770139	-0.07566955314406769	0.01950994700053773	0.1880220646178095	0.21210154334343034	0.7531325104417015	0.9061870650317383	0.26453018483379037	0.21697874035710404	0.8468859411213571	-0.11393728222996513	-0.035919378448372424	-0.01991666348102006	-0.07486956243398117	0.9061870650317383	0.6395060682439158	-0.06988316745997357	0.7784976361407812	0.7227245328511152	-0.04370466803050014	-0.011296203617644832	-0.07930156420516503	-0.023972602739726127
regulation of transcription, DNA-templated	0.08962892483349226	-0.06432953549518039	0.7632096896290689	-0.10627763041556187	0.4783277270543008	0.9756452680344144	1.0	-0.019188921859545495	-0.029370629370629245	0.016728624535316358	-0.08587360594795578	0.6875278396436526	0.0448579823702257	-0.009206660137120628	0.24206836108676608	0.004678362573099368	0.06866197183098556	0.08088376560999046	0.6665568369028008	0.8789473684210528	0.23694627709707813	0.22689075630252126	0.2564831261101246	0.7312714776632302	-0.07879924953095718	0.7494785631517962	0.9816733067729084	0.8472324723247232	-0.04524975514201758	0.7634132086499124	0.9174887892376683	0.2663082437275988	0.9519268451992162	0.28138056312443255	0.23694627709707813	0.8017953321364453	-0.05508253692441355	-0.0397830018083182	0.3195266272189348	0.30212765957446824	0.24204545454545462	-0.01541389153187476	0.2916590284142993	0.23694627709707813	-0.07521206409048076	0.021471172962225744	0.1993553585817891	0.2219330855018588	0.7728395061728395	0.9288201160541587	0.2763110307414105	0.22689075630252126	0.868244084682441	-0.11290322580645165	-0.035111542192046645	-0.019188921859545495	-0.06994266994266948	0.9288201160541587	0.6185007974481659	-0.0687732342007435	0.8017830609212482	0.700393037619315	-0.04284341978866534	-0.008103130755064449	-0.07879924953095718	-0.023228346456692712
arginine metabolic process	-0.026257079114468982	-0.03212646608872975	-0.010078261359157207	-0.03172060237103488	-0.030124822308336296	-0.01991666348102006	-0.019188921859545495	1.0	-0.017417749516175998	-0.02856318522792839	-0.02856318522792839	-0.026679739911239515	-0.02199511219728948	-0.02199511219728948	-0.03212646608872975	-0.022871664548919483	-0.0319282136894822	-0.025069637883006687	-0.02706906500087835	-0.022529749966573157	-0.02727707768384215	-0.028162717925793786	-0.03150295340188162	-0.025830460241886843	-0.02773497688751992	-0.025461275307049676	-0.0197393785180047	-0.02330196530311764	-0.02199511219728948	-0.025172147775651077	-0.02153759385244478	-0.031034482758621428	-0.020596827275080238	-0.030235162374018756	-0.02727707768384215	-0.024344738346724612	-0.03249731628769307	-0.030515863405184158	-0.02501954652071937	-0.028938906752411217	-0.026785714285715707	-0.026257079114468982	-0.029624753127056366	-0.02727707768384215	-0.02727707768384215	-0.018759770713915172	-0.03479789103690682	-0.02856318522792839	-0.024973232630147068	-0.021233931320944255	-0.030515863405184158	-0.028162717925793786	-0.022794650503986106	-0.031034482758621428	-0.023669836131902818	0.0933727519093357	-0.03440521700022549	-0.021233931320944255	-0.02792087126290804	-0.02856318522792839	-0.011873211067529107	-0.026435303074055744	-0.025069637883006687	-0.029292107404393173	-0.02773497688751992	-0.021028037383178065
steroid biosynthetic process	-0.022032956859840327	0.02283590015932086	-0.028492805136731157	-0.025755379640985572	-0.03040573443191354	-0.02944013581818897	-0.029370629370629245	-0.017417749516175998	1.0	-0.023634131368937984	0.47053406998158387	-0.030081805943874756	-0.018951513659857228	-0.018951513659857228	-0.026022304832712784	0.08772748483434473	-0.025892080069625244	-0.02119071644803603	-0.030118511435976058	-0.029688972667295043	-0.02274670771335538	-0.023359288097887215	-0.025611708209469047	-0.030001648442221827	0.4316309719934096	-0.029966766180364094	-0.02942321164474227	-0.029762288217483696	-0.018951513659857228	-0.029939432212877013	-0.029594628201940098	-0.025301204819275766	-0.02950501697191279	-0.024767396147294184	-0.02274670771335538	-0.029861132121139007	0.020383328262852787	-0.024955436720142294	-0.03060109289617486	-0.02389078498293628	-0.022403982930297522	-0.022032956859840327	-0.024356297842729385	-0.02274670771335538	0.2919445869676758	-0.01649970536240101	-0.027747747747747714	-0.023634131368937984	-0.02992061876653792	-0.029565719649109867	-0.024955436720142294	-0.023359288097887215	-0.029714134111560406	-0.025301204819275766	-0.020181858505209857	-0.017417749516175998	-0.027497496726487936	-0.029565719649109867	-0.030198731700417078	-0.023634131368937984	-0.0286668822071346	0.05476961985299924	-0.02119071644803603	0.0419419706980745	0.28006589785831826	-0.018229166666667775
response to oxidative stress	0.010004653327128642	-0.062398703403566604	0.03722009279806336	-0.06088560885608955	-0.023831739367078844	0.013053512188085916	0.016728624535316358	-0.02856318522792839	-0.023634131368937984	1.0	-0.050228310502284323	-0.022532080428412347	0.21747414262384207	0.02966793685356681	0.04943273905996703	-0.03493912122816139	0.16584240026376582	0.07212713936430393	-0.0020183124938467378	0.029039273378533764	0.1067465601420321	0.19495120916419187	0.05769887333560976	-0.017916177882051843	-0.04772234273318865	-0.015923219544116057	0.030664147652957274	0.038012055603395344	-0.03293413173652689	-0.014368134916231793	0.03562323896417529	0.06371681415929235	0.009592494048452957	0.07362307980516983	0.1067465601420321	-0.009945329766197532	-0.02775164628410078	0.1969864020580667	-0.017377567140600295	0.0887850467289723	0.11176737846433361	-0.04350860865518986	0.08089668615984336	0.1577896138482014	-0.04638260097647437	0.042236763831052605	0.03818181818181764	0.18845994188459952	0.08996520372656898	0.03762416655327272	0.07019478133039261	0.19495120916419187	0.04178765307410689	0.4707964601769906	-0.03683668212261716	-0.02856318522792839	0.01646668368649508	0.03762416655327272	-0.008023374455059944	0.3316728933167284	0.03009392371094555	-0.02119905553844575	0.07212713936430393	0.1762833267011549	-0.04772234273318865	0.033613445378152494
steroid metabolic process	-0.04350860865518986	-0.025121555915721384	-0.07877748638289211	-0.06088560885608955	-0.09536583469403624	-0.08647050338958547	-0.08587360594795578	-0.02856318522792839	0.47053406998158387	-0.050228310502284323	1.0	-0.09225017682125919	-0.03293413173652689	0.02966793685356681	-0.062398703403566604	0.025939650608788913	-0.06165512693702599	-0.04034229828851001	-0.09259623904696289	-0.08865293590891635	-0.04638260097647437	-0.049002969876960865	-0.060088767497439334	-0.09150047989762174	0.9501084598698484	-0.09117679136219824	-0.08632466211306485	-0.08930987821380273	-0.03293413173652689	-0.09092422057028726	-0.08781698644841035	-0.05840707964601652	-0.0870326284834056	-0.05563881603596843	-0.04638260097647437	-0.09020588577410753	-0.02775164628410078	-0.056596839397279185	-0.09731437598736185	-0.05140186915887845	-0.04497955474784181	-0.04350860865518986	-0.05360623781676409	-0.04638260097647437	0.8213493120284064	-0.026174895895302197	-0.07333333333333246	-0.050228310502284323	-0.09075092602985733	-0.08756293373248049	-0.056596839397279185	-0.049002969876960865	-0.08887766696124257	-0.017699115044246896	-0.03683668212261716	-0.02856318522792839	-0.04225172325759519	-0.08756293373248049	-0.09335868657823938	-0.050228310502284323	-0.08012267586735723	-0.009393286110255694	-0.04034229828851001	-0.006764822920811985	0.8503253796095444	-0.03081232492997024
macromolecule biosynthetic process	0.03356422532341875	-0.0868381989114296	0.48857784851605646	-0.11312419338826596	0.38172043010752693	0.7096731331384533	0.6875278396436526	-0.026679739911239515	-0.030081805943874756	-0.022532080428412347	-0.09225017682125919	1.0	0.03585022117066163	-0.02330007200905265	0.1521523998020783	-0.015713258703913085	-0.0030726533848749837	0.0304036791006643	0.761216513313248	0.6816884352564657	0.14179104477611945	0.13293188948486998	0.16525802923336952	0.5606677186280209	-0.08413583375570181	0.5967270601987141	0.6735562849285905	0.6547139058076692	-0.04696018928093812	0.6095649258110488	0.693641366058171	0.17406483790523689	0.7214392671540563	0.18738097624536434	0.14179104477611945	0.6443098042538767	-0.08340731971983827	-0.07024917442209579	0.5326203208556152	0.17053364269141533	0.13454693379436605	-0.03672201283487888	0.16163901458019106	0.13011473246014837	-0.08005888922733286	0.0013439470691611964	0.10095923261390893	0.12852379508942105	0.5698495419013198	0.7028553910834722	0.18292804963474432	0.13293188948486998	0.6726472871560425	-0.12418952618453874	-0.04352506920947407	-0.026679739911239515	-0.11548113116494566	0.7028553910834722	0.497514631604265	-0.08063049408911788	0.519096738221355	0.550522504731342	-0.051865099642310085	-0.04240104743680096	-0.08413583375570181	-0.030911901081916528
response to temperature stimulus	-0.02990564529026065	0.09759686120647304	0.058576248686320616	-0.03720405862457718	0.005976599762493403	0.041702965796750126	0.0448579823702257	-0.02199511219728948	-0.018951513659857228	0.21747414262384207	-0.03293413173652689	0.03585022117066163	1.0	0.06863737598704148	-0.037763609612555135	-0.025591314462967755	0.14695268644747392	0.12983662940670765	0.04499862427774592	0.07615190545744267	0.17501120908683201	0.22569785383644148	-0.03690501153281606	0.028451517959339347	-0.03183791606367401	0.01753308392428389	0.04247192727828279	0.07086964819645028	-0.024498886414253896	0.018799237791871686	0.05075023608827944	-0.036263736263734865	0.03875059574000075	-0.03517706976193294	0.17501120908683201	0.022419108623424833	0.1347691150192787	-0.03555760794273838	0.023805794831636654	-0.03343465045592701	0.1826328800988864	0.04365904365904328	-0.03435352904434725	0.17501120908683201	-0.03123598864145866	0.08687529191966314	0.021612349914236398	0.21747414262384207	0.03291766264435671	0.052321244627570686	-0.03555760794273838	0.22569785383644148	0.07434068451017616	0.06483516483516434	-0.02659475543983405	-0.02199511219728948	0.05978538579458381	0.052321244627570686	0.01753233036824931	-0.03293413173652689	0.05236257431939036	0.013262877024092934	-0.02837489251934648	0.1433341895710252	-0.03183791606367401	-0.023305084745762705
response to pH	0.04365904365904328	0.05247670426679698	-0.01775540682559886	-0.03720405862457718	-0.02984406330912848	-0.010567781523427295	-0.009206660137120628	-0.02199511219728948	-0.018951513659857228	0.02966793685356681	0.02966793685356681	-0.02330007200905265	0.06863737598704148	1.0	0.007356547327120921	0.06359053896859208	0.10084202085003935	-0.02837489251934648	-0.024037619750369027	-0.015469393174877302	0.10626214317740179	0.09664749614251587	0.01132312853847743	-0.02169291982340446	0.03473227206946423	-0.020995030431626652	-0.010236040027499962	-0.016922196068452307	0.16177363838833686	-0.020448792696453555	-0.013605680109125386	0.0142857142857153	-0.011841478168420424	0.019305933909747452	0.10626214317740179	-0.018887126223472824	0.09150757077024291	-0.03555760794273838	-0.03382928739232579	0.02735562310030363	0.11155747836835526	-0.02990564529026065	0.023110555902560607	0.10626214317740179	0.03751307726797157	-0.020551144325081722	0.021612349914236398	0.09227000544365886	-0.020073150361432004	-0.013035910915355518	0.01754791041329921	0.09664749614251587	-0.01596754139127033	0.06483516483516434	0.23005393342012165	-0.02199511219728948	0.026206292430104045	-0.013035910915355518	-0.025653061703476025	0.02966793685356681	-0.019609888390528928	-0.022837261621367184	0.20894239036973367	0.20241459029026443	0.03473227206946423	0.07415254237288088
negative regulation of metabolic process	0.028596568411791083	-0.05142857142857181	0.15962548527060982	0.14256127027959997	0.12525468128456413	0.23084797816072386	0.24206836108676608	-0.03212646608872975	-0.026022304832712784	0.04943273905996703	-0.062398703403566604	0.1521523998020783	-0.037763609612555135	0.007356547327120921	1.0	0.003849855630413446	0.0756130790190742	0.11981776765375703	0.199903369972219	0.3019619865113429	0.0999574649085501	0.09098394400988087	0.951714485654304	0.2048349363140106	-0.05857740585774015	0.1395595648713191	0.2652009618687737	0.3397454868304233	-0.037763609612555135	0.14458967794097838	0.30827067669172925	0.9172661870503593	0.2813694532158882	0.8618099887345098	0.0999574649085501	0.15881277254184858	-0.05470029479200853	0.09770540340488516	0.09321628092577819	0.7798165137614683	0.10467128027681641	0.06907171139463286	0.8220502901353965	0.0999574649085501	-0.056571671629093365	0.06659729448491164	0.7549933422103863	0.08670988654781123	0.23573471333242518	0.28462659970840726	0.8808290155440412	0.09098394400988087	0.3102090275674038	-0.07553956834532317	4.7236655644719805E-4	-0.03212646608872975	-0.048068908030008725	0.299530212214482	0.1690865439579281	-0.062398703403566604	0.16528202885876753	0.12237981674406948	-0.005922551252848349	0.006284367635505088	-0.05857740585774015	-0.03499999999999974
response to organic substance	-0.031549644293227104	-0.0404234841193457	0.003728478999890451	-0.03978300180831822	-0.02522676840425134	0.002714727396123327	0.004678362573099368	-0.022871664548919483	0.08772748483434473	-0.03493912122816139	0.025939650608788913	-0.015713258703913085	-0.025591314462967755	0.06359053896859208	0.003849855630413446	1.0	-0.04011010617380933	-0.029850746268657413	-0.016784055147610076	-0.00436681222707423	-0.03303390321645845	-0.03434178250204395	0.0078060805258832	-0.013381201044386316	0.030898876404495915	-0.012369066191219183	0.003193430656934141	-0.006468797564687797	0.06359053896859208	-0.011577095511037982	-0.0016723573270156862	0.010752688172043105	8.76104256406589E-4	0.015729817256535286	-0.03303390321645845	-0.009313988894859158	-0.041012377609457924	0.06588447653429484	-0.031034482758620655	0.023668639053255475	-0.03231597845601369	-0.031549644293227104	0.01948842874543314	-0.03303390321645845	0.033613445378149746	-0.0213143872113696	-0.01355932203389844	-0.03493912122816139	-0.011032580589553479	-8.490766291658568E-4	0.013989169675089293	-0.03434178250204395	-0.0050873989042526085	0.060215053763440635	-0.02788702180907935	-0.022871664548919483	-0.010952586828073041	-8.490766291658568E-4	-0.019130679420452972	0.025939650608788913	4.1390728476804566E-4	-0.0030291951741788867	-0.029850746268657413	0.1941941941941939	0.030898876404495915	-0.024291497975710716
response to inorganic substance	-0.05182926829268346	0.2949591280653941	0.12173352962826657	-0.07852743561030223	-0.03108989287377748	0.062157346491227956	0.06866197183098556	-0.0319282136894822	-0.025892080069625244	0.16584240026376582	-0.06165512693702599	-0.0030726533848749837	0.14695268644747392	0.10084202085003935	0.0756130790190742	-0.04011010617380933	1.0	0.5938661710037177	0.004015869943874609	0.05215893713863943	-0.01611226611226703	0.05579758713136679	0.08600624467783147	0.005625585998541701	-0.05792163543441201	0.0093587153036268	0.07961915275286345	0.05793660216075076	0.37750601443464316	0.012262316335350115	0.07686873876188079	0.09343065693430676	0.055993059263213865	0.10539963392312514	-0.01611226611226703	0.020476083032490953	0.31329617834394874	0.032161106101592896	-0.034449760765550175	0.1231343283582097	-0.01339443073669348	-0.010581061692970628	0.11399371069182533	0.023735273735272615	-0.05595980595980667	0.36301661695781806	0.04784946236559191	0.052093636663369025	0.0393644900633329	0.08005983350676402	0.10129245566576457	0.05579758713136679	0.06344961711438003	0.1941605839416056	0.534143518518518	0.016068447412353897	0.005949708127526229	0.08005983350676402	-0.005539278520417499	0.01417738212990402	0.10899806303926694	-5.532086099373421E-4	0.5083643122676577	0.6694346854040241	-0.05792163543441201	0.059304703476481084
response to metal ion	-0.035890218156228254	-0.005922551252848349	0.13972749131712556	-0.04694167852062702	0.006518143788306124	0.07606472010414718	0.08088376560999046	-0.025069637883006687	-0.02119071644803603	0.07212713936430393	-0.04034229828851001	0.0304036791006643	0.12983662940670765	-0.02837489251934648	0.11981776765375703	-0.029850746268657413	0.5938661710037177	1.0	0.03916449086161853	0.07367387033398833	0.023224950232247802	0.07595731324545008	0.13165537270087166	0.03622600702892665	-0.03870967741935365	0.038748962081372865	0.07724034495688042	0.06786050895381719	-0.02837489251934648	0.04072143159081309	0.08110900637162041	0.14040404040403948	0.07154442241845348	0.15505132360885931	0.023224950232247802	0.04634977047238268	-0.008329679964927273	0.05279831045406591	0.0062843676355065535	0.1780821917808215	0.02595628415300428	0.028852920478535597	0.16600566572238068	0.023224950232247802	-0.03782349037823632	0.6885880077369431	0.0965630114566285	0.07212713936430393	0.05519897304236192	0.08337703198741463	0.1499472016895448	0.07595731324545008	0.07168227316758104	0.047474747474747094	-0.031224979983988575	-0.025069637883006687	-0.02115851543531186	0.08337703198741463	0.02184834676948213	-0.04034229828851001	0.12834765032844858	0.0320820885829329	-0.03370786516854014	0.011614401858301713	-0.03870967741935365	-0.026785714285713462
