ID	Ontology Source	Term	GOLevels	GOGroups	Nr. Genes	% Associated Genes	Term PValue	Term PValue Corrected with Benjamini-Hochberg	Group PValue	Group PValue Corrected with Benjamini-Hochberg	Associated Genes Found	All Associated Genes	OverViewTerm
GO:0000041	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	transition metal ion transport	[7]	[Group11]	8	47.058823	2.873024501890435E-4	0.003432508220679625	{Group11=1.082321442897539E-5}	{Group11=4.870446493038925E-5}	[Rv2025c, bfrA, corA, ctpC, ctpG, eccA3, irtA, irtB]	[Rv0203, Rv0318c, Rv2025c, bfrA, bfrB, corA, ctpA, ctpB, ctpC, ctpG, ctpV, eccA3, irtA, irtB, mntH, nicT, viuB]	FALSE
GO:0001217	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	DNA-binding transcription repressor activity	[7, 8, 9, 10, 11, 12, 13]	[Group10]	3	100.0	0.0015609459783586365	0.016106124413064114	{Group10=0.0036570460979814135}	{Group10=0.00548556914697212}	[Rv0190, csoR, zur]	[Rv0190, csoR, zur]	TRUE
GO:0001666	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	response to hypoxia	[3, 5]	[Group03]	15	25.862068	0.0018555858979178294	0.01755074995113947	{Group03=0.0018555858979178294}	{Group03=0.003340054616252093}	[PE_PGRS11, Rv0465c, Rv0569, Rv1760, Rv3740c, ald, groEL2, higA, higB, icl1, ponA1, sigB, sigG, trxB1, vapC15]	[PE_PGRS11, Rv0221, Rv0465c, Rv0560c, Rv0569, Rv0895, Rv1125, Rv1129c, Rv1425, Rv1760, Rv2005c, Rv2257c, Rv2258c, Rv2285, Rv2484c, Rv2629, Rv3087, Rv3134c, Rv3371, Rv3480c, Rv3740c, TB16.3, TB31.7, acg, ald, bfrB, cmaA2, devR, dosT, espG1, fdxA, gmdA, groEL2, higA, higB, hrp1, hspX, icl1, kasB, kshB, narG, narK2, narX, pncB2, ponA1, ppk1, scoB, sigB, sigC, sigG, tgs1, tgs2, tgs3, tgs4, trxB1, tuf, vapB15, vapC15]	TRUE
GO:0003333	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	amino acid transmembrane transport	[5, 6, 7, 8]	[Group05]	4	50.0	0.00858231053655049	0.0499534485076144	{Group05=0.00858231053655049}	{Group05=0.00858231053655049}	[Rv1986, Rv3273, cydC, dctA]	[Rv0488, Rv1707, Rv1986, Rv3253c, Rv3273, cydC, dctA, rocE]	TRUE
GO:0006355	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	regulation of transcription, DNA-templated	[5, 6, 7, 8, 9, 10]	[Group10]	36	17.307692	0.006983630013134942	0.04403566702726755	{Group10=0.0036570460979814135}	{Group10=0.00548556914697212}	[Rv0135c, Rv0144, Rv0190, Rv0232, Rv0273c, Rv0298, Rv0465c, Rv0767c, Rv0792c, Rv1255c, Rv1766, Rv2050, Rv2640c, Rv2642, Rv3160c, Rv3334, alkA, blaI, clgR, cmtR, csoR, higA, ideR, kmtR, mazE6, mprA, rseA, sigB, sigE, sigG, smtB, vapB1, vapB2, whiB1, whiB2, zur]	[Rv0042c, Rv0043c, Rv0067c, Rv0078, Rv0081, Rv0104, Rv0135c, Rv0144, Rv0158, Rv0190, Rv0195, Rv0232, Rv0238, Rv0258c, Rv0260c, Rv0273c, Rv0298, Rv0302, Rv0324, Rv0328, Rv0330c, Rv0339c, Rv0377, Rv0386, Rv0452, Rv0465c, Rv0472c, Rv0474, Rv0494, Rv0576, Rv0653c, Rv0691c, Rv0737, Rv0767c, Rv0792c, Rv0818, Rv0880, Rv0890c, Rv0918, Rv0958, Rv0998, Rv1019, Rv1049, Rv1129c, Rv1152, Rv1167c, Rv1219c, Rv1230c, Rv1255c, Rv1287, Rv1353c, Rv1358, Rv1364c, Rv1395, Rv1404, Rv1474c, Rv1534, Rv1556, Rv1674c, Rv1685c, Rv1719, Rv1766, Rv1773c, Rv1828, Rv1830, Rv1904, Rv1931c, Rv1985c, Rv2011c, Rv2034, Rv2050, Rv2132, Rv2166c, Rv2250c, Rv2282c, Rv2327, Rv2488c, Rv2506, Rv2603c, Rv2638, Rv2640c, Rv2642, Rv2803, Rv2884, Rv2887, Rv2912c, Rv2989, Rv3050c, Rv3055, Rv3058c, Rv3060c, Rv3066, Rv3160c, Rv3167c, Rv3173c, Rv3208, Rv3295, Rv3334, Rv3405c, Rv3557c, Rv3575c, Rv3736, Rv3788, Rv3833, alkA, argR, blaI, clgR, cmr, cmtR, crp, csoR, cspA, cspB, devR, embR, espR, ethR, fmu, furA, greA, groES, higA, hrcA, hspR, hupB, ideR, kdpE, kmtR, kstR, lexA, lsr2, mazE2, mazE6, mazE9, mazF3, mce1R, mce2R, mce3R, mfd, moaR1, mprA, mtrA, narL, nmtR, nrdR, nusA, nusB, nusG, oxyS, parD1, phoP, pknH, pknK, prrA, pyrR, regX3, relF, relG, relJ, relK, rsbW, rseA, rsfA, rsfB, rshA, rskA, rslA, sigA, sigB, sigC, sigD, sigE, sigF, sigG, sigH, sigI, sigJ, sigK, sigL, sigM, sirR, smtB, tcrA, tcrX, trcR, vapB1, vapB10, vapB12, vapB14, vapB19, vapB2, vapB20, vapB26, vapB29, vapB31, vapB41, vapB43, vapB9, virS, whiB1, whiB2, whiB3, whiB4, whiB5, whiB6, whiB7, zur]	FALSE
GO:0006826	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	iron ion transport	[8]	[Group11]	5	55.555557	0.0017449381071282064	0.017221780448613166	{Group11=1.082321442897539E-5}	{Group11=4.870446493038925E-5}	[Rv2025c, bfrA, eccA3, irtA, irtB]	[Rv0203, Rv2025c, bfrA, bfrB, eccA3, irtA, irtB, mntH, viuB]	FALSE
GO:0006873	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	cellular ion homeostasis	[4, 6]	[Group11]	13	59.090908	1.0211708854587495E-7	3.863429849985602E-6	{Group11=1.082321442897539E-5}	{Group11=4.870446493038925E-5}	[Rv1465, Rv2025c, Rv3402c, bfrA, eccA3, irtA, irtB, mbtA, mbtB, mbtI, pckA, phoY2, pks2]	[Rv0560c, Rv1465, Rv1875, Rv2025c, Rv3000, Rv3402c, bfrA, bfrB, eccA3, hupB, irtA, irtB, mbtA, mbtB, mbtI, pckA, phoY1, phoY2, pks2, tcrX, viuB, yjcE]	FALSE
GO:0006879	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	cellular iron ion homeostasis	[8, 10]	[Group11]	12	63.157894	1.1552520747239867E-7	3.746317442319214E-6	{Group11=1.082321442897539E-5}	{Group11=4.870446493038925E-5}	[Rv1465, Rv2025c, Rv3402c, bfrA, eccA3, irtA, irtB, mbtA, mbtB, mbtI, pckA, pks2]	[Rv0560c, Rv1465, Rv1875, Rv2025c, Rv3000, Rv3402c, bfrA, bfrB, eccA3, hupB, irtA, irtB, mbtA, mbtB, mbtI, pckA, pks2, tcrX, viuB]	TRUE
GO:0009267	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	cellular response to starvation	[4, 5, 6]	[Group11]	12	36.363636	1.790804145461162E-4	0.002391250241292258	{Group11=1.082321442897539E-5}	{Group11=4.870446493038925E-5}	[Rv2558, Rv3402c, cysD, eccA3, irtA, irtB, mbtA, mbtB, mbtI, pckA, pks2, relA]	[Rv0560c, Rv1286, Rv1875, Rv2557, Rv2558, Rv3377c, Rv3402c, Rv3583c, apa, cstA, cysD, eccA3, grpE, hspX, hupB, irtA, irtB, kdpF, mbtA, mbtB, mbtI, mpt64, pckA, pknD, pks2, ppk1, pstS1, pstS3, relA, sigF, tcrX, tig, viuB]	FALSE
GO:0009408	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	response to heat	[3, 4]	[Group01]	6	37.5	0.006828621500799685	0.04428848801947224	{Group01=0.006828621500799685}	{Group01=0.0076821991883996455}	[clgR, clpB, dnaK, groEL2, sigB, sigE]	[clgR, clpB, dnaJ1, dnaJ2, dnaK, groEL1, groEL2, groES, hspX, htpG, rshA, sigB, sigC, sigD, sigE, sigH]	TRUE
