NAME	transition metal ion transport	response to reactive oxygen species	DNA-binding transcription repressor activity	transcription, DNA-templated	regulation of transcription, DNA-templated	iron ion transport	cellular ion homeostasis	cellular iron ion homeostasis	response to oxidative stress	cellular response to starvation	response to heat	negative regulation of metabolic process	response to inorganic substance	response to metal ion	response to zinc ion	cellular response to iron ion starvation	gene expression	regulation of gene expression	regulation of macromolecule biosynthetic process	negative regulation of macromolecule biosynthetic process	sterol metabolic process	heterocycle biosynthetic process	regulation of metabolic process	aromatic compound biosynthetic process	catechol-containing siderophore biosynthetic process	cellular homeostasis	regulation of cellular metabolic process	positive regulation of cellular metabolic process	regulation of cellular biosynthetic process	negative regulation of cellular biosynthetic process	cellular response to stress	nucleobase-containing compound biosynthetic process	homeostatic process	alkane catabolic process	negative regulation of transcription, DNA-templated	response to cadmium ion	response to copper ion	transition metal ion transmembrane transporter activity	negative regulation of biological process	regulation of cellular process	regulation of nitrogen compound metabolic process	negative regulation of nitrogen compound metabolic process	positive regulation of nitrogen compound metabolic process	negative regulation of RNA metabolic process	response to host immune response	transition metal ion homeostasis	cellular response to superoxide	response to host	response to host iron concentration	regulation of primary metabolic process	inorganic ion homeostasis	transcription regulator activity	organic cyclic compound biosynthetic process	organic hydroxy compound metabolic process	secondary alcohol metabolic process
transition metal ion transport	1.0	-0.05442176870748397	-0.04494382022471864	-0.11803278688524621	-0.11803278688524621	0.6516853932584268	0.42133333333333317	0.4655172413793107	-0.07960199004975187	0.09066666666666613	-0.0689655172413796	-0.09683426443202899	0.06866952789699594	0.13407821229050274	-0.04494382022471864	0.15646258503401353	-0.12541254125412546	-0.12378426171529602	-0.11971104231166159	-0.08771929824561493	-0.07466666666666805	-0.1259079903147698	-0.12489451476793216	-0.1259079903147698	-0.04494382022471864	0.3201754385964909	-0.12190476190476221	-0.07466666666666805	-0.11971104231166159	-0.08771929824561493	-0.0032362459546918325	-0.12378426171529602	0.39215686274509753	-0.04494382022471864	-0.08391608391608468	-0.04494382022471864	0.09066666666666613	0.7891156462585026	-0.10542635658914765	-0.12378426171529602	-0.12121212121212145	-0.09109730848861312	-0.07466666666666805	-0.08771929824561493	-0.09929078014184334	0.5373134328358209	-0.04494382022471864	-0.0032362459546918325	0.18726591760299732	-0.12121212121212145	0.4941724941724938	-0.10872675250357608	-0.127272727272727	-0.09929078014184334	-0.07466666666666805
response to reactive oxygen species	-0.05442176870748397	1.0	-0.03827751196172156	-0.011248593925758927	-0.011248593925758927	-0.03827751196172156	-0.057911065149948295	-0.05442176870748397	0.6463878326996197	-0.057911065149948295	0.3673469387755099	-0.07041299932295185	0.2979365878208352	0.05551794177386594	-0.03827751196172156	-0.04494382022471848	0.018878400888395395	0.027487302061547557	-0.01621431089178721	-0.06546644844517138	-0.057911065149948295	-0.03417412530512605	0.02160932613022472	-0.03417412530512605	-0.03827751196172156	0.08674304418985299	0.03751617076325975	0.13443640124095121	-0.01621431089178721	-0.06546644844517138	0.24826789838337152	-0.028084852106363963	0.06465517241379318	-0.03827751196172156	-0.06332453825857456	-0.03827751196172156	0.13443640124095121	-0.04494382022471848	-0.07484865162355554	0.08305945622945908	0.04123711340206161	-0.06732976281560794	0.13443640124095121	-0.06546644844517138	0.047375160051216295	-0.06083650190113986	0.8516746411483253	0.03348729792147834	-0.03827751196172156	0.04123711340206161	-0.06332453825857456	0.017111222949169176	-0.03805175038051755	-0.07170294494238089	-0.057911065149948295
DNA-binding transcription repressor activity	-0.04494382022471864	-0.03827751196172156	1.0	0.15068493150684933	0.15068493150684933	-0.03333333333333298	-0.04729729729729644	-0.04494382022471864	-0.04923076923077012	-0.04729729729729644	-0.04494382022471864	0.34042553191489294	0.2298136645962728	0.34042553191489294	0.31111111111111006	-0.03827751196172156	0.09205020920502102	0.10469314079422362	0.13704496788008533	0.4334203655352476	-0.04729729729729644	0.08823529411764677	0.09605488850771869	0.08823529411764677	-0.03333333333333298	-0.05221932114882513	0.11949069539666993	0.16216216216216264	0.13704496788008533	0.4334203655352476	-0.05745062836624757	0.10469314079422362	-0.05442176870748246	-0.03333333333333298	0.47457627118644	-0.03333333333333298	0.3716216216216224	-0.03827751196172156	0.2593856655290103	0.10469314079422362	0.12499999999999988	0.3980582524271843	0.16216216216216264	0.4334203655352476	-0.05611222444889815	-0.04923076923077012	-0.03333333333333298	-0.05745062836624757	-0.03333333333333298	0.12499999999999988	-0.05084745762711909	0.2298136645962728	0.07780320366132722	-0.05611222444889815	-0.04729729729729644
transcription, DNA-templated	-0.11803278688524621	-0.011248593925758927	0.15068493150684933	1.0	1.0	-0.06164383561643812	-0.1357758620689656	-0.11803278688524621	0.04463336875664211	-0.1357758620689656	0.08524590163934415	0.38369781312127255	0.19926199261992636	0.19880715705765403	0.07990867579908685	-0.08098987626546675	0.7438016528925622	0.8080495356037154	0.9489291598023065	0.390899689762151	-0.1357758620689656	0.7232142857142859	0.764795144157815	0.7232142857142859	0.009132420091324358	-0.1220268872802485	0.876296887470072	0.26508620689655166	0.9489291598023065	0.390899689762151	-0.1569377990430621	0.8080495356037154	-0.15508559919436044	-0.06164383561643812	0.4150943396226414	0.009132420091324358	0.06465517241379316	-0.08098987626546675	0.41398865784499067	0.8080495356037154	0.9000000000000001	0.4306122448979593	0.26508620689655166	0.4550155118924509	-0.06476938174681095	-0.15302869287991527	-0.06164383561643812	-0.09760765550239234	-0.06164383561643812	0.9000000000000001	-0.16981132075471744	0.7712177121771219	0.6637744034707157	-0.18645731108930352	-0.1357758620689656
regulation of transcription, DNA-templated	-0.11803278688524621	-0.011248593925758927	0.15068493150684933	1.0	1.0	-0.06164383561643812	-0.1357758620689656	-0.11803278688524621	0.04463336875664211	-0.1357758620689656	0.08524590163934415	0.38369781312127255	0.19926199261992636	0.19880715705765403	0.07990867579908685	-0.08098987626546675	0.7438016528925622	0.8080495356037154	0.9489291598023065	0.390899689762151	-0.1357758620689656	0.7232142857142859	0.764795144157815	0.7232142857142859	0.009132420091324358	-0.1220268872802485	0.876296887470072	0.26508620689655166	0.9489291598023065	0.390899689762151	-0.1569377990430621	0.8080495356037154	-0.15508559919436044	-0.06164383561643812	0.4150943396226414	0.009132420091324358	0.06465517241379316	-0.08098987626546675	0.41398865784499067	0.8080495356037154	0.9000000000000001	0.4306122448979593	0.26508620689655166	0.4550155118924509	-0.06476938174681095	-0.15302869287991527	-0.06164383561643812	-0.09760765550239234	-0.06164383561643812	0.9000000000000001	-0.16981132075471744	0.7712177121771219	0.6637744034707157	-0.18645731108930352	-0.1357758620689656
iron ion transport	0.6516853932584268	-0.03827751196172156	-0.03333333333333298	-0.06164383561643812	-0.06164383561643812	1.0	0.5810810810810813	0.6516853932584268	-0.04923076923077012	0.16216216216216264	-0.04494382022471864	-0.05531914893617087	0.03726708074534127	0.0765957446808504	-0.03333333333333298	0.25837320574162703	-0.06359832635983237	-0.06317689530685928	-0.06209850107066403	-0.05221932114882513	-0.04729729729729644	-0.06372549019607862	-0.06346483704974257	-0.06372549019607862	-0.03333333333333298	0.4334203655352476	-0.06268364348677748	-0.04729729729729644	-0.06209850107066403	-0.05221932114882513	0.05385996409335786	-0.06317689530685928	0.3673469387755102	-0.03333333333333298	-0.05084745762711909	-0.03333333333333298	-0.04729729729729644	0.25837320574162703	-0.05802047781569926	-0.06317689530685928	-0.06249999999999994	-0.05339805825242693	-0.04729729729729644	-0.05221932114882513	-0.05611222444889815	0.5230769230769227	-0.03333333333333298	0.05385996409335786	0.31111111111111006	-0.06249999999999994	0.47457627118644	-0.0590062111801245	-0.0640732265446223	-0.05611222444889815	-0.04729729729729644
cellular ion homeostasis	0.42133333333333317	-0.057911065149948295	-0.04729729729729644	-0.1357758620689656	-0.1357758620689656	0.5810810810810813	1.0	0.9173333333333334	-0.08729540140296264	0.5365448504983387	-0.07466666666666805	0.0023837902264601117	-0.037174721189590816	0.0023837902264601117	-0.04729729729729644	0.7114788004136497	-0.14563372570490024	-0.14344262295081975	-0.13800135961930687	-0.09715475364330366	-0.08139534883721039	-0.0964630225080387	-0.0928931169557918	-0.04662379421221854	0.3716216216216224	0.8063844552394174	-0.08241585404215201	-0.08139534883721039	-0.13800135961930687	-0.09715475364330366	0.27154046997389036	-0.14344262295081975	0.7091932457786118	-0.04729729729729644	-0.09251101321585964	-0.04729729729729644	-0.08139534883721039	0.13443640124095121	-0.026078234704112302	-0.0889929742388757	-0.14000000000000046	-0.10131578947368367	-0.08139534883721039	-0.09715475364330366	0.20603301081388722	0.782540919719408	-0.04729729729729644	0.27154046997389036	0.16216216216216264	-0.14000000000000046	0.8634361233480178	-0.12360594795539048	-0.054421768707482956	0.10017074558907232	-0.08139534883721039
cellular iron ion homeostasis	0.4655172413793107	-0.05442176870748397	-0.04494382022471864	-0.11803278688524621	-0.11803278688524621	0.6516853932584268	0.9173333333333334	1.0	-0.07960199004975187	0.5866666666666663	-0.0689655172413796	-0.09683426443202899	-0.020028612303290064	0.0186219739292371	-0.04494382022471864	0.7891156462585026	-0.12541254125412546	-0.12378426171529602	-0.11971104231166159	-0.08771929824561493	-0.07466666666666805	-0.07586763518966895	-0.12489451476793216	-0.025827280064568123	0.419475655430712	0.7280701754385969	-0.12190476190476221	-0.07466666666666805	-0.11971104231166159	-0.08771929824561493	0.2977346278317154	-0.12378426171529602	0.6352941176470589	-0.04494382022471864	-0.08391608391608468	-0.04494382022471864	-0.07466666666666805	0.15646258503401353	-0.10542635658914765	-0.12378426171529602	-0.12121212121212145	-0.09109730848861312	-0.07466666666666805	-0.08771929824561493	0.23049645390070903	0.8457711442786072	-0.04494382022471864	0.2977346278317154	0.18726591760299732	-0.12121212121212145	0.7832167832167833	-0.10872675250357608	-0.03333333333333317	0.12056737588652511	-0.07466666666666805
response to oxidative stress	-0.07960199004975187	0.6463878326996197	-0.04923076923077012	0.04463336875664211	0.04463336875664211	-0.04923076923077012	-0.08729540140296264	-0.07960199004975187	1.0	0.057677318784098944	0.3830845771144281	-0.012607449856733462	0.19936565473493456	-0.012607449856733462	-0.04923076923077012	-0.06083650190113986	0.08773841961852841	0.10758941552776947	0.0315754114880753	0.017173051519153916	-0.08729540140296264	-0.01761409127301833	0.09407180629000823	-0.01761409127301833	0.14153846153846064	0.017173051519153916	0.0723192019950125	0.20265003897116113	0.0315754114880753	0.017173051519153916	0.34109311740890663	-5.815644082583643E-4	-0.0035971223021580455	-0.04923076923077012	0.029227557411272358	-0.04923076923077012	0.057677318784098944	-0.06083650190113986	0.04870920603994145	0.10758941552776947	0.07920792079207904	0.00628535512256483	0.20265003897116113	0.017173051519153916	0.08122941822173466	-0.09411764705882456	0.5230769230769227	0.05870445344129557	-0.04923076923077012	0.07920792079207904	-0.10020876826722457	0.030811055731762665	-0.028657616892911145	-0.020856201975850808	-0.08729540140296264
cellular response to starvation	0.09066666666666613	-0.057911065149948295	-0.04729729729729644	-0.1357758620689656	-0.1357758620689656	0.16216216216216264	0.5365448504983387	0.5866666666666663	0.057677318784098944	1.0	-0.07466666666666805	-0.10846245530393371	-0.12360594795539048	-0.10846245530393371	-0.04729729729729644	0.7114788004136497	-0.14563372570490024	-0.14344262295081975	-0.13800135961930687	-0.09715475364330366	-0.08139534883721039	-0.04662379421221854	-0.1449356463346393	0.0032154340836013408	0.3716216216216224	0.41915336571825107	-0.14092481912551152	-0.08139534883721039	-0.13800135961930687	-0.09715475364330366	0.5629242819843344	-0.0889929742388757	0.3602251407129453	-0.04729729729729644	-0.09251101321585964	-0.04729729729729644	-0.08139534883721039	-0.057911065149948295	-0.11935807422266842	-0.14344262295081975	-0.14000000000000046	-0.10131578947368367	-0.08139534883721039	-0.09715475364330366	0.20603301081388722	0.49259547934528447	-0.04729729729729644	0.27154046997389036	0.16216216216216264	-0.14000000000000046	0.4537444933920706	-0.12360594795539048	-0.007558578987150424	0.10017074558907232	-0.08139534883721039
