"Name" "Fold_change" "Fold_change_us" "Condition"
"165" "Rv2381c" 3.30742852519225 1.68011254062464 "Upregulated"
"166" "Rv2382c" 2.40599235967584 1.62707639837069 "Upregulated"
"167" "Rv2383c" 2.43295940727611 1.43115167113819 "Upregulated"
"113" "Rv1519" 1.88752527074159 1.29458197116391 "Upregulated"
"164" "Rv2380c" 2.82781902461732 1.23521286273425 "Upregulated"
"170" "Rv2386c" 3.10433665981474 1.19438746815054 "Upregulated"
"161" "Rv2377c" 2.43295940727611 1.17598710770407 "Upregulated"
"31" "Rv0416" 0.584962500721156 1.04412774726631 "Upregulated"
"269" "Rv3839" 4.27052894238072 1.0278750446922 "Upregulated"
"163" "Rv2379c" 1.84799690655495 1.02786738744506 "Upregulated"
"162" "Rv2378c" 2.4594316186373 0.966772975633407 "Upregulated"
"168" "Rv2384" 0.925999418556223 0.942570983588227 "Upregulated"
"241" "Rv3402c" 3.27798474729977 0.733678754058994 "Upregulated"
"97" "Rv1349" 2.10433665981474 0.695849379132457 "Upregulated"
"52" "Rv0678" 1.26303440583379 0.506686477659254 "Upregulated"
"96" "Rv1348" 2.35049724708413 0.492896554074685 "Upregulated"
"169" "Rv2385" 1.84799690655495 0.44473502948063 "Upregulated"
"189" "Rv2620c" 0.925999418556223 0.427550553571428 "Upregulated"
"114" "Rv1520" 1.0703893278914 0.387382923600666 "Upregulated"
"37" "Rv0451c" 1.63226821549951 0.372220449379773 "Upregulated"
"95" "Rv1347c" 2.98185265328974 0.356692706311358 "Upregulated"
"272" "Rv3842c" -1.20163386116965 0.354034799610302 "Not Corr."
"183" "Rv2526" -0.678071905112638 0.351604296009277 "Not Corr."
"191" "Rv2629" 0.925999418556223 0.34837172594538 "Upregulated"
"64" "Rv0839" 0.84799690655495 0.333138753041774 "Upregulated"
"51" "Rv0677c" 1.67807190511264 0.330307894738629 "Upregulated"
"138" "Rv2007c" -0.584962500721156 0.323851516058368 "Not Corr."
"200" "Rv2817c" 0.765534746362977 0.316255264060932 "Upregulated"
"235" "Rv3346c" 0.678071905112638 0.310156462087075 "Upregulated"
"18" "Rv0285" 1.58496250072116 0.306490975214257 "Upregulated"
"199" "Rv2816c" 0.84799690655495 0.289262841428425 "Upregulated"
"274" "Rv3854c" 2.13750352374994 0.282784207433958 "Upregulated"
"68" "Rv0981" 0.765534746362977 0.274162563782561 "Upregulated"
"58" "Rv0696" 0.678071905112638 0.27373450671436 "Upregulated"
"190" "Rv2621c" 1.26303440583379 0.265521710481217 "Upregulated"
"50" "Rv0676c" 1.48542682717024 0.26167667390807 "Upregulated"
"57" "Rv0695" 0.925999418556223 0.257000590914115 "Upregulated"
"125" "Rv1870c" 1.0703893278914 0.25480374177583 "Upregulated"
"227" "Rv3161c" 0.765534746362977 0.252510046415837 "Upregulated"
"255" "Rv3619c" 0.678071905112638 0.235571757745031 "Upregulated"
"186" "Rv2550c" -1 0.228794692157479 "Not Corr."
"11" "Rv0250c" -0.584962500721156 0.225846053605876 "Not Corr."
"250" "Rv3612c" 0.678071905112638 0.218468249991646 "Upregulated"
"76" "Rv1183" 0.678071905112638 0.216914050376954 "Upregulated"
"131" "Rv1905c" 0.584962500721156 0.216158058398196 "Upregulated"
"36" "Rv0450c" 1.0703893278914 0.214062102509258 "Upregulated"
"77" "Rv1184c" 1.13750352374994 0.213558159334665 "Upregulated"
"160" "Rv2368c" 0.584962500721156 0.203539495534165 "Upregulated"
"275" "Rv3855" 0.678071905112638 0.196581413711569 "Upregulated"
"99" "Rv1351" 0.765534746362977 0.18928686273185 "Upregulated"
"117" "Rv1552" -0.678071905112638 0.186243128123205 "Not Corr."
"236" "Rv3354" 0.584962500721156 0.185789950973576 "Upregulated"
"38" "Rv0463" 0.678071905112638 0.185135582823212 "Upregulated"
"3" "Rv0010c" -0.84799690655495 0.181516401736704 "Not Corr."
"140" "Rv2037c" 1.26303440583379 0.18148886855282 "Upregulated"
"213" "Rv3095" 1 0.181250238524306 "Upregulated"
"102" "Rv1393c" 1.26303440583379 0.181210024524737 "Upregulated"
"26" "Rv0293c" 0.584962500721156 0.174293767255645 "Upregulated"
"254" "Rv3616c" 0.84799690655495 0.171418526368189 "Upregulated"
"246" "Rv3487c" 0.678071905112638 0.170539837058174 "Upregulated"
"5" "Rv0116c" 1.20163386116965 0.170232648048557 "Upregulated"
"248" "Rv3572" 0.678071905112638 0.166780496463539 "Upregulated"
"56" "Rv0694" 1.20163386116965 0.165697382759839 "Upregulated"
"54" "Rv0692" 1.43295940727611 0.161438637746538 "Upregulated"
"32" "Rv0422c" 1.13750352374994 0.15989488829316 "Upregulated"
"103" "Rv1394c" 0.765534746362977 0.157999563450334 "Upregulated"
"126" "Rv1871c" 0.584962500721156 0.154226259139107 "Upregulated"
"177" "Rv2453c" 0.584962500721156 0.151259902720541 "Upregulated"
"104" "Rv1415" 0.678071905112638 0.150951370853226 "Upregulated"
"185" "Rv2549c" -0.678071905112638 0.146612849312556 "Not Corr."
"92" "Rv1344" 1.96347412397489 0.14184250665598 "Upregulated"
"233" "Rv3258c" -0.765534746362977 0.137378777859454 "Not Corr."
"127" "Rv1872c" 0.84799690655495 0.136288203167546 "Upregulated"
"84" "Rv1221" 1.13750352374994 0.133751596613129 "Upregulated"
"10" "Rv0233" 0.84799690655495 0.130468805007332 "Upregulated"
"214" "Rv3140" 0.84799690655495 0.129906830797343 "Upregulated"
"226" "Rv3158" -0.678071905112638 0.127544524162 "Not Corr."
"75" "Rv1182" 0.765534746362977 0.127318091873175 "Upregulated"
"232" "Rv3249c" 0.584962500721156 0.126738740501959 "Upregulated"
"192" "Rv2632c" 1 0.121279590778278 "Upregulated"
"239" "Rv3390" 0.584962500721156 0.11987509009868 "Upregulated"
"61" "Rv0711" 0.925999418556223 0.119256888463045 "Upregulated"
"89" "Rv1341" 0.84799690655495 0.11799838994203 "Upregulated"
"266" "Rv3823c" 0.765534746362977 0.112115362566457 "Upregulated"
"55" "Rv0693" 1.32192809488736 0.109391069685974 "Upregulated"
"264" "Rv3764c" 0.584962500721156 0.108453835427063 "Upregulated"
"90" "Rv1342c" 1 0.106142147068052 "Upregulated"
"208" "Rv3010c" 0.925999418556223 0.102893280679126 "Upregulated"
"184" "Rv2527" -0.584962500721156 0.0989164826788841 "Not Corr."
"4" "Rv0108c" 0.678071905112638 0.0988192172404721 "Upregulated"
"98" "Rv1350" 0.584962500721156 0.0986814809866204 "Upregulated"
"212" "Rv3075c" -0.765534746362977 0.0981837108565256 "Not Corr."
"265" "Rv3822" 1.0703893278914 0.0969982815734916 "Upregulated"
"9" "Rv0166" 0.584962500721156 0.0919301069317167 "Upregulated"
"25" "Rv0292" 1.43295940727611 0.0918434845773213 "Upregulated"
"73" "Rv1174c" 0.678071905112638 0.091319599686677 "Upregulated"
"201" "Rv2927c" -0.678071905112638 0.0912129748834816 "Not Corr."
"110" "Rv1465" 1.37851162325373 0.0901658727637923 "Upregulated"
"196" "Rv2787" 0.584962500721156 0.0882270238466913 "Upregulated"
"224" "Rv3156" -0.765534746362977 0.0876835518826317 "Not Corr."
"141" "Rv2039c" 1 0.0866210026983499 "Upregulated"
"130" "Rv1904" 0.678071905112638 0.0856300352863446 "Upregulated"
"100" "Rv1352" 0.678071905112638 0.0855500621132278 "Upregulated"
"43" "Rv0481c" 0.84799690655495 0.08338063919093 "Upregulated"
"154" "Rv2336" 0.584962500721156 0.0827818647077135 "Upregulated"
"63" "Rv0823c" 0.584962500721156 0.0809232347793856 "Upregulated"
"12" "Rv0268c" 0.678071905112638 0.0807348186551061 "Upregulated"
"180" "Rv2457c" 0.678071905112638 0.0793215177198368 "Upregulated"
"35" "Rv0430" -0.584962500721156 0.0786849255413121 "Not Corr."
"48" "Rv0587" 1.13750352374994 0.0786003922275294 "Upregulated"
"157" "Rv2348c" 0.765534746362977 0.0785317242490473 "Upregulated"
"13" "Rv0276" 0.584962500721156 0.0781157560561406 "Upregulated"
"225" "Rv3157" -0.678071905112638 0.076682260993528 "Not Corr."
"229" "Rv3229c" 2.32192809488736 0.0753738419589026 "Upregulated"
"112" "Rv1518" 0.584962500721156 0.0741342192137923 "Upregulated"
"231" "Rv3246c" -1 0.0736083529210176 "Not Corr."
"109" "Rv1464" 1.58496250072116 0.0726656520959927 "Upregulated"
"181" "Rv2459" 0.584962500721156 0.0708228339473412 "Upregulated"
"205" "Rv2989" 0.584962500721156 0.0707165929294068 "Upregulated"
"176" "Rv2452c" 0.584962500721156 0.0699810582338747 "Upregulated"
"147" "Rv2182c" 0.584962500721156 0.0668098473897152 "Upregulated"
"182" "Rv2521" -0.584962500721156 0.066679564032933 "Not Corr."
"134" "Rv1932" 0.584962500721156 0.066230468811579 "Upregulated"
"133" "Rv1923" 0.925999418556223 0.0631879367045491 "Upregulated"
"14" "Rv0279c" 1.13750352374994 0.0627053017022232 "Upregulated"
"78" "Rv1185c" 0.584962500721156 0.0622650868930386 "Upregulated"
"46" "Rv0558" -0.584962500721156 0.0617873150018061 "Not Corr."
"22" "Rv0289" 1.67807190511264 0.0603738778589711 "Upregulated"
"49" "Rv0632c" -0.678071905112638 0.0591962729446102 "Not Corr."
"119" "Rv1608c" -0.584962500721156 0.0589205933445051 "Not Corr."
"44" "Rv0503c" 0.584962500721156 0.0558295550072779 "Upregulated"
"151" "Rv2248" 0.584962500721156 0.0551419306319463 "Upregulated"
"111" "Rv1466" 1.67807190511264 0.0542735578308087 "Upregulated"
"71" "Rv1168c" 1 0.0535166824378759 "Upregulated"
"123" "Rv1639c" 1 0.0534424781814029 "Upregulated"
"72" "Rv1169c" 1.13750352374994 0.0521649713676402 "Upregulated"
"230" "Rv3230c" 1.32192809488736 0.0509342574258168 "Upregulated"
"244" "Rv3479" 1 0.0500932315195892 "Upregulated"
"234" "Rv3320c" -0.584962500721156 0.0467780747251985 "Not Corr."
"158" "Rv2351c" -0.584962500721156 0.0466958574888762 "Not Corr."
"251" "Rv3613c" 0.84799690655495 0.0455665723177852 "Upregulated"
"23" "Rv0290" 1 0.0437941714777433 "Upregulated"
"122" "Rv1623c" 0.584962500721156 0.0393716554527854 "Upregulated"
"66" "Rv0878c" 0.678071905112638 0.0390265736158022 "Upregulated"
"8" "Rv0145" 1 0.0383748210624939 "Upregulated"
"62" "Rv0766c" 1.72246602447109 0.0381506503892442 "Upregulated"
"242" "Rv3403c" 2.48542682717024 0.0371166159062817 "Upregulated"
"221" "Rv3152" -0.84799690655495 0.0370387929309158 "Not Corr."
"159" "Rv2359" 0.678071905112638 0.034206774163582 "Upregulated"
"79" "Rv1187" 0.584962500721156 0.0341056056850482 "Upregulated"
"209" "Rv3019c" 0.925999418556223 0.0302941931100768 "Upregulated"
"215" "Rv3145" -0.765534746362977 0.0294996649102853 "Not Corr."
"1" "Rv0001" 0.678071905112638 0.0294648278171812 "Upregulated"
"194" "Rv2710" 1 0.026397959200438 "Upregulated"
"81" "Rv1196" 0.584962500721156 0.023322155656276 "Upregulated"
"53" "Rv0691c" 0.84799690655495 0.0221477168758396 "Upregulated"
"121" "Rv1614" -0.678071905112638 0.0219705705213781 "Not Corr."
"107" "Rv1462" 1.76553474636298 0.0200758735671332 "Upregulated"
"94" "Rv1346" 2.29278174922785 0.0192215965466298 "Upregulated"
"148" "Rv2232" -0.584962500721156 0.0190109402312238 "Not Corr."
"40" "Rv0465c" 2.10433665981474 0.0166945004120419 "Upregulated"
"108" "Rv1463" 1.72246602447109 0.0161154630356562 "Upregulated"
"120" "Rv1612" -0.584962500721156 0.0159213073869503 "Not Corr."
"174" "Rv2428" 1.37851162325373 0.0152719645836795 "Upregulated"
"106" "Rv1461" 2.23266075679027 0.0131347981249387 "Upregulated"
"27" "Rv0333" 1.0703893278914 0.0118313607713298 "Upregulated"
"204" "Rv2988c" 0.678071905112638 0.00969634914533523 "Upregulated"
"210" "Rv3020c" 0.925999418556223 0.00942640862935158 "Upregulated"
"39" "Rv0464c" 1.13750352374994 0.00775352210774452 "Upregulated"
"223" "Rv3155" -0.678071905112638 0.00687491995550366 "Not Corr."
"262" "Rv3715c" -0.678071905112638 0.00622173764008457 "Not Corr."
"187" "Rv2590" 0.765534746362977 0.00437224812333673 "Upregulated"
"247" "Rv3570c" 0.584962500721156 0.00414250500503715 "Upregulated"
"42" "Rv0468" 0.678071905112638 0.00340220098257526 "Upregulated"
"156" "Rv2347c" 0.584962500721156 0.00161682290512423 "Upregulated"
"267" "Rv3824c" 0.925999418556223 0.00120610681675599 "Upregulated"
"19" "Rv0286" 2 -0.00351343136326724 "Not Corr."
"207" "Rv3006" 0.678071905112638 -0.00527633278697785 "Not Corr."
"219" "Rv3150" -0.584962500721156 -0.00599836329917601 "Downregulated"
"222" "Rv3153" -0.678071905112638 -0.00906362456328558 "Downregulated"
"93" "Rv1345" 1.76553474636298 -0.0101866077978536 "Not Corr."
"105" "Rv1435c" -0.584962500721156 -0.0150039513718733 "Downregulated"
"211" "Rv3049c" 0.678071905112638 -0.0151177193899674 "Not Corr."
"228" "Rv3228" 0.765534746362977 -0.0161751592814513 "Not Corr."
"253" "Rv3615c" 0.925999418556223 -0.0168772011841164 "Not Corr."
"202" "Rv2930" 0.765534746362977 -0.0207253475739767 "Not Corr."
"21" "Rv0288" 1.8073549220576 -0.0220888757132773 "Not Corr."
"257" "Rv3659c" -0.584962500721156 -0.0225755681393826 "Downregulated"
"60" "Rv0710" -0.584962500721156 -0.0227778944036237 "Downregulated"
"17" "Rv0284" 2.03562390973072 -0.0233737749922466 "Not Corr."
"65" "Rv0852" 1 -0.0268430787776371 "Not Corr."
"188" "Rv2611c" -0.765534746362977 -0.0314917857449684 "Downregulated"
"139" "Rv2033c" -0.765534746362977 -0.0347758596549797 "Downregulated"
"2" "Rv0009" -1.43295940727611 -0.0350711486350503 "Downregulated"
"20" "Rv0287" 2 -0.0351486747630016 "Not Corr."
"193" "Rv2633c" 0.678071905112638 -0.0353571572413645 "Not Corr."
"178" "Rv2454c" 0.678071905112638 -0.0355011044550476 "Not Corr."
"245" "Rv3486" 0.584962500721156 -0.035513705374218 "Not Corr."
"155" "Rv2346c" 0.678071905112638 -0.0359479391455066 "Not Corr."
"143" "Rv2121c" 0.678071905112638 -0.0406134619720477 "Not Corr."
"203" "Rv2931" 0.765534746362977 -0.0417622943052156 "Not Corr."
"59" "Rv0706" -0.678071905112638 -0.0421080883949998 "Downregulated"
"220" "Rv3151" 0.584962500721156 -0.0437233596006698 "Not Corr."
"30" "Rv0361" 0.678071905112638 -0.0437745040292597 "Not Corr."
"116" "Rv1535" 0.678071905112638 -0.0486043909217127 "Not Corr."
"24" "Rv0291" 1.58496250072116 -0.0493305489323805 "Not Corr."
"252" "Rv3614c" 1.0703893278914 -0.0530571107432411 "Not Corr."
"118" "Rv1586c" 0.584962500721156 -0.0544231649625185 "Not Corr."
"7" "Rv0131c" -0.678071905112638 -0.0549719949134715 "Downregulated"
"136" "Rv1943c" -0.765534746362977 -0.0561678388213364 "Downregulated"
"216" "Rv3146" -0.84799690655495 -0.0562686201735121 "Downregulated"
"261" "Rv3713" -0.678071905112638 -0.0579320774430167 "Downregulated"
"145" "Rv2123" 3.33628338786443 -0.0586666876274181 "Not Corr."
"179" "Rv2455c" 0.678071905112638 -0.0599551631051626 "Not Corr."
"237" "Rv3355c" 0.678071905112638 -0.0634999930298305 "Not Corr."
"171" "Rv2391" 0.765534746362977 -0.0645228863400838 "Not Corr."
"33" "Rv0423c" 0.678071905112638 -0.0649210325109944 "Not Corr."
"197" "Rv2792c" -0.584962500721156 -0.064931509960242 "Downregulated"
"153" "Rv2280" -0.584962500721156 -0.0651166659848523 "Downregulated"
"45" "Rv0526" -0.584962500721156 -0.0694421598395484 "Downregulated"
"218" "Rv3148" -0.765534746362977 -0.0733313787454045 "Downregulated"
"268" "Rv3825c" 0.765534746362977 -0.0753299663447181 "Not Corr."
"128" "Rv1875" 0.584962500721156 -0.0753928386080995 "Not Corr."
"28" "Rv0337c" -0.678071905112638 -0.0755255030639324 "Downregulated"
"243" "Rv3477" 0.584962500721156 -0.0854525993231724 "Not Corr."
"124" "Rv1836c" -0.584962500721156 -0.0859561138906441 "Downregulated"
