RV_number	Gene_name	Iron_up	Iron_down	Enhanced_upregulation_at_Fe-	Enhanced_downregulation_at_Fe-
Rv0001	dnaA	0	0	0	0
Rvnr01	rrs	0	0	0	0
Rvnt01	ileT	0	0	0	0
RVnc0001	AS1890	0	0	0	0
Rvns01	rnpB	1	0	1	0
Rv0002	dnaN	0	0	0	0
RVnc0002	ASdes	0	0	0	0
Rvnt02	alaT	0	0	0	0
Rvnr02	rrl	1	0	1	0
Rv0003	recF	0	0	0	0
Rvnr03	rrf	0	1	0	0
Rvnt03	leuT	0	0	0	0
Rv0004	.	0	0	0	0
Rvnt04	glyU	0	0	0	0
RVnc0004	B11	0	0	0	0
Rv0005	gyrB	0	0	0	0
Rvnt05	tyrT	0	0	0	0
RVnc0005	B55	0	0	0	0
Rv0006	gyrA	0	0	0	0
Rvnt06	thrT	0	0	0	0
Rv0007	.	0	0	0	0
Rv0008c	.	0	0	0	0
Rvnt08	trpT	0	0	0	0
RVnc0008	F6	0	0	0	0
Rv0009	ppiA	0	1	0	1
Rvnt09	thrV	0	0	0	0
Rv0010c	.	0	0	0	0
RVnc0010	G2	0	0	0	0
Rv0011c	.	0	0	0	0
Rvnt11	gluT	0	0	0	0
Rv0012	.	0	1	0	0
RVnc0012	mcr10	0	0	0	0
Rv0013	trpG	0	1	0	0
RVnc0013	mcr11	0	0	0	0
Rvnt13	pheU	0	0	0	0
Rvnt14	argT	0	0	0	0
Rv0014c	pknB	0	1	0	1
Rvnt15	alaV	0	1	0	0
Rv0015c	pknA	0	1	0	1
RVnc0015	mcr15	0	0	0	0
Rv0016c	pbpA	0	0	0	0
Rvnt17	leuX	0	0	0	0
Rv0017c	rodA	0	0	0	0
Rvnt18	argV	0	0	0	0
RVnc0018	mcr16	0	0	0	0
Rv0018c	pstP	0	1	0	0
Rvnt19	leuW	0	0	0	0
Rv0019c	fhaB	0	1	0	0
Rvnt20	leuV	0	0	0	0
Rv0020c	fhaA	0	1	0	0
Rv0021c	.	0	0	0	0
RVnc0021	mcr3	1	0	1	0
Rvnt21	proT	0	0	0	0
Rv0022c	whiB5	0	0	0	0
Rvnt22	leuU	0	0	0	0
Rv0023	.	0	1	0	1
Rvnt24	metV	0	0	0	0
Rv0024	.	0	0	0	0
RVnc0024	mcr7	1	0	1	0
Rvnt25	asnT	0	0	0	0
Rv0025	.	0	0	0	0
Rvnt26	proU	0	0	0	0
Rv0026	.	0	0	0	0
Rv0027	.	0	0	0	0
Rv0028	.	0	0	0	0
Rvnt28	argW	0	0	0	0
Rv0029	.	0	1	0	0
Rvnt29	hisT	0	0	0	0
Rv0030	.	0	0	0	0
Rvnt30	lysU	0	0	0	0
Rvnt31	valT	0	0	0	0
Rv0032	bioF2	0	0	0	0
Rvnt32	glyT	0	0	0	0
Rv0034	.	0	0	0	0
RVnc0034	MTS0858	0	0	0	0
Rv0035	fadD34	0	0	0	0
RVnc0035	MTS1082	0	0	0	0
Rvnt35	gluU	0	0	0	0
RVnc0036a	MTS2823	1	0	0	0
RVnc0036	MTS1338	0	0	0	0
Rv0036c	.	0	0	0	0
Rvnt36	glnU	0	0	0	0
Rv0037c	.	0	1	0	0
Rvnt37	alaU	0	0	0	0
Rv0038	.	1	0	0	0
Rvnt38	metU	0	0	0	0
Rv0039c	.	0	0	0	0
Rvnt39	thrU	0	0	0	0
RVnc0040	MTS2975	0	0	0	0
Rv0040c	mtc28	0	0	0	0
Rvnt40	proY	0	0	0	0
Rvnt41	serV	0	0	0	0
Rv0041	leuS	0	0	0	0
Rvnt42	serX	0	0	0	0
Rv0042c	.	0	0	0	0
Rv0043c	.	0	0	0	0
Rvnt43	argU	0	0	0	0
Rv0044c	.	0	0	0	0
Rvnt44	serT	0	0	0	0
