"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 1320.59024680424 0.0294648278171812 0.196483707946925 6.44287290660425e-05 0.00922625930789877 0.149960666586872 0.880795647788039 0.999973230412293
"Rv0002" "Rv0002" "dnaN" 576.142336530065 0.00779922306308721 0.176650873062319 1.88599468626921e-05 0.00868940210662385 0.0441504925952774 0.964784444725288 0.999973230412293
"Rv0003" "Rv0003" "recF" 277.188681019832 0.103799293826567 0.152894291011106 0.000315842196595035 0.00894118831942146 0.678895811871927 0.497203879570963 0.999973230412293
"Rv0004" "Rv0004" "." 275.530062917067 0.119525383071396 0.146935225993629 0.000391767967461029 0.00912214726558968 0.81345628499308 0.415956500118798 0.999973230412293
"Rv0005" "Rv0005" "gyrB" 12197.1035057647 0.00879156272831724 0.186948997155572 2.0059025127584e-05 0.00893322242786336 0.0470265305622434 0.962492082584848 0.999973230412293
"Rv0006" "Rv0006" "gyrA" 7266.05769514185 -0.0825135199804796 0.128595629149785 -0.000314211502476901 0.00822431161007988 -0.641651046198232 0.521099781149663 0.999973230412293
"Rv0007" "Rv0007" "." 959.385004759797 -0.03698978070608 0.20383349981497 -7.8575380035583e-05 0.00945571732489026 -0.181470566612737 0.855998234011248 0.999973230412293
"Rv0008c" "Rv0008c" "." 139.097616363871 -0.0397850905435578 0.224054155989849 -7.89324962772382e-05 0.0100511181601879 -0.17756908086704 0.859061408494431 0.999973230412293
"Rv0009" "Rv0009" "ppiA" 1497.85970760366 -0.0350711486350503 0.197454578027341 -7.64881891089302e-05 0.0092758437782142 -0.177616285149864 0.859024334206079 0.999973230412293
"Rv0010c" "Rv0010c" "." 440.071078076137 0.181516401736704 0.199573988797938 0.000464958078932417 0.0119104681879311 0.909519335811263 0.363076056018596 0.999973230412293
"Rv0011c" "Rv0011c" "." 523.275599677886 0.146198915389831 0.312502114620424 0.00027361627252276 0.0144383911883963 0.467833363519507 0.639903759619496 0.999973230412293
"Rv0012" "Rv0012" "." 751.730859805756 0.143745351349913 0.201400225444832 0.000340435823314863 0.0108484302213917 0.713729843312854 0.475394248838096 0.999973230412293
"Rv0013" "Rv0013" "trpG" 512.084119586303 -0.0207852874220491 0.169260954763257 -5.28099658096703e-05 0.0085499065415471 -0.122800249183996 0.902265276934227 0.999973230412293
"Rv0014c" "Rv0014c" "pknB" 1476.26247901892 -0.0532496706985806 0.165654748316765 -0.000140422794148357 0.00862867757270619 -0.321449709348244 0.747869617614202 0.999973230412293
"Rv0015c" "Rv0015c" "pknA" 1217.94271737461 -0.21966793137711 0.242417668938685 -0.000516978580721494 0.0143103339659621 -0.906154787886649 0.364853929731102 0.999973230412293
"Rv0016c" "Rv0016c" "pbpA" 1076.41639954947 0.0180959174860912 0.134355098955108 6.24271064257473e-05 0.00790353698797216 0.134687240207665 0.892859162096907 0.999973230412293
"Rv0017c" "Rv0017c" "rodA" 873.398043958249 0.0646471480893819 0.196172694583979 0.000143867941125523 0.00944378111324779 0.329542030436388 0.741746030678527 0.999973230412293
"Rv0018c" "Rv0018c" "pstP" 1740.6800073994 -0.0569112596919937 0.15440231408196 -0.000164112503499539 0.00842788852457457 -0.368590717246529 0.712432815708054 0.999973230412293
"Rv0019c" "Rv0019c" "fhaB" 862.188932924833 0.0105646215890157 0.202467127884472 2.24322192798774e-05 0.00933455239394243 0.0521794411735019 0.958385714180927 0.999973230412293
"Rv0020c" "Rv0020c" "fhaA" 5767.37474769621 -0.146913475204519 0.229220822284835 -0.000315421688639607 0.0116820463392425 -0.640925522123643 0.521571073007569 0.999973230412293
"Rv0021c" "Rv0021c" "." 129.524981187562 0.108116950442302 0.191973490516754 0.000255084475134954 0.00988487837326908 0.563186876225843 0.573307638472389 0.999973230412293
"Rv0022c" "Rv0022c" "whiB5" 6.57818282888772 0.157284249622425 0.612816793602818 0.00028232383635468 0.0265030234871471 0.256657864576024 0.797442901308274 0.999973230412293
"Rv0023" "Rv0023" "." 185.384001168359 0.0303546269343555 0.211311712010875 6.25475572300165e-05 0.00963339300216676 0.143648577949117 0.885777978772294 0.999973230412293
"Rv0024" "Rv0024" "." 311.969197290914 0.04448901002979 0.187491371021584 0.000102168676289786 0.00907233357945519 0.237285640333114 0.81243520138749 0.999973230412293
"Rv0025" "Rv0025" "." 161.775727597404 0.0910617391372431 0.209357345848169 0.000195780542199604 0.0100949755792846 0.434958414133141 0.663592613055338 0.999973230412293
"Rv0026" "Rv0026" "." 300.716245903743 0.0559500655672003 0.151303521841354 0.000165590810256423 0.00836197070175706 0.369786934806882 0.711541250814707 0.999973230412293
"Rv0027" "Rv0027" "." 93.8951828143025 -0.10996721690544 0.244459088389522 -0.000217287218948518 0.0114298112876717 -0.449838938817515 0.652826578581769 0.999973230412293
"Rv0028" "Rv0028" "." 74.1024357133733 0.137465630373243 0.288536610326368 0.000260546006646366 0.0134056108938261 0.476423529817425 0.633772674707541 0.999973230412293
"Rv0029" "Rv0029" "." 372.635288925686 -0.0132648873651838 0.159043837154656 -3.6274276604842e-05 0.00832413907304683 -0.0834039696381621 0.933530332196811 0.999973230412293
"Rv0030" "Rv0030" "." 54.9033755955156 0.0465264030113169 0.275101764522347 8.40627366300291e-05 0.0117886274623768 0.169124335105955 0.865698843995737 0.999973230412293
"Rv0032" "Rv0032" "bioF2" 89.1197452549527 -0.0129309099941517 0.220854721132831 -2.57323326182678e-05 0.00985964560928199 -0.0585493935915207 0.953311019547516 0.999973230412293
"Rv0034" "Rv0034" "." 8.12417248003739 0.220883144449507 0.623374583061128 0.000403323170671023 0.0276764478101046 0.354334537293523 0.72308818755413 0.999973230412293
