"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 1320.59024680424 0.414355290349326 0.204459694667438 0.398813755607247 0.203754081607906 2.02658666307456 0.0427047016381254 0.0604156863886251
"Rv0002" "Rv0002" "dnaN" 576.142336530065 0.0232378295684961 0.198835659599606 0.0218887728428233 0.19299785886568 0.116869527404138 0.906963446246864 0.924026777349497
"Rv0003" "Rv0003" "recF" 277.188681019832 -1.53247511141533 0.243492382631937 -1.49524528571733 0.240968262670231 -6.29372917070599 3.09928379350823e-10 1.00869010942309e-09
"Rv0004" "Rv0004" "." 275.530062917067 -1.54640158277214 0.237065916500002 -1.51079072223789 0.234745162655111 -6.52308693549428 6.88749143232212e-11 2.36810662210088e-10
"Rv0005" "Rv0005" "gyrB" 12197.1035057647 0.276405408914583 0.18798030388498 0.264628150859949 0.185845462332555 1.47039558508059 0.141454646401649 0.181126984013146
"Rv0006" "Rv0006" "gyrA" 7266.05769514185 -0.999964099650191 0.132822959870447 -0.992239863607226 0.132376831519411 -7.52854853276528 5.13074476526901e-14 2.1720709923761e-13
"Rv0007" "Rv0007" "." 959.385004759797 -1.90256056079219 0.234170749302227 -1.86151632977109 0.232281915414218 -8.12467213117509 4.48573311953635e-16 2.16191266169002e-15
"Rv0008c" "Rv0008c" "." 139.097616363871 1.1783405017112 0.273843767340461 1.14091921569953 0.270310903744344 4.3029662977365 1.68526493543466e-05 3.69356266625056e-05
"Rv0009" "Rv0009" "ppiA" 1497.85970760366 -2.28055182103402 0.227474166404761 -2.23674406905906 0.226185221373111 -10.0255420519976 1.17711911380944e-23 8.45227886693005e-23
"Rv0010c" "Rv0010c" "." 440.071078076137 0.130420888572387 0.225369483869748 0.122105204439554 0.218729641922912 0.578698084287949 0.562792908844294 0.620042258147472
"Rv0011c" "Rv0011c" "." 523.275599677886 0.120283154692552 0.327075260268684 0.108998188440525 0.311985560659101 0.367753753658232 0.713056855285378 0.754671194016745
"Rv0012" "Rv0012" "." 751.730859805756 0.717291607659561 0.215862447342339 0.699614083034005 0.215493508757884 3.32291056870118 0.000890834695028152 0.00162382630945057
"Rv0013" "Rv0013" "trpG" 512.084119586303 0.13137572411567 0.198166929425741 0.124164733047276 0.193249451608053 0.662954835584212 0.507359480302563 0.566655575393782
"Rv0014c" "Rv0014c" "pknB" 1476.26247901892 -1.85436288627895 0.190276269654479 -1.82757470511618 0.189233974468911 -9.74563401755916 1.92572979829651e-22 1.29679110251435e-21
"Rv0015c" "Rv0015c" "pknA" 1217.94271737461 -1.74449533551368 0.264671471668117 -1.69577214411985 0.261706279311808 -6.59117253748141 4.36366403350727e-11 1.52454534647355e-10
"Rv0016c" "Rv0016c" "pbpA" 1076.41639954947 -1.41295488194997 0.16487880177487 -1.39680398113397 0.164054047925246 -8.56965763178735 1.03793155960067e-17 5.39586020117736e-17
"Rv0017c" "Rv0017c" "rodA" 873.398043958249 -1.60481755769424 0.226040833645575 -1.57134269926315 0.22407063145897 -7.0996798755863 1.25046197023211e-12 4.8561267150747e-12
"Rv0018c" "Rv0018c" "pstP" 1740.6800073994 -0.949205141510524 0.171000666613911 -0.936916973679873 0.170166069975792 -5.55088562112836 2.84226010088697e-08 7.98412977907659e-08
"Rv0019c" "Rv0019c" "fhaB" 862.188932924833 -0.662435415456843 0.224393837556687 -0.643407576684473 0.224180923925267 -2.95211055111751 0.0031560991348113 0.00537833502037992
"Rv0020c" "Rv0020c" "fhaA" 5767.37474769621 -0.488257877687879 0.232124772142078 -0.468368044289111 0.231386054755892 -2.1034285706871 0.0354283231424202 0.0509160807955561
"Rv0021c" "Rv0021c" "." 129.524981187562 -0.432352107908345 0.280092078689934 -0.406236755106408 0.27626484766012 -1.54360705211862 0.122683555570593 0.159288439283963
"Rv0022c" "Rv0022c" "whiB5" 6.57818282888772 -2.10964111102981 1.53850004458742 -1.09738997320731 1.15210334445726 -1.37123240161852 0.170302520586343 0.214889814811052
"Rv0023" "Rv0023" "." 185.384001168359 -2.63893414082031 0.39896302643879 -2.49823945654816 0.394093610358776 -6.61448296193227 3.72852596538105e-11 1.31323601978507e-10
