"RV" "Gene" "LogFC_with_Fe" "Fdr_with_Fe" "LogFC_without_Fe" "Fdr_without_Fe" "LogFC_Interaction" "Fdr_Interaction" "Int"
"Rv1991A" "Rv1991A" "mazE6" 1.84682089483654 1.74030280421845e-11 6.70587255029512 4.38562932361343e-195 4.73302580527019 8.11037128575387e-39 "Up"
"Rv1991c" "Rv1991c" "mazF6" 1.82025423181413 6.61753336921823e-13 4.98308136494686 4.56855194085156e-100 3.02361621768312 1.25060956132953e-17 "Up"
"Rv1992c" "Rv1992c" "ctpG" 2.87480577255825 1.91908056506508e-19 8.87442166532438 1.57518720613228e-166 5.79243989680917 5.51384832615688e-36 "Up"
"Rv1993c" "Rv1993c" "." 2.06820248632318 7.49000984977983e-07 9.52206097521197 6.99767659111876e-126 7.04458362176709 2.66905327041978e-32 "Up"
"Rv1994c" "Rv1994c" "cmtR" 2.44340911794418 1.8411302479835e-32 10.7263469695713 4.38562932361343e-196 8.18243461677518 8.21743199845874e-190 "Up"
"Rv1995" "Rv1995" "." 2.82795095106616 6.66576828431123e-11 6.84605235440273 6.89832695051919e-95 3.60788010776527 4.91899336514988e-10 "Up"
"Rv2640c" "Rv2640c" "." 3.07823055367552 5.26595824081355e-29 4.47327023040607 1.04977813081925e-60 1.0335809398577 0.0046601657937439 "Up"
"Rv2641" "Rv2641" "cadI" 2.6478377805413 1.0736189446961e-32 6.1604039528398 2.81472937977659e-183 3.41658016880377 2.94368383725924e-27 "Up"
"Rv2642" "Rv2642" "." 1.53431969736032 4.34649216601423e-06 5.10372327079656 4.10842366408335e-59 3.36718554447282 1.85826380747722e-12 "Up"
"Rv2643" "Rv2643" "arsC" 2.0787672693794 1.51889529154297e-13 5.27115969637503 3.40217807278895e-84 3.0038627872215 7.51994136556717e-14 "Up"
