"RV" "Gene" "LogFC_with_Fe" "Fdr_with_Fe" "LogFC_without_Fe" "Fdr_without_Fe" "LogFC_Interaction" "Fdr_Interaction" "Int"
"Rv0211" "Rv0211" "pckA" 2.40447679715808 7.90705384033137e-35 3.12052609781385 2.31887265561979e-57 0.53027382145281 0.0557454791600942 "N.S."
"Rv0427c" "Rv0427c" "xthA" -2.45153201605146 2.07671233390503e-10 -1.7237364562896 7.26125873115704e-06 0.366761597172414 0.359437100321029 "N.S."
"Rv0428c" "Rv0428c" "." -2.16914447013885 9.81555384796417e-07 -2.93459736728152 1.86064501352326e-05 -0.280139310496684 0.492885003638823 "N.S."
"Rv0429c" "Rv0429c" "def" -2.87649894519079 1.17644515018207e-17 -3.12442964951643 3.77108753903308e-12 -0.119066530190154 0.792025557324928 "N.S."
"Rv0694" "Rv0694" "." -2.93839401436036 5.70134686450762e-80 -3.44732892019152 1.45651773629924e-89 -0.391080303237175 0.120063487724031 "N.S."
"Rv0951" "Rv0951" "sucC" -0.854318590069199 1.67219129163861e-06 -1.46189765371741 1.57136881652461e-14 -0.463246753581371 0.0820780642379774 "N.S."
"Rv0952" "Rv0952" "sucD" -1.63978030272847 1.66182637065339e-17 -2.08815967081807 4.81147289678436e-22 -0.305356123120958 0.321056076861358 "N.S."
"Rv1240" "Rv1240" "mdh" -1.45033383725232 1.04974565998595e-10 -2.17949300187696 4.16619486292476e-16 -0.48987512784919 0.135143905542564 "N.S."
"Rv1872c" "Rv1872c" "lldD2" 2.25260202918223 1.12273607430673e-55 2.05482874785995 2.2758363808174e-46 -0.159546397672018 0.553242822262079 "N.S."
"Rv2589" "Rv2589" "gabT" 0.00614404855337422 0.976979244684579 0.0034522135835711 0.98683433846144 -0.00186640561008274 0.995413519791299 "N.S."
