"RV" "Gene" "LogFC_with_Fe" "Fdr_with_Fe" "LogFC_without_Fe" "Fdr_without_Fe" "LogFC_Interaction" "Fdr_Interaction" "Int"
"Rv0136" "Rv0136" "cyp138" 3.05682977260673 1.82260493174645e-49 4.21447326253685 8.16831205944352e-93 0.953000003013467 0.00114053547498583 "Up"
"Rv0527" "Rv0527" "ccdA" -1.92350961768607 6.59640351053111e-11 -3.37044919921557 5.50023029471023e-23 -1.01260055508629 0.0113602157156629 "Down"
"Rv0529" "Rv0529" "ccsA" -1.57658975698039 2.48285789450894e-11 -2.55430527905825 1.93005863643242e-20 -0.697909431935526 0.0380945722791069 "Down"
"Rv0764c" "Rv0764c" "cyp51" 1.99877209527938 2.24218790945467e-29 3.84126518273221 1.14779448504375e-115 1.71126240050076 3.14331908432229e-12 "Up"
"Rv0766c" "Rv0766c" "cyp123" 2.51959199651105 2.68871936354216e-19 4.58867669516854 2.01345441767168e-63 1.7241225195857 5.72973509181911e-06 "Up"
"Rv0886" "Rv0886" "fprB" 0.522085782513438 0.00155180079141242 2.30839323868477 2.98439744204375e-51 1.69874374775258 1.9334436243785e-14 "Up"
"Rv1260" "Rv1260" "." -1.76221469303284 2.52031983502058e-15 -2.69812831857292 3.25640260149839e-21 -0.667491378480899 0.0463442586571682 "Down"
"Rv1304" "Rv1304" "atpB" 0.761666816915675 0.000105680054717291 0.745282621374196 0.000180406499651219 -0.014387743082873 0.971823384512813 "N.S."
"Rv1305" "Rv1305" "atpE" 0.445243874006087 0.0646326690860075 0.584672539875883 0.0149481135484576 0.0859881237178098 0.831988785328822 "N.S."
"Rv1306" "Rv1306" "atpF" 0.468322632650603 0.0295721216271813 0.294698365122692 0.17576005013009 -0.111748150899766 0.763255937622886 "N.S."
"Rv1307" "Rv1307" "atpH" 0.289613216544157 0.146045615011551 0.146850529774393 0.467696036718292 -0.0973131338035945 0.783764279319628 "N.S."
"Rv1308" "Rv1308" "atpA" 0.193408801958175 0.400407766264253 0.239472427405659 0.274907789368376 0.0336652287222853 0.93859399863113 "N.S."
"Rv1309" "Rv1309" "atpG" 0.00512879255575985 0.983548964159777 -0.0683093376352094 0.778042129440133 -0.04855264489703 0.91204420793101 "N.S."
"Rv1310" "Rv1310" "atpD" -0.364825069845599 0.141290679618364 -0.674122438159804 0.00522232959454512 -0.19254542902188 0.585266129471043 "N.S."
"Rv1311" "Rv1311" "atpC" -0.270056620257936 0.228859275458694 -0.269533056447129 0.259408573592791 -0.00407533769921152 0.992867059003488 "N.S."
"Rv1360" "Rv1360" "." -0.958453507815977 5.065076626718e-09 -1.78919099421402 2.00328061449743e-20 -0.690897417007759 0.00697064747187883 "Down"
"Rv1695" "Rv1695" "ppnK" -1.24557893031711 9.75578459658909e-11 -2.16258438088113 6.57767261169068e-18 -0.711926083425728 0.0201535327576488 "Down"
"Rv1846c" "Rv1846c" "blaI" 1.0729749024409 1.97192545400762e-12 1.80134869816049 7.10127470903469e-33 0.617415614073109 0.00545414568314769 "Up"
"Rv2858c" "Rv2858c" "aldC" -1.78270772330502 4.18233493698279e-21 -2.89666589967273 2.50291649506094e-26 -0.900977422902656 0.00532981821527935 "Down"
"Rv3145" "Rv3145" "nuoA" -2.58711271156704 4.64645531037984e-47 -4.31474423039126 7.51280953622719e-50 -1.52227882390542 6.00708196117173e-06 "Down"
"Rv3146" "Rv3146" "nuoB" -2.13479672121046 2.38521689644022e-33 -4.46849764206256 6.67217705845659e-35 -2.11873178470591 9.6193245256082e-08 "Down"
"Rv3147" "Rv3147" "nuoC" -2.2887707416623 2.24942778823898e-38 -4.22282618967852 2.99991259581397e-43 -1.72841277606245 6.63568173265894e-07 "Down"
