"RV" "Gene" "LogFC_with_Fe" "Fdr_with_Fe" "LogFC_without_Fe" "Fdr_without_Fe" "LogFC_Interaction" "Fdr_Interaction" "Int"
"Rv0282" "Rv0282" "eccA3" -0.573548860242701 0.00058398975535338 0.454936827189838 0.00625278032735887 0.936204976072563 6.17128336117874e-05 "Up"
"Rv0283" "Rv0283" "eccB3" -0.788526331617591 0.00305342025181652 0.302271554373134 0.267559040396614 0.846457797708812 0.0142336117859722 "Up"
"Rv0284" "Rv0284" "eccC3" -1.12933043499521 2.21059921601346e-07 0.156123624733422 0.502861554559739 1.13586933245959 0.000193522287247808 "Up"
"Rv0285" "Rv0285" "PE5" -2.01899329606422 4.42963130064947e-09 -1.04816830069305 0.00208346412588751 0.591659902302057 0.126605121062399 "N.S."
"Rv0286" "Rv0286" "PPE4" -1.81441309776435 1.88376432861094e-07 -0.502933373435771 0.164432784068157 0.869459661753612 0.034123098258951 "Up"
"Rv0287" "Rv0287" "esxG" -1.43730460429695 2.23892165527884e-09 0.0710308135843944 0.782832622304283 1.33604185026613 5.01719629566801e-05 "Up"
"Rv0288" "Rv0288" "esxH" -1.13186617441618 1.74196561576441e-06 -0.130750522923457 0.601797109858695 0.78943804839972 0.0128969063618147 "Up"
"Rv0289" "Rv0289" "espG3" -1.17421491404254 1.90711302307678e-06 -0.188807990323874 0.471073562282253 0.749519569523776 0.0224848543814431 "Up"
"Rv0290" "Rv0290" "eccD3" -1.25666822824533 6.43690927030598e-05 -0.441039218837521 0.175729248357479 0.488152021378082 0.1871570831668 "N.S."
"Rv0291" "Rv0291" "mycP3" -0.886118443741247 0.0127980918956781 -0.108124444266881 0.776945897634756 0.421096752102793 0.277015379847521 "N.S."
"Rv0292" "Rv0292" "eccE3" -0.884730583107412 6.45050489354122e-06 0.294486814432393 0.133117407002712 1.06201563664833 9.50176148798173e-05 "Up"
"Rv2358" "Rv2358" "smtB" 2.76436771437123 1.01923362548031e-45 3.65450861447781 2.13431711312793e-80 0.700206295809576 0.0110029360883799 "Up"
"Rv2359" "Rv2359" "zur" 2.37886148302939 1.8806082011125e-25 3.70039415962001 9.47000153866489e-61 1.08444100550638 0.000638650015486982 "Up"
"Rv3269" "Rv3269" "." 3.54148344385572 6.72854850783747e-65 4.96790558264397 4.24271237096434e-126 1.22958991124808 3.05715206872898e-05 "Up"
"Rv1994c" "Rv1994c" "cmtR" 2.44340911794418 1.8411302479835e-32 10.7263469695713 6.44501142468645e-216 8.18243461677518 8.21743199845874e-190 "Up"
"Rv3270" "Rv3270" "ctpC" 3.62086561601385 6.44501142468645e-215 5.91938419520104 6.44501142468645e-216 2.2458818387094 3.07722445374087e-42 "Up"
