ID	Ontology Source	Term	GOLevels	GOGroups	Nr. Genes	% Associated Genes	Term PValue	Term PValue Corrected with Benjamini-Hochberg	Group PValue	Group PValue Corrected with Benjamini-Hochberg	Associated Genes Found	All Associated Genes	OverViewTerm
GO:0000724	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	double-strand break repair via homologous recombination	[7, 8, 9]	[Group12]	5	100.0	0.004755783733889396	0.045805706489566285	{Group12=1.0627837337152039E-4}	{Group12=3.1883512011456115E-4}	[recB, recC, recD, recN, ruvA]	[recB, recC, recD, recN, ruvA]	FALSE
GO:0004527	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	exonuclease activity	[7, 8]	[Group12]	16	61.53846	0.00401274105855685	0.03969360074140019	{Group12=1.0627837337152039E-4}	{Group12=3.1883512011456115E-4}	[Rv2681, Rv2752c, Rv2837c, Rv3201c, Rv3202c, dnaE1, dnaQ, gpsI, ligD, polA, recB, recC, recD, xseA, xseB, xthA]	[Rv1277, Rv2090, Rv2179c, Rv2191, Rv2681, Rv2752c, Rv2823c, Rv2837c, Rv3201c, Rv3202c, Rv3644c, dnaE1, dnaE2, dnaN, dnaQ, gpsI, ligD, orn, polA, recB, recC, recD, rphA, xseA, xseB, xthA]	FALSE
GO:0005315	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	inorganic phosphate transmembrane transporter activity	[5, 6, 7, 8]	[Group05]	7	87.5	0.003121037273915507	0.034615140674335625	{Group05=2.786225253342384E-4}	{Group05=5.572450506684768E-4}	[phoT, pitA, pitB, pstA2, pstB, pstC1, pstC2]	[phoT, pitA, pitB, pstA1, pstA2, pstB, pstC1, pstC2]	FALSE
GO:0005975	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	carbohydrate metabolic process	[3]	[Group08]	78	50.64935	1.1890849736300664E-5	0.001450683667828681	{Group08=1.1890849736300664E-5}	{Group08=7.134509841780399E-5}	[Rv0111, Rv0221, Rv0228, Rv0295c, Rv0895, Rv1524, Rv1526c, Rv1565c, Rv1771, Rv2285, Rv2402, Rv2974c, Rv2983, Rv3031, Rv3032, Rv3137, Rv3401, Rv3807c, aceE, acpM, aftA, aftB, aftC, aftD, bglS, celA1, devB, dlaT, dprE2, eno, fba, fbiA, fbiB, fgd1, galE1, gap, glcB, glfT1, glfT2, glgP, glpD2, glpK, glpX, gnd2, gpdA2, icd1, icd2, lpdC, lpqI, manA, mdh, mrsA, nagA, otsA, pca, pgi, pgk, pgmA, pmmA, pmmB, prpC, prsA, rbsK, rmlB, rmlC, rpe, sdaA, suhB, tal, tgs3, tpi, treX, treY, treZ, ubiA, wbbL1, zwf1, zwf2]	[PE_PGRS11, Rv0111, Rv0221, Rv0228, Rv0295c, Rv0315, Rv0365c, Rv0517, Rv0584, Rv0648, Rv0784, Rv0895, Rv1084, Rv1096, Rv1254, Rv1425, Rv1524, Rv1526c, Rv1565c, Rv1692, Rv1760, Rv1771, Rv1987, Rv2285, Rv2402, Rv2484c, Rv2974c, Rv2975c, Rv2983, Rv3031, Rv3032, Rv3087, Rv3137, Rv3277, Rv3371, Rv3401, Rv3404c, Rv3480c, Rv3683, Rv3740c, Rv3789, Rv3807c, aceAa, aceE, acpM, aftA, aftB, aftC, aftD, aglA, bglS, celA1, citA, clgR, cpsY, cysQ, deoC, devB, dlaT, dprE1, dprE2, eno, fba, fbiA, fbiB, fgd1, fucA, galE1, galE2, galK, gap, garA, glcB, glf, glfT1, glfT2, glgA, glgB, glgC, glgE, glgP, glmS, glmU, glpD1, glpD2, glpK, glpQ1, glpX, gmhA, gmhB, gnd1, gnd2, gpdA1, gpdA2, gpm1, gpm2, hddA, icd1, icd2, icl1, impA, ino1, lpdC, lpqI, mak, malQ, manA, mdh, mrsA, murG, nagA, otsA, otsB1, papA3, pca, pckA, pfkA, pfkB, pgi, pgk, pgmA, pknJ, pmmA, pmmB, ppgK, prpC, prsA, pykA, rbsK, rfe, rmlA, rmlB, rmlC, rmlD, rpe, rpiB, sdaA, suhB, tal, tgs1, tgs2, tgs3, tgs4, tpi, treS, treX, treY, treZ, ubiA, udgA, wbbL1, xylB, zwf1, zwf2]	TRUE
GO:0006082	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	organic acid metabolic process	[3]	[Group06]	175	40.88785	0.0010276535704959154	0.018806060340075252	{Group06=0.0010276535704959154}	{Group06=0.0015414803557438732}	[Rv0161, Rv0295c, Rv0466, Rv0669c, Rv0694, Rv1059, Rv1129c, Rv1683, Rv1716, Rv1718, Rv1769, Rv1771, Rv1867, Rv1885c, Rv2294, Rv2522c, Rv2859c, Rv2949c, Rv2983, Rv3015c, Rv3075c, Rv3137, Rv3329, Rv3382c, Rv3762c, accA1, accD1, accD2, aceE, ackA, acn, acpM, acpS, aldC, alr, amiB1, ansA, aroD, aroE, aroG, asd, ask, aspB, bioB, bioD, bioF1, cbs, cfp21, citE, cobB, cobQ1, cysE, cysK1, dapB, dapC, dapD, dlaT, echA21, echA4, echA6, echA8, echA9, egtD, egtE, eno, entC, etgB, fabG1, fabG4, fabH, fadA3, fadB3, fadD1, fadD10, fadD11, fadD22, fadD30, fadD31, fadD34, fadD6, fadD8, fba, fbiA, fbiB, fbiC, folC, folD, fum, gadB, gap, gcvT, gdh, glcB, glnA1, glnA4, gltS, gnd2, guaA, hadB, hadC, hemA, hisC2, htdX, htdY, htdZ, icd1, icd2, ilvA, ilvC, ilvE, ilvN, ilvX, inhA, leuC, leuD, lpdC, ltp1, lysA, mapA, mapB, mdh, metB, metE, metS, mez, nadA, nadB, nadC, nrp, oxcA, pca, pgi, pgk, pheT, pknA, pknB, pknD, pks1, pks12, pks15, pks17, pks5, pks6, pks7, pks8, pks9, plsB1, ppdK, ppk1, ppnK, ppsB, ppsC, ppsD, ppsE, priA, proA, proC, prpC, prpD, serB2, snoP, snzP, sseB, tesB2, thrA, thrB, thrC, thrS, tpi, trpA, trpB, trpC, trpD, trpS, tyrS]	[PE_PGRS11, Rv0100, Rv0161, Rv0260c, Rv0295c, Rv0466, Rv0535, Rv0669c, Rv0694, Rv0769, Rv0812, Rv0818, Rv0843, Rv0859, Rv0914c, Rv0948c, Rv1005c, Rv1059, Rv1129c, Rv1188, Rv1248c, Rv1372, Rv1414, Rv1533, Rv1627c, Rv1683, Rv1716, Rv1718, Rv1769, Rv1771, Rv1856c, Rv1867, Rv1885c, Rv1894c, Rv1897c, Rv2001, Rv2141c, Rv2205c, Rv2294, Rv2499c, Rv2522c, Rv2573, Rv2859c, Rv2949c, Rv2983, Rv3015c, Rv3075c, Rv3137, Rv3230c, Rv3329, Rv3382c, Rv3538, Rv3548c, Rv3684, Rv3762c, aao, accA1, accA3, accD1, accD2, accD3, accD6, aceAa, aceAb, aceE, ackA, acn, acpM, acpS, acs, alaS, ald, aldC, alr, amiB1, ansA, arcA, argA, argB, argC, argD, argF, argG, argH, argJ, argR, argS, aroA, aroB, aroD, aroE, aroF, aroG, aroK, asd, ask, asnB, aspB, aspS, bioA, bioB, bioD, bioF1, bkdA, bkdB, carA, carB, cbs, cfp21, citE, cmaA1, cmaA2, cobB, cobQ1, cobQ2, csd, cyp124, cysE, cysH, cysK1, cysK2, cysM, cysO, cysQ, cysS1, dapA, dapB, dapC, dapD, dapE, dapF, desA1, desA2, desA3, dfp, dfrA, dlaT, dxr, dxs1, dxs2, echA12, echA13, echA14, echA17, echA18, echA2, echA20, echA21, echA4, echA6, echA8, echA9, egtC, egtD, egtE, eno, entC, etgB, fabD, fabG1, fabG2, fabG4, fabH, fadA3, fadA4, fadA5, fadB, fadB2, fadB3, fadD1, fadD10, fadD11, fadD13, fadD15, fadD17, fadD19, fadD21, fadD22, fadD23, fadD24, fadD25, fadD26, fadD28, fadD29, fadD30, fadD31, fadD32, fadD34, fadD35, fadD6, fadD7, fadD8, fadD9, fadE20, fadE28, fadE29, fadE5, fadE7, fas, fba, fbiA, fbiB, fbiC, fcoT, folB, folC, folD, folK, folP1, frdD, fum, gabT, gadB, gap, garA, gatB, gatC, gcpE, gcvB, gcvH, gcvT, gdh, glcB, glmS, glnA1, glnA2, glnA3, glnA4, glnE, gltB, gltD, gltS, glyA1, glyA2, glyS, gnd1, gnd2, gpm1, gshA, guaA, hadB, hadC, hemA, hisB, hisC1, hisC2, hisD, hisE, hisF, hisG, hisH, hisI, hisS, hsaF, htdX, htdY, htdZ, icd1, icd2, icl1, ileS, ilvA, ilvB1, ilvB2, ilvC, ilvD, ilvE, ilvG, ilvN, ilvX, inhA, ispD, ispE, ispF, kasA, kasB, lat, leuA, leuB, leuC, leuD, leuS, lipA, lipB, lipV, lldD2, lpdC, ltp1, ltp4, lysA, lysS, lysX, lytB2, mapA, mapB, mas, mbtB, mbtC, mbtE, mbtF, mbtI, mbtL, mbtM, mdh, mec, metA, metB, metC, metE, metH, metS, metZ, mez, mhpE, mmaA1, mmaA2, mmaA3, mmaA4, mmpL3, mmsA, mmsB, mmuM, moeB1, mshC, mtn, mutA, mutB, nadA, nadB, nadC, narG, narH, narI, narJ, narK2, narU, narX, nirB, nirD, nrp, oxcA, panB, panC, panD, pca, pcaA, pckA, pfkA, pfkB, pgi, pgk, pheA, pheS, pheT, pknA, pknB, pknD, pknE, pknG, pknJ, pknL, pks1, pks10, pks11, pks12, pks13, pks15, pks16, pks17, pks2, pks3, pks5, pks6, pks7, pks8, pks9, plsB1, plsB2, ppdK, ppk1, ppnK, ppsA, ppsB, ppsC, ppsD, ppsE, priA, proA, proB, proC, proS, prpC, prpD, purF, purQ, pykA, pyrB, pyrG, rocA, sahH, serA1, serA2, serB2, serC, serS, snoP, snzP, sseB, tesB1, tesB2, thrA, thrB, thrC, thrS, tpi, trpA, trpB, trpC, trpD, trpE, trpG, trpS, tyrA, tyrS, udgA, ufaA1, umaA, valS]	FALSE
GO:0006091	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	generation of precursor metabolites and energy	[3]	[Group10]	62	56.880733	6.702521681686647E-7	2.4531229354973126E-4	{Group10=6.702521681686647E-7}	{Group10=8.043026018023975E-6}	[Rv0161, Rv0247c, Rv0248c, Rv1718, Rv2199c, Rv3032, Rv3198A, aceE, acn, ctaC, ctaD, devB, dlaT, eno, fba, fdxC, fixA, fixB, fum, gabD1, gabD2, gap, glcB, glgP, gltA2, gnd2, icd1, icd2, lpdC, mdh, mqo, nuoA, nuoB, nuoC, nuoD, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, pgi, pgk, pntAa, pntAb, prpC, prpD, rpe, sdhA, sdhB, sdhC, sucC, sucD, tal, tkt, tpi, treX, zwf1, zwf2]	[PE_PGRS11, Rv0083, Rv0161, Rv0247c, Rv0248c, Rv0688, Rv1248c, Rv1718, Rv2199c, Rv2454c, Rv2455c, Rv3032, Rv3198A, Rv3230c, aceE, acn, bisC, citA, ctaC, ctaD, ctaE, cydA, cydB, devB, dlaT, eno, fba, fdxA, fdxC, fdxD, fixA, fixB, frdA, frdB, fum, gabD1, gabD2, gap, garA, glcB, glgA, glgB, glgC, glgE, glgP, gltA2, gltD, gnd1, gnd2, gpm1, hycE, icd1, icd2, icl1, lpdC, mak, malQ, mdh, mqo, mutA, narG, narH, narI, narX, ndh, nrdH, nuoA, nuoB, nuoC, nuoD, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, pfkA, pfkB, pgi, pgk, pknJ, pntAa, pntAb, prpC, prpD, pykA, qcrB, qcrC, rpe, rpiB, rubA, rubB, sdhA, sdhB, sdhC, sucC, sucD, tal, tkt, tpi, treS, treX, trxA, trxC, zwf1, zwf2]	FALSE
GO:0006099	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	tricarboxylic acid cycle	[3, 7]	[Group10]	19	76.0	2.311880573142896E-5	0.0021153707244257495	{Group10=6.702521681686647E-7}	{Group10=8.043026018023975E-6}	[Rv0247c, acn, fum, gabD1, gabD2, glcB, gltA2, icd1, icd2, lpdC, mdh, mqo, prpC, prpD, sdhA, sdhB, sdhC, sucC, sucD]	[Rv0247c, Rv1248c, Rv2454c, Rv2455c, acn, citA, frdB, fum, gabD1, gabD2, glcB, gltA2, icd1, icd2, icl1, lpdC, mdh, mqo, prpC, prpD, sdhA, sdhB, sdhC, sucC, sucD]	FALSE
GO:0006302	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	double-strand break repair	[6, 7, 8]	[Group12]	10	83.333336	6.967894044236108E-4	0.01500146600112009	{Group12=1.0627837337152039E-4}	{Group12=3.1883512011456115E-4}	[ligD, mku, polA, priA, recB, recC, recD, recF, recN, ruvA]	[ligD, mku, polA, priA, recB, recC, recD, recF, recN, recO, ruvA, uvrD1]	FALSE
GO:0006553	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	lysine metabolic process	[6, 7, 9]	[Group09]	9	75.0	0.004778760288921658	0.04484682732680325	{Group09=8.589453998730253E-5}	{Group09=3.435781599492101E-4}	[Rv1059, Rv1718, Rv2522c, asd, ask, dapB, dapC, dapD, lysA]	[Rv1059, Rv1718, Rv2522c, asd, ask, dapA, dapB, dapC, dapD, dapE, dapF, lysA]	FALSE
GO:0006566	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	threonine metabolic process	[6, 7, 9]	[Group09]	6	100.0	0.0016274960412258953	0.023826542043547106	{Group09=8.589453998730253E-5}	{Group09=3.435781599492101E-4}	[asd, ask, ilvA, thrA, thrB, thrC]	[asd, ask, ilvA, thrA, thrB, thrC]	FALSE
