NAME	double-strand break repair via homologous recombination	recombinational repair	exonuclease activity	exodeoxyribonuclease activity	generation of precursor metabolites and energy	double-strand break repair	DNA recombination	transport	organelle organization	NADH dehydrogenase (ubiquinone) activity	lipid biosynthetic process	aerobic respiration	aspartate family amino acid metabolic process	oxidoreduction-driven active transmembrane transporter activity	organic cation transport	peptide transport	cellular component organization	exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	carboxylic acid metabolic process	cell cycle process	cellular component assembly	DNA duplex unwinding	cell wall biogenesis	cellular component biogenesis	cellular lipid metabolic process	cellular polysaccharide metabolic process	nucleoside monophosphate kinase activity	chromosome organization	DNA conformation change	organic substance transport	Actinobacterium-type cell wall biogenesis	DIM/DIP cell wall layer assembly	phenolic phthiocerol biosynthetic process	carbohydrate derivative metabolic process	carbohydrate derivative transport
double-strand break repair via homologous recombination	1.0	0.7102977667493784	0.2738675235824614	0.4543481889500938	-0.019815593659009936	0.7102977667493784	0.29985007496251737	-0.020875593280421628	0.24449602588450284	-0.014941591958705763	-0.020681065074851	-0.017757688271852763	-0.01759973181360861	-0.01603114622695355	-0.01335336337840071	-0.013957816377171924	0.060896174863388004	0.42059553349875994	-0.021183545168784564	-0.011818002757531382	-0.01945709946848895	0.4357177380376988	-0.019853087155052754	-0.02043190782939251	-0.02084767032344201	-0.01759973181360861	-0.010822510822501338	0.32183699400979976	0.35292953285827244	-0.019736289577558824	-0.019094380796509137	-0.01724450898529591	-0.010822510822501338	-0.02089338569576872	-0.013957816377171924
recombinational repair	0.7102977667493784	1.0	0.38482480021076687	0.3409878127004531	-0.03365898336131909	0.5468219311014064	0.4851157662624041	-0.03683611019943267	0.32348680481199116	-0.021658280463793513	-0.03623470204735221	-0.028123002627656112	-0.0277288732394373	-0.024025169224904438	-0.018473380372030477	-0.01965065502183928	0.0831021383755176	0.32023289665211113	-0.03780590259898669	-0.01565898216615856	-0.032637537590658856	0.5348605577689243	-0.033767305744194724	-0.03547671840354828	-0.03674925668979219	-0.0277288732394373	-0.013957816377171924	0.41322443851107316	0.4476174383237579	-0.033430806923260246	-0.031629681694948404	-0.026857232605621	-0.013957816377171924	-0.03689154568744702	-0.01965065502183928
exonuclease activity	0.2738675235824614	0.38482480021076687	1.0	0.6588750913075233	-0.054469031159897915	0.3028014402388685	0.2466566061299881	-0.06330484117800717	0.20434458524118865	-0.02871828342987549	-0.0615492218919396	-0.0413097054336371	-0.040464864213884365	-0.03303347588851215	-0.023374726077430154	-0.025291999648724854	0.03340369284997056	0.712918240098358	-0.06622428134638254	-0.019043840507834427	-0.05184336349626652	0.32406490439552016	-0.054753268085689644	-0.03531656011548792	-0.06304875949270256	-0.040464864213884365	-0.016585466984554494	0.25811781152697494	0.27752740969933354	-0.053873983594225856	-0.049345728510374914	-0.03863506386223545	-0.016585466984554494	-0.06346874311320079	-0.025291999648724854
exodeoxyribonuclease activity	0.4543481889500938	0.3409878127004531	0.6588750913075233	1.0	-0.030346429262628833	0.4608082103912778	0.20762898259284848	-0.03290520352334049	0.15431380157806174	-0.020236863286192574	-0.032424465733234736	-0.02577244106018331	-0.025441053986523347	-0.022288557213927977	-0.017429193899783157	-0.018473380372030477	0.027521951010068466	0.8202694034637582	-0.03367689194877896	-0.014902204284386524	-0.029513654564269055	0.2702364829669756	-0.030434451799436414	-0.03181617322138809	-0.032835880372192726	-0.025441053986523347	-0.01335336337840071	0.20300690776107252	0.22187143734105313	-0.03016083102715184	-0.028687054966445878	-0.02470540430719419	-0.01335336337840071	-0.03294943177484516	-0.018473380372030477
generation of precursor metabolites and energy	-0.019815593659009936	-0.03365898336131909	-0.054469031159897915	-0.030346429262628833	1.0	-0.03365898336131909	-0.08055775436887347	0.0433569366259656	-0.07845552236967629	0.3413258110014102	-0.1389215066389661	0.5932711848004902	-0.03669365369548096	0.41726977788869474	-0.030346429262628833	-0.03365898336131909	-0.16068901239255765	-0.03365898336131909	-0.04972651664626974	-0.02342909511096893	-0.10570346206461174	-0.04602601156069414	-0.11854934313986402	-0.14268669996562303	-0.1350960748891445	0.024288325933665447	-0.019815593659009936	-0.06228674650431528	-0.05714089724242087	-0.1145030577238604	-0.09581540868204877	-0.06228674650431528	-0.019815593659009936	0.0397226428628355	-0.03365898336131909
double-strand break repair	0.7102977667493784	0.5468219311014064	0.3028014402388685	0.4608082103912778	-0.03365898336131909	1.0	0.4279064069582263	-0.03683611019943267	0.26465957044781724	-0.021658280463793513	-0.03623470204735221	-0.028123002627656112	-0.0277288732394373	-0.024025169224904438	-0.018473380372030477	-0.01965065502183928	0.06316957616629006	0.4335274138767573	-0.02514973305509651	-0.01565898216615856	-0.032637537590658856	0.4418326693227099	-0.033767305744194724	-0.03547671840354828	-0.03674925668979219	-0.0277288732394373	-0.013957816377171924	0.3398774933249581	0.3687056437985812	-0.033430806923260246	-0.031629681694948404	-0.026857232605621	-0.013957816377171924	-0.03689154568744702	-0.01965065502183928
DNA recombination	0.29985007496251737	0.4851157662624041	0.2466566061299881	0.20762898259284848	-0.08055775436887347	0.4279064069582263	1.0	-0.10151276003334131	0.3399151925300897	-0.034631529850746336	-0.09707270238800497	-0.05475916109702703	-0.053284465745699575	-0.04110706323745415	-0.027147615157417357	-0.02976846747519325	0.08120515392330808	0.19906896974151533	-0.09704531217373114	-0.021475442433882615	-0.0749441473156856	0.4804761375013907	-0.08118103370516218	-0.09181721572794875	-0.10085587872633638	-0.053284465745699575	-0.018399890963610055	0.4064333202972245	0.4290371879775866	-0.07926296064959472	-0.06983446644989647	-0.0501564333202964	-0.018399890963610055	-0.10193487494101015	-0.02976846747519325
transport	-0.020875593280421628	-0.03683611019943267	-0.06330484117800717	-0.03290520352334049	0.0433569366259656	-0.03683611019943267	-0.10151276003334131	1.0	-0.08155775671631176	0.15183436251362173	-0.18142392482833347	0.05095079111627207	-0.08115646134495139	0.19045824540247236	0.11206394784835697	0.12545128096221833	-0.13381800425895538	-0.03683611019943267	-0.3376279106338528	-0.024925536918011592	-0.08265923912137066	-0.052180169263683726	-0.06525091563323288	-0.11482125489964974	-0.25121754853696204	-0.08115646134495139	-0.020875593280421628	-0.07411632656816337	-0.06694280884893297	0.5518890171906257	-0.06305304054632324	-0.039744604117982356	-0.020875593280421628	-0.24869551673113385	0.12545128096221833
organelle organization	0.24449602588450284	0.32348680481199116	0.20434458524118865	0.15431380157806174	-0.07845552236967629	0.26465957044781724	0.3399151925300897	-0.08155775671631176	1.0	-0.034237146106421985	-0.07484279314454717	-0.05377961639714106	-0.052356522989882685	-0.04055258467023298	-0.026904669512353683	-0.029476601373056254	0.3751236255744952	0.14700510171946768	-0.09319052663240335	0.10634226353198646	0.15111294028878106	0.6538176426982947	-0.07904657667517871	0.06648898196182923	-0.09758230546395348	-0.052356522989882685	-0.018287965112190198	0.8367703600139812	0.7810595405532124	-0.047713843334281025	-0.06824914688566415	-0.049333399910120354	-0.018287965112190198	-0.09859204381868655	-0.029476601373056254
NADH dehydrogenase (ubiquinone) activity	-0.014941591958705763	-0.021658280463793513	-0.02871828342987549	-0.020236863286192574	0.3413258110014102	-0.021658280463793513	-0.034631529850746336	0.15183436251362173	-0.034237146106421985	1.0	-0.0437049913086656	0.3430026127152144	-0.03190167103991168	0.8767484824491938	-0.020236863286192574	-0.021658280463793513	-0.04408166708850067	-0.021658280463793513	-0.046011442141623435	-0.01690790316382418	-0.03857668291848509	-0.026185680278333515	-0.040165041808157824	-0.04260698819162391	-0.044455779643725706	-0.03190167103991168	-0.014941591958705763	-0.030753384343728568	-0.029444182018581094	-0.03968985106709629	-0.03717651602935584	-0.030753384343728568	-0.014941591958705763	-0.044664172791698355	-0.021658280463793513
