Function	Groups	Group Genes
arginine metabolic process	Group03	arcA|argB|argC|argD|argF|argG|argH|argJ|argR
homeostatic process	Group06	Rv1619|Rv2025c|Rv3402c|ahpC|ahpD|bcp|ctpA|ctpC|ctpV|cydC|glbN|glbO|irtA|mbtB|mbtI|mpt53|mscL|mymT|nrdH|pckA|phoY2|pks2|sthA|trxA|whiB1|whiB3|whiB4|whiB7
negative regulation of biological process	Group11	Rv0079|Rv0190|Rv0207c|Rv0229c|Rv0792c|Rv1773c|Rv2295|Rv2367c|Rv3098A|Rv3180c|Rv3241c|Rv3660c|blaI|clgR|crp|csoR|espL|ethR|furA|garA|higA|higB|hrcA|hspR|hspX|ideR|mazE3|mazE6|mazF1|mazF2|mazF3|mazF5|mazF6|mce2R|mprA|phoP|phoY2|pknG|pknH|pknL|ptpA|rnc|rne|rsbW|sirR|uvrA|vapB3|vapC1|vapC10|vapC12|vapC15|vapC17|vapC22|vapC24|vapC25|vapC28|vapC3|vapC30|vapC31|vapC35|vapC36|vapC37|vapC43|vapC46|vapC48|vapC6|vapC9|whiB1|whiB3|whiB4|whiB7|zur
negative regulation of transcription, DNA-templated	Group15	Rv0079|Rv0190|Rv0792c|Rv1773c|Rv2295|Rv3098A|Rv3241c|Rv3660c|blaI|clgR|crp|csoR|espL|ethR|furA|garA|higA|higB|hrcA|hspR|hspX|ideR|mazE3|mazE6|mazF1|mazF2|mazF3|mazF5|mazF6|mce2R|mprA|phoP|phoY2|pknG|pknH|pknL|ptpA|rsbW|sirR|uvrA|vapB3|vapC15|vapC22|vapC25|vapC28|vapC30|vapC31|vapC35|vapC43|vapC46|whiB1|whiB3|whiB4|whiB7|zur
phosphorelay signal transduction system	Group00	Rv0260c|Rv0818|Rv2884|devR|devS|dosT|kdpD|kdpE|moaR1|mprA|mprB|mtrB|phoP|phoR|prrB|regX3|senX3
positive regulation of nucleobase-containing compound metabolic process	Group13	Rv0818|Rv1904|Rv2050|Rv2638|Rv2884|clgR|crp|devR|dnaK|hbhA|katG|kdpE|mprA|phoP|pknH|regX3|rpsD|rseA|rsfA|sigB|sigF|zur
reactive nitrogen species metabolic process	Group07	Rv0818|argG|glbN|narG|narH|narI|narJ|narK2|narX|nirB|nirD
response to decreased oxygen levels	Group10	PE_PGRS11|Rv0569|Rv1425|Rv1760|Rv2005c|Rv2484c|Rv2629|Rv3087|Rv3134c|Rv3371|Rv3480c|TB31.7|acg|ald|cmaA2|devR|dosT|espG1|fdxA|higA|higB|hrp1|hspX|icl1|kshB|mpa|narG|narH|narK2|narX|pncB2|sigB|sigC|sigF|tgs1|tgs2|tgs4|vapC15|whiB1
response to host	Group02	PPE10|PPE55|Rv0146|Rv0792c|Rv0918|Rv1738|Rv2295|Rv2307c|Rv3087|Rv3237c|Rv3402c|acg|clgR|cmaA2|cut2|desA1|eccB1|eccCa1|eccCb1|espC|espH|espL|fadA4|fadD19|fadD26|fdxA|hisE|hrp1|hspX|icl1|irtA|lipX|mbtB|mbtI|mca|mce1R|mce2R|mpa|mpt83|msrA|nadR|pckA|pknG|pknH|pncB2|prcA|prcB|ptpA|sigE|vapB3|vapC3
response to inorganic substance	Group09	Rv0190|Rv1425|Rv1760|Rv2484c|Rv2642|Rv3087|Rv3371|Rv3480c|cadI|cmtR|csoR|ctpG|ctpV|dnaK|furA|hsp|hspX|katG|kmtR|lpqS|mpa|mymT|narG|narH|sigA|sigC|sigE|smtB|sodA|tgs1|tgs2|tgs4|whiB1|zur
response to organic substance	Group05	Rv0077c|Rv1685c|Rv1686c|Rv1687c|Rv3160c|Rv3161c|adhD|atsA|kshA|mmpL6|pckA|whiB7
response to oxidative stress	Group08	Rv1286|Rv1676|Rv1732c|Rv1767|Rv2159c|Rv2455c|Rv2688c|adhD|ahpC|ahpD|bcp|clgR|cysD|dhaA|dipZ|dnaK|ethA|fadA5|fpg|ftsH|furA|glbN|glbO|higB|hsp|hspX|icl1|ideR|katG|lipJ|mazE3|mazE6|mazE7|mca|mpa|mpt53|msrA|narG|narH|parD2|pckA|pepD|phoP|sigE|sigF|sodA
response to oxygen-containing compound	Group14	PE_PGRS11|Rv0190|Rv0569|Rv1425|Rv1760|Rv2005c|Rv2484c|Rv2629|Rv2642|Rv3087|Rv3134c|Rv3371|Rv3480c|TB31.7|acg|adhD|ald|cadI|cmaA2|cmtR|csoR|ctpG|ctpV|devR|dnaK|dosT|espG1|fdxA|furA|glbN|glbO|higA|higB|hrp1|hsp|hspX|icl1|katG|kmtR|kshA|kshB|lpqS|mpa|mymT|narG|narH|narK2|narX|pckA|plsB2|pncB2|sigA|sigB|sigC|sigE|sigF|smtB|sodA|tgs1|tgs2|tgs4|vapC15|whiB1|whiB7|zur
response to pH	Group04	Rv3083|Rv3085|Rv3087|adhD|clgR|fadD13|fadE28|lipR|mprA|narH|tgs4
response to temperature stimulus	Group01	clgR|clpB|deaD|dnaJ1|dnaJ2|dnaK|hspX|sigB|sigC|sigE|sigF
sterol metabolic process	Group12	Rv1817|Rv2216|Rv3541c|Rv3551|aceAa|choD|cyp123|cyp124|cyp125|cyp51|cysQ|erg3|fadA5|fadD19|fadE26|fadE27|fadE28|fadE29|fadE34|hsaA|hsaD|icl1|impA|kshA|kshB|kstD
transcription, DNA-templated	Group16	PE26|PE_PGRS11|Rv0079|Rv0081|Rv0135c|Rv0142|Rv0144|Rv0148|Rv0190|Rv0195|Rv0207c|Rv0208c|Rv0229c|Rv0232|Rv0238|Rv0260c|Rv0275c|Rv0302|Rv0324|Rv0328|Rv0452|Rv0474|Rv0576|Rv0653c|Rv0767c|Rv0775|Rv0792c|Rv0802c|Rv0818|Rv0825c|Rv0828c|Rv0880|Rv0918|Rv0998|Rv1019|Rv1041c|Rv1139c|Rv1152|Rv1159A|Rv1167c|Rv1219c|Rv1287|Rv1322A|Rv1372|Rv1404|Rv1433|Rv1451|Rv1556|Rv1586c|Rv1647|Rv1685c|Rv1773c|Rv1776c|Rv1828|Rv1829|Rv1870c|Rv1897c|Rv1904|Rv1945|Rv1977|Rv2034|Rv2050|Rv2132|Rv2175c|Rv2204c|Rv2212|Rv2293c|Rv2367c|Rv2372c|Rv2625c|Rv2630|Rv2631|Rv2638|Rv2640c|Rv2642|Rv2646|Rv2651c|Rv2659c|Rv2842c|Rv2884|Rv2912c|Rv2961|Rv3007c|Rv3050c|Rv3058c|Rv3060c|Rv3066|Rv3098A|Rv3160c|Rv3173c|Rv3180c|Rv3204|Rv3241c|Rv3277|Rv3334|Rv3405c|Rv3557c|Rv3627c|Rv3640c|Rv3644c|Rv3645|Rv3660c|Rv3668c|Rv3733c|Rv3736|Rv3749c|Rv3788|Rv3789|Rv3833|ahpC|ahpD|alkA|arcA|argR|atpB|bcp|bkdA|blaI|blaR|clgR|cmaA2|cmtR|cpsY|crp|csoR|cya|cydC|cyp51|cysQ|cysS1|deaD|deoC|devR|devS|dfp|dnaE2|dnaJ1|dnaJ2|dnaK|dosT|end|erg3|erm(37)|ethR|fadE7|fic|fmt|fpg|ftsH|furA|garA|gcvH|glbN|glbO|glgB|glgE|greA|guaB2|guaB3|gyrB|hbhA|higA|higB|hrcA|hsaA|hsaD|hspR|hspX|htpX|ideR|ileS|impA|infA|infC|katG|kdpD|kdpE|kmtR|kshA|kshB|kstD|kstR|ldtA|ldtB|ligB|lipA|lipB|lipJ|lspA|mazE2|mazE6|mazF1|mazF2|mazF3|mazF5|mazF6|mbtB|mbtI|mbtK|mce1R|mce2R|mesJ|mmsA|moaA2|moaC2|moaE2|moaR1|moaX|mobA|mpa|mprA|mprB|mpt53|msrA|mtrB|murA|murE|murF|murX|nadD|nadE|nadR|narK2|nmtR|nrdB|nrdE|nrdF1|nrdH|nrdI|nrdZ|nth|nusA|nusG|ogt|pepA|pepD|pfkA|pfkB|phoP|phoR|phoY2|pip|pknG|pknH|pknK|pknL|pks11|pncB2|prcA|prcB|proS|prrB|pth|ptpA|purF|purM|purT|pykA|pyrG|recO|regX3|relA|rfe|rho|rip|rnc|rne|rplC|rplN|rplS|rplT|rplU|rplW|rplX|rplY|rpmI|rpmJ|rpoA|rpoB|rpoZ|rpsB|rpsD|rpsF|rpsG|rpsJ|rpsK|rpsL|rpsM|rpsO|rpsT|rsbW|rseA|rsfA|senX3|sigA|sigB|sigC|sigE|sigF|sigL|sirR|smtB|sppA|sthA|thyA|trpG|truA|trxA|tsf|udgA|udgB|upp|uvrA|uvrC|vapB1|vapB10|vapB14|vapB29|vapB9|vapC1|vapC10|vapC12|vapC14|vapC15|vapC17|vapC22|vapC24|vapC25|vapC28|vapC3|vapC30|vapC31|vapC35|vapC36|vapC37|vapC43|vapC46|vapC48|vapC6|vapC9|whiB1|whiB3|whiB4|whiB7|zur
