ID	Ontology Source	Term	GOLevels	GOGroups	Nr. Genes	% Associated Genes	Term PValue	Term PValue Corrected with Benjamini-Hochberg	Group PValue	Group PValue Corrected with Benjamini-Hochberg	Associated Genes Found	All Associated Genes	OverViewTerm
GO:0006091	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	generation of precursor metabolites and energy	[3]	[Group4, Group5]	27	24.770641	5.2678689728344496E-11	5.109832903649416E-9	{Group4=1.694601250789752E-11, Group5=1.2098113386101518E-7}	{Group4=8.47300625394876E-11, Group5=3.0245283465253795E-7}	[aceE, acn, fum, gabD2, gap, glcB, glgP, gltA2, gnd2, icd1, nuoA, nuoB, nuoC, nuoD, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoL, nuoM, nuoN, pgk, prpC, prpD, rpe, tpi]	[PE_PGRS11, Rv0083, Rv0161, Rv0247c, Rv0248c, Rv0688, Rv1248c, Rv1718, Rv2199c, Rv2454c, Rv2455c, Rv3032, Rv3198A, Rv3230c, aceE, acn, bisC, citA, ctaC, ctaD, ctaE, cydA, cydB, devB, dlaT, eno, fba, fdxA, fdxC, fdxD, fixA, fixB, frdA, frdB, fum, gabD1, gabD2, gap, garA, glcB, glgA, glgB, glgC, glgE, glgP, gltA2, gltD, gnd1, gnd2, gpm1, hycE, icd1, icd2, icl1, lpdC, mak, malQ, mdh, mqo, mutA, narG, narH, narI, narX, ndh, nrdH, nuoA, nuoB, nuoC, nuoD, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, pfkA, pfkB, pgi, pgk, pknJ, pntAa, pntAb, prpC, prpD, pykA, qcrB, qcrC, rpe, rpiB, rubA, rubB, sdhA, sdhB, sdhC, sucC, sucD, tal, tkt, tpi, treS, treX, trxA, trxC, zwf1, zwf2]	TRUE
GO:0006099	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	tricarboxylic acid cycle	[3, 7]	[Group4]	8	32.0	6.918907540373378E-5	0.0016778350785405442	{Group4=1.694601250789752E-11}	{Group4=8.47300625394876E-11}	[acn, fum, gabD2, glcB, gltA2, icd1, prpC, prpD]	[Rv0247c, Rv1248c, Rv2454c, Rv2455c, acn, citA, frdB, fum, gabD1, gabD2, glcB, gltA2, icd1, icd2, icl1, lpdC, mdh, mqo, prpC, prpD, sdhA, sdhB, sdhC, sucC, sucD]	FALSE
GO:0006810	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	transport	[3]	[Group5]	29	10.701107	0.0012021359404129817	0.01665816946000846	{Group5=1.2098113386101518E-7}	{Group5=3.0245283465253795E-7}	[Rv0073, ansP1, bfrB, ceoC, drrB, emrB, esxB, lpqZ, mmpL10, mmpL7, mycP1, nuoA, nuoB, nuoC, nuoD, nuoF, nuoG, nuoJ, nuoL, nuoM, nuoN, phoT, pitA, proV, proW, proX, pstC2, pstS3, yrbE1A]	[Rv0027, Rv0037c, Rv0073, Rv0083, Rv0143c, Rv0191, Rv0194, Rv0203, Rv0205, Rv0318c, Rv0385, Rv0488, Rv0588, Rv0613c, Rv0813c, Rv0842, Rv0849, Rv0876c, Rv0888, Rv0986, Rv0987, Rv1200, Rv1232c, Rv1250, Rv1258c, Rv1272c, Rv1273c, Rv1410c, Rv1457c, Rv1634, Rv1672c, Rv1686c, Rv1707, Rv1735c, Rv1739c, Rv1877, Rv1979c, Rv1986, Rv1999c, Rv2025c, Rv2038c, Rv2039c, Rv2040c, Rv2059, Rv2199c, Rv2254c, Rv2265, Rv2326c, Rv2395, Rv2415c, Rv2434c, Rv2456c, Rv2459, Rv2585c, Rv2686c, Rv2687c, Rv2688c, Rv2690c, Rv2717c, Rv2994, Rv3041c, Rv3069, Rv3070, Rv3104c, Rv3200c, Rv3236c, Rv3237c, Rv3239c, Rv3253c, Rv3271c, Rv3273, Rv3728, Rv3737, Rv3821, Rv3848, Rv3903c, Rv3910, Rv3921c, amt, ansP1, ansP2, arfA, arsA, arsB1, arsB2, arsC, atpA, atpB, atpC, atpD, atpE, atpF, atpG, bacA, betP, bfrA, bfrB, ceoB, ceoC, chaA, cobD, cobQ1, corA, cstA, ctaC, ctaD, ctaE, ctpA, ctpB, ctpC, ctpD, ctpE, ctpF, ctpG, ctpH, ctpI, ctpJ, ctpV, cycA, cydC, cydD, cysA1, cysT, cysW, dctA, dinF, dppA, dppB, dppC, dppD, drrA, drrB, drrC, eccA3, eccCa1, eccCb1, efpA, emrB, espA, espB, espC, espD, espF, espG1, espI, espR, esxA, esxB, fadD1, fadD17, fadD6, fbpC, ffh, ftsE, ftsW, ftsY, gabP, glbN, glbO, glfT1, glnQ, hbhA, hycE, iniA, irtA, irtB, kdpA, kdpB, kdpC, kdpF, kgtP, lppX, lpqW, lpqY, lpqZ, lprF, lprG, mctB, mgtE, mkl, mmpL10, mmpL3, mmpL7, mmpL8, mmr, mntH, modA, modB, modC, mscL, mycP1, nanT, narK1, narK2, narK3, narU, nicT, nirD, nuoA, nuoB, nuoC, nuoD, nuoF, nuoG, nuoJ, nuoK, nuoL, nuoM, nuoN, oppA, oppB, oppC, oppD, phoP, phoT, phoY1, phoY2, pitA, pitB, pknF, proV, proW, proX, proZ, pstA1, pstA2, pstB, pstC1, pstC2, pstS1, pstS2, pstS3, qcrB, qcrC, rfbD, rfbE, rocE, rodA, secA1, secA2, secD, secE1, secF, secG, secY, sthA, stp, subI, sugA, sugB, sugC, sugI, tatA, tatB, tatC, tig, ugpA, ugpC, ugpE, uspA, uspB, viuB, yajC, yjcE, yrbE1A, yrbE1B, yrbE2A, yrbE3A, yrbE3B, yrbE4A, yrbE4B]	FALSE
GO:0006811	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	ion transport	[4]	[Group5]	14	12.5	0.006752644846626349	0.038529797066044466	{Group5=1.2098113386101518E-7}	{Group5=3.0245283465253795E-7}	[bfrB, ceoC, drrB, mmpL7, nuoB, nuoL, nuoM, phoT, pitA, proV, proW, proX, pstC2, pstS3]	[Rv0143c, Rv0203, Rv0318c, Rv0888, Rv1232c, Rv1457c, Rv1686c, Rv1707, Rv1739c, Rv2025c, Rv2059, Rv2199c, Rv3069, Rv3070, Rv3104c, Rv3200c, Rv3236c, Rv3237c, Rv3271c, Rv3273, Rv3848, Rv3903c, amt, arfA, arsA, arsB1, arsB2, arsC, atpA, atpB, atpC, atpD, atpE, atpF, atpG, bfrA, bfrB, ceoB, ceoC, chaA, corA, ctaC, ctaD, ctaE, ctpA, ctpB, ctpC, ctpD, ctpE, ctpF, ctpG, ctpH, ctpI, ctpJ, ctpV, cydC, cydD, cysA1, cysT, cysW, dctA, drrA, drrB, drrC, eccA3, irtA, irtB, kdpA, kdpB, kdpC, kdpF, mctB, mgtE, mmpL7, mntH, modA, modB, modC, mscL, nanT, narK1, narK2, narK3, narU, nicT, nirD, nuoB, nuoL, nuoM, phoT, phoY1, phoY2, pitA, pitB, proV, proW, proX, proZ, pstA1, pstA2, pstB, pstC1, pstC2, pstS1, pstS2, pstS3, qcrB, qcrC, sthA, subI, viuB, yjcE]	FALSE
GO:0006817	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	phosphate ion transport	[7]	[Group1]	4	30.76923	0.006128464875094853	0.03715381830526254	{Group1=0.006128464875094853}	{Group1=0.006128464875094853}	[phoT, pitA, pstC2, pstS3]	[phoT, phoY1, phoY2, pitA, pitB, pstA1, pstA2, pstB, pstC1, pstC2, pstS1, pstS2, pstS3]	TRUE
GO:0008137	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	NADH dehydrogenase (ubiquinone) activity	[6, 7, 9]	[Group4, Group5]	10	76.92308	1.2470205534283289E-10	6.048049684127395E-9	{Group4=1.694601250789752E-11, Group5=1.2098113386101518E-7}	{Group4=8.47300625394876E-11, Group5=3.0245283465253795E-7}	[nuoA, nuoB, nuoC, nuoD, nuoF, nuoG, nuoJ, nuoL, nuoM, nuoN]	[Rv0083, hycE, nuoA, nuoB, nuoC, nuoD, nuoF, nuoG, nuoJ, nuoK, nuoL, nuoM, nuoN]	TRUE
GO:0009088	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	threonine biosynthetic process	[7, 8, 9, 10]	[Group3]	3	60.0	0.0020231333022519065	0.016353660859869577	{Group3=0.0013084284411842804}	{Group3=0.0021807140686404673}	[asd, ask, thrC]	[asd, ask, thrA, thrB, thrC]	TRUE
GO:0015399	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	primary active transmembrane transporter activity	[5, 7]	[Group5]	11	16.923077	0.0014918013815362501	0.016078303778779585	{Group5=1.2098113386101518E-7}	{Group5=3.0245283465253795E-7}	[nuoA, nuoB, nuoC, nuoD, nuoF, nuoG, nuoJ, nuoL, nuoM, nuoN, phoT]	[Rv0083, Rv0194, Rv0613c, Rv1272c, Rv1273c, Rv2038c, Rv2199c, Rv2326c, Rv3041c, atpA, atpD, bacA, cobD, cobQ1, ctaC, ctaD, ctaE, ctpA, ctpB, ctpC, ctpD, ctpE, ctpF, ctpG, ctpH, ctpI, ctpJ, ctpV, cydC, cydD, cysA1, cysT, cysW, glfT1, hycE, irtA, irtB, kdpA, kdpB, kdpC, kdpF, modC, nuoA, nuoB, nuoC, nuoD, nuoF, nuoG, nuoJ, nuoK, nuoL, nuoM, nuoN, phoT, pstB, qcrB, qcrC, rfbE, secA1, secA2, secD, secF, secG, sugC, ugpC]	FALSE
GO:0015695	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	organic cation transport	[5, 6]	[Group2]	4	44.444443	0.0013084284411842804	0.0158646948493594	{Group2=0.0013084284411842804}	{Group2=0.0021807140686404673}	[drrB, proV, proW, proX]	[Rv1457c, Rv1686c, drrA, drrB, drrC, proV, proW, proX, proZ]	TRUE
GO:0015980	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_14.03.2022_00h00	energy derivation by oxidation of organic compounds	[4]	[Group4]	17	26.5625	9.587555957025745E-8	3.099976426104991E-6	{Group4=1.694601250789752E-11}	{Group4=8.47300625394876E-11}	[acn, fum, gabD2, glcB, glgP, gltA2, icd1, nuoB, nuoF, nuoG, nuoH, nuoI, nuoL, nuoM, nuoN, prpC, prpD]	[Rv0083, Rv0161, Rv0247c, Rv0248c, Rv1248c, Rv1718, Rv2454c, Rv2455c, Rv3032, acn, bisC, citA, ctaC, ctaD, ctaE, cydA, cydB, frdA, frdB, fum, gabD1, gabD2, garA, glcB, glgA, glgB, glgC, glgE, glgP, gltA2, gltD, icd1, icd2, icl1, lpdC, mak, malQ, mdh, mqo, mutA, narG, narH, narI, narX, ndh, nuoB, nuoF, nuoG, nuoH, nuoI, nuoK, nuoL, nuoM, nuoN, prpC, prpD, qcrB, sdhA, sdhB, sdhC, sucC, sucD, treS, treX]	FALSE
