NAME	organic acid metabolic process	pyruvate metabolic process	generation of precursor metabolites and energy	glycolytic process	glyoxylate cycle	tricarboxylic acid cycle	oxaloacetate metabolic process	threonine biosynthetic process	energy derivation by oxidation of organic compounds	carbohydrate catabolic process	phosphorylation	cytochrome complex assembly	propionate metabolic process	propionate metabolic process, methylcitrate cycle	carboxylic acid metabolic process	positive regulation of catalytic activity	cellular respiration	regulation of binding	negative regulation of binding
organic acid metabolic process	1.0	0.10834553440702777	-0.30601465326290667	0.08589669181659894	0.04218928164196123	-0.03340292275574117	0.031502767134951024	0.04218928164196123	-0.2598673823808019	0.0468521229868229	-0.02925159483429271	-0.09735146743020757	0.06384814495254533	0.031502767134951024	0.9385365853658538	-0.007158196134574035	-0.20315887271601102	-0.007158196134574035	0.001702852277564826
pyruvate metabolic process	0.10834553440702777	1.0	0.18963616317530316	0.8786127167630061	-0.0575539568345327	-0.12499999999999953	-0.04597701149425214	-0.0575539568345327	-0.1595092024539878	0.7789473684210519	0.47587354409317806	-0.06779661016949011	-0.07692307692307734	-0.04597701149425214	0.12167300380228142	-0.06779661016949011	-0.15068493150684922	-0.06779661016949011	-0.04597701149425214
generation of precursor metabolites and energy	-0.30601465326290667	0.18963616317530316	1.0	0.22811316551570487	0.06868319308619518	0.38729198184568836	-0.008230452674897219	-0.07459631566977484	0.6787681011625537	0.28224917309812564	-0.04261481175010333	-0.09276018099547519	0.07832545577312629	0.03978052126200302	-0.26724137931034486	-0.09276018099547519	0.5853252961962171	-0.09276018099547519	-0.05624142661179721
glycolytic process	0.08589669181659894	0.8786127167630061	0.22811316551570487	1.0	-0.05351170568561771	-0.10738255033557029	-0.04336043360433699	-0.05351170568561771	-0.13189600507292326	0.8786127167630061	0.4544509871839283	-0.06225680933852174	-0.06986899563318741	-0.04336043360433699	0.0966037735849057	-0.06225680933852174	-0.12580414581844218	-0.06225680933852174	-0.04336043360433699
glyoxylate cycle	0.04218928164196123	-0.0575539568345327	0.06868319308619518	-0.05351170568561771	1.0	0.29133858267716545	-0.03375527426160499	-0.03960396039604047	0.14343983684568312	-0.0575539568345327	-0.06940777065258373	-0.04419889502762312	-0.04790419161676622	-0.03375527426160499	0.04758364312267647	-0.04419889502762312	0.17776037588097113	-0.04419889502762312	-0.03375527426160499
tricarboxylic acid cycle	-0.03340292275574117	-0.12499999999999953	0.38729198184568836	-0.10738255033557029	0.29133858267716545	1.0	0.07407407407407354	-0.06299212598425263	0.6370967741935482	-0.12499999999999953	-0.19870410367170652	-0.07547169811320725	0.23913043478260868	0.19753086419753121	-0.021621621621621644	-0.07547169811320725	0.734513274336283	-0.07547169811320725	-0.04938271604938284
oxaloacetate metabolic process	0.031502767134951024	-0.04597701149425214	-0.008230452674897219	-0.04336043360433699	-0.03375527426160499	0.07407407407407354	1.0	-0.03375527426160499	0.018691588785046526	-0.04597701149425214	-0.05324074074074108	-0.03703703703703804	-0.03960396039604008	-0.029411764705882706	0.035555555555555556	-0.03703703703703804	0.031287605294824765	-0.03703703703703804	-0.029411764705882706
threonine biosynthetic process	0.04218928164196123	-0.0575539568345327	-0.07459631566977484	-0.05351170568561771	-0.03960396039604047	-0.06299212598425263	-0.03375527426160499	1.0	-0.07070020394289621	-0.0575539568345327	0.009807619766125902	-0.04419889502762312	-0.04790419161676622	-0.03375527426160499	0.04758364312267647	-0.04419889502762312	-0.06891151135473764	-0.04419889502762312	-0.03375527426160499
energy derivation by oxidation of organic compounds	-0.2598673823808019	-0.1595092024539878	0.6787681011625537	-0.13189600507292326	0.14343983684568312	0.6370967741935482	0.018691588785046526	-0.07070020394289621	1.0	-0.0950920245398772	-0.30286148391997947	-0.08681135225375632	0.1732283464566928	0.0913811007268951	-0.24129554655870442	-0.08681135225375632	0.8921971252566736	-0.08681135225375632	-0.05399792315680204
carbohydrate catabolic process	0.0468521229868229	0.7789473684210519	0.28224917309812564	0.8786127167630061	-0.0575539568345327	-0.12499999999999953	-0.04597701149425214	-0.0575539568345327	-0.0950920245398772	1.0	0.40599001663893475	-0.06779661016949011	-0.07692307692307734	-0.04597701149425214	0.05779467680608366	-0.06779661016949011	-0.15068493150684922	-0.06779661016949011	-0.04597701149425214
phosphorylation	-0.02925159483429271	0.47587354409317806	-0.04261481175010333	0.4544509871839283	-0.06940777065258373	-0.19870410367170652	-0.05324074074074108	0.009807619766125902	-0.30286148391997947	0.40599001663893475	1.0	-0.08487084870848681	-0.09967497291440922	-0.05324074074074108	-0.04160000000000002	0.3025830258302581	-0.27255588472932923	0.3025830258302581	0.18981481481481463
