Edge1-Edge2	KappaScore
GO:0006355 (term-term) GO:0006351	1.0
GO:0006355 (term-term-ontology) GO:0006351	2.0
GO:0006826 (term-term) GO:0000041	0.6516853932584268
GO:0006826 (term-term-ontology) GO:0000041	2.0
GO:0006873 (term-term) GO:0000041	0.42133333333333317
GO:0006873 (term-term) GO:0006826	0.5810810810810813
GO:0006879 (term-term) GO:0000041	0.4655172413793107
GO:0006879 (term-term) GO:0006826	0.6516853932584268
GO:0006879 (term-term) GO:0006873	0.9173333333333334
GO:0006979 (term-term) GO:0000302	0.6463878326996197
GO:0006979 (term-term-ontology) GO:0000302	2.0
GO:0009267 (term-term) GO:0006873	0.5365448504983387
GO:0009267 (term-term) GO:0006879	0.5866666666666663
GO:0010038 (term-term) GO:0010035	0.7751813053988718
GO:0010038 (term-term-ontology) GO:0010035	2.0
GO:0010043 (term-term-ontology) GO:0010038	2.0
GO:0010106 (term-term) GO:0006873	0.7114788004136497
GO:0010106 (term-term) GO:0006879	0.7891156462585026
GO:0010106 (term-term) GO:0009267	0.7114788004136497
GO:0010106 (term-term-ontology) GO:0006879	2.0
GO:0010106 (term-term-ontology) GO:0009267	2.0
GO:0010467 (term-term) GO:0006351	0.7438016528925622
GO:0010467 (term-term) GO:0006355	0.7438016528925622
GO:0010468 (term-term) GO:0006351	0.8080495356037154
GO:0010468 (term-term) GO:0006355	0.8080495356037154
GO:0010468 (term-term) GO:0010467	0.9324291596028095
GO:0010468 (term-term-ontology) GO:0006355	2.0
GO:0010468 (term-term-ontology) GO:0010467	2.0
GO:0010556 (term-term) GO:0006351	0.9489291598023065
GO:0010556 (term-term) GO:0006355	0.9489291598023065
GO:0010556 (term-term) GO:0009892	0.40989847715736055
GO:0010556 (term-term) GO:0010467	0.7921529674695805
GO:0010556 (term-term) GO:0010468	0.8577256501784805
GO:0010558 (term-term) GO:0001217	0.4334203655352476
GO:0010558 (term-term) GO:0009892	0.8515167642362961
GO:0010558 (term-term) GO:0010556	0.4200853298326223
GO:0010558 (term-term-ontology) GO:0010556	2.0
GO:0018130 (term-term) GO:0006351	0.7232142857142859
GO:0018130 (term-term) GO:0006355	0.7232142857142859
GO:0018130 (term-term) GO:0010467	0.4903502501786991
GO:0018130 (term-term) GO:0010468	0.5520231213872832
GO:0018130 (term-term) GO:0010556	0.6794682422451992
GO:0019222 (term-term) GO:0006351	0.764795144157815
GO:0019222 (term-term) GO:0006355	0.764795144157815
GO:0019222 (term-term) GO:0010467	0.8883017055008409
GO:0019222 (term-term) GO:0010468	0.9547004383828543
GO:0019222 (term-term) GO:0010556	0.8136272545090182
GO:0019222 (term-term) GO:0018130	0.5107604017216643
GO:0019222 (term-term-ontology) GO:0009892	2.0
GO:0019438 (term-term) GO:0006351	0.7232142857142859
GO:0019438 (term-term) GO:0006355	0.7232142857142859
GO:0019438 (term-term) GO:0010467	0.4903502501786991
GO:0019438 (term-term) GO:0010468	0.5520231213872832
GO:0019438 (term-term) GO:0010556	0.6794682422451992
GO:0019438 (term-term) GO:0018130	0.9558404558404558
GO:0019438 (term-term) GO:0019222	0.5107604017216643
GO:0019540 (term-term) GO:0006879	0.419475655430712
GO:0019540 (term-term) GO:0010106	0.5550239234449758
GO:0019725 (term-term) GO:0006826	0.4334203655352476
GO:0019725 (term-term) GO:0006873	0.8063844552394174
GO:0019725 (term-term) GO:0006879	0.7280701754385969
GO:0019725 (term-term) GO:0009267	0.41915336571825107
GO:0019725 (term-term) GO:0010106	0.5433715220949261
GO:0031323 (term-term) GO:0006351	0.876296887470072
GO:0031323 (term-term) GO:0006355	0.876296887470072
GO:0031323 (term-term) GO:0009892	0.4175365344467639
GO:0031323 (term-term) GO:0010467	0.7719470328592449
GO:0031323 (term-term) GO:0010468	0.8368829867201204
GO:0031323 (term-term) GO:0010556	0.9269059470788578
GO:0031323 (term-term) GO:0018130	0.6150474799123447
GO:0031323 (term-term) GO:0019222	0.8851568288466289
GO:0031323 (term-term) GO:0019438	0.6150474799123447
GO:0031323 (term-term-ontology) GO:0019222	2.0
GO:0031325 (term-term) GO:0009408	0.42133333333333317
GO:0031325 (term-term-ontology) GO:0031323	2.0
GO:0031326 (term-term) GO:0006351	0.9489291598023065
GO:0031326 (term-term) GO:0006355	0.9489291598023065
GO:0031326 (term-term) GO:0009892	0.40989847715736055
GO:0031326 (term-term) GO:0010467	0.7921529674695805
GO:0031326 (term-term) GO:0010468	0.8577256501784805
GO:0031326 (term-term) GO:0010556	1.0
GO:0031326 (term-term) GO:0010558	0.4200853298326223
GO:0031326 (term-term) GO:0018130	0.6794682422451992
GO:0031326 (term-term) GO:0019222	0.8136272545090182
GO:0031326 (term-term) GO:0019438	0.6794682422451992
GO:0031326 (term-term) GO:0031323	0.9269059470788578
GO:0031326 (term-term-ontology) GO:0031323	2.0
GO:0031327 (term-term) GO:0001217	0.4334203655352476
GO:0031327 (term-term) GO:0009892	0.8515167642362961
GO:0031327 (term-term) GO:0010556	0.4200853298326223
GO:0031327 (term-term) GO:0010558	1.0
GO:0031327 (term-term) GO:0031326	0.4200853298326223
GO:0031327 (term-term-ontology) GO:0031326	2.0
GO:0033554 (term-term) GO:0009267	0.5629242819843344
GO:0033554 (term-term-ontology) GO:0009267	2.0
GO:0034654 (term-term) GO:0006351	0.8080495356037154
GO:0034654 (term-term) GO:0006355	0.8080495356037154
GO:0034654 (term-term) GO:0010467	0.5720513441511261
GO:0034654 (term-term) GO:0010468	0.6334975369458127
GO:0034654 (term-term) GO:0010556	0.7628760836308008
GO:0034654 (term-term) GO:0018130	0.9104046242774567
GO:0034654 (term-term) GO:0019222	0.5923039454456891
GO:0034654 (term-term) GO:0019438	0.9104046242774567
GO:0034654 (term-term) GO:0031323	0.6970684039087951
GO:0034654 (term-term) GO:0031326	0.7628760836308008
GO:0034654 (term-term-ontology) GO:0018130	2.0
GO:0034654 (term-term-ontology) GO:0019438	2.0
GO:0042592 (term-term) GO:0006873	0.7091932457786118
GO:0042592 (term-term) GO:0006879	0.6352941176470589
GO:0042592 (term-term) GO:0010106	0.4655172413793101
GO:0042592 (term-term) GO:0019725	0.8970099667774087
GO:0042592 (term-term-ontology) GO:0019725	2.0
GO:0045892 (term-term) GO:0001217	0.47457627118644
GO:0045892 (term-term) GO:0006351	0.4150943396226414
GO:0045892 (term-term) GO:0006355	0.4150943396226414
GO:0045892 (term-term) GO:0009892	0.7947019867549671
GO:0045892 (term-term) GO:0010558	0.9413988657844992
GO:0045892 (term-term) GO:0031327	0.9413988657844992
GO:0045892 (term-term-ontology) GO:0001217	2.0
GO:0045892 (term-term-ontology) GO:0006351	2.0
GO:0045892 (term-term-ontology) GO:0006355	2.0
GO:0046686 (term-term-ontology) GO:0010038	2.0
GO:0046688 (term-term) GO:0010035	0.48141263940520485
GO:0046688 (term-term) GO:0010038	0.6674612634088201
GO:0046688 (term-term-ontology) GO:0010038	2.0
GO:0046915 (term-term) GO:0000041	0.7891156462585026
GO:0046915 (term-term-ontology) GO:0000041	2.0
GO:0048519 (term-term) GO:0006351	0.41398865784499067
GO:0048519 (term-term) GO:0006355	0.41398865784499067
GO:0048519 (term-term) GO:0009892	0.8415672913117548
GO:0048519 (term-term) GO:0010556	0.4349939246658567
GO:0048519 (term-term) GO:0010558	0.7001381851681255
GO:0048519 (term-term) GO:0019222	0.40701381509032936
GO:0048519 (term-term) GO:0031323	0.43701354857307595
GO:0048519 (term-term) GO:0031326	0.4349939246658567
GO:0048519 (term-term) GO:0031327	0.7001381851681255
GO:0048519 (term-term) GO:0045892	0.6477272727272728
GO:0048519 (term-term-ontology) GO:0009892	2.0
GO:0050794 (term-term) GO:0006351	0.8080495356037154
GO:0050794 (term-term) GO:0006355	0.8080495356037154
GO:0050794 (term-term) GO:0010467	0.7071930249455073
GO:0050794 (term-term) GO:0010468	0.7709359605911332
GO:0050794 (term-term) GO:0010556	0.8577256501784805
GO:0050794 (term-term) GO:0018130	0.5520231213872832
GO:0050794 (term-term) GO:0019222	0.8188017535314176
GO:0050794 (term-term) GO:0019438	0.5520231213872832
GO:0050794 (term-term) GO:0031323	0.9300927085943373
GO:0050794 (term-term) GO:0031326	0.8577256501784805
GO:0050794 (term-term) GO:0034654	0.6334975369458127
GO:0050794 (term-term-ontology) GO:0031323	2.0
GO:0051171 (term-term) GO:0006351	0.9000000000000001
GO:0051171 (term-term) GO:0006355	0.9000000000000001
GO:0051171 (term-term) GO:0010467	0.7938931297709926
GO:0051171 (term-term) GO:0010468	0.8593750000000001
GO:0051171 (term-term) GO:0010556	0.9508196721311476
GO:0051171 (term-term) GO:0018130	0.6363636363636362
GO:0051171 (term-term) GO:0019222	0.8615384615384617
GO:0051171 (term-term) GO:0019438	0.6363636363636362
GO:0051171 (term-term) GO:0031323	0.976
GO:0051171 (term-term) GO:0031326	0.9508196721311476
GO:0051171 (term-term) GO:0034654	0.7187500000000002
GO:0051171 (term-term) GO:0048519	0.4000000000000001
GO:0051171 (term-term) GO:0050794	0.9062500000000001
GO:0051171 (term-term-ontology) GO:0019222	2.0
GO:0051172 (term-term) GO:0006351	0.4306122448979593
GO:0051172 (term-term) GO:0006355	0.4306122448979593
GO:0051172 (term-term) GO:0009892	0.9044193216855088
GO:0051172 (term-term) GO:0010556	0.4568462037637897
GO:0051172 (term-term) GO:0010558	0.9463358338141951
GO:0051172 (term-term) GO:0031323	0.4072837632776934
GO:0051172 (term-term) GO:0031326	0.4568462037637897
GO:0051172 (term-term) GO:0031327	0.9463358338141951
GO:0051172 (term-term) GO:0045892	0.888086642599278
GO:0051172 (term-term) GO:0048519	0.7497757847533633
GO:0051172 (term-term) GO:0051171	0.42307692307692296
GO:0051172 (term-term-ontology) GO:0009892	2.0
GO:0051172 (term-term-ontology) GO:0051171	2.0
GO:0051173 (term-term) GO:0009408	0.42133333333333317
GO:0051173 (term-term) GO:0031325	1.0
GO:0051173 (term-term-ontology) GO:0051171	2.0
GO:0051253 (term-term) GO:0001217	0.4334203655352476
GO:0051253 (term-term) GO:0006351	0.4550155118924509
GO:0051253 (term-term) GO:0006355	0.4550155118924509
GO:0051253 (term-term) GO:0009892	0.8515167642362961
GO:0051253 (term-term) GO:0010556	0.4200853298326223
GO:0051253 (term-term) GO:0010558	0.8879518072289158
