"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 1320.59024680424 0.431453879205679 0.201346204800659 0.41921404023485 0.19866026564555 2.14284584918219 0.0321254783510097 0.0489286094103855
"Rv0002" "Rv0002" "dnaN" 576.142336530065 -0.0944471452935192 0.191663643439206 -0.0918255599409052 0.189024424154149 -0.49277548730037 0.622171232777834 0.68165769194605
"Rv0003" "Rv0003" "recF" 277.188681019832 -1.16423055713833 0.20421859759236 -1.13256660408659 0.201801324249976 -5.70090369272954 1.19173953902036e-08 4.01260143578616e-08
"Rv0004" "Rv0004" "." 275.530062917067 -1.67489871671297 0.21688974455865 -1.62742774255684 0.214744002558168 -7.72235091207851 1.14203462764589e-14 6.606517823726e-14
"Rv0005" "Rv0005" "gyrB" 12197.1035057647 0.553317440589925 0.187453078989267 0.539866559821904 0.185283023608684 2.9517650154021 0.0031596328025768 0.00576751324777479
"Rv0006" "Rv0006" "gyrA" 7266.05769514185 -0.846987177967307 0.130792213853745 -0.837053784503453 0.130077227055533 -6.47582262744193 9.42967680088582e-11 3.87013787859514e-10
"Rv0007" "Rv0007" "." 959.385004759797 -1.54550956253451 0.218489362168226 -1.5000698195835 0.216077751065874 -7.07361469317002 1.5094905020266e-12 7.35687933425212e-12
"Rv0008c" "Rv0008c" "." 139.097616363871 1.25520364744151 0.251415985856577 1.20478783557831 0.247105277800372 4.99253714184092 5.95912492184793e-07 1.72363709720216e-06
"Rv0009" "Rv0009" "ppiA" 1497.85970760366 -0.338014219777656 0.202220102657035 -0.328183115841398 0.199459563194257 -1.67151640878616 0.0946197203835908 0.130318733978331
"Rv0010c" "Rv0010c" "." 440.071078076137 0.608200039766208 0.212463041336785 0.58942905853115 0.209334806708496 2.86261570925234 0.00420159815787668 0.00755628746197472
"Rv0011c" "Rv0011c" "." 523.275599677886 0.566883421987946 0.319609876925702 0.528780966383184 0.309176638915204 1.77367303989709 0.0761172483970184 0.107179903033577
"Rv0012" "Rv0012" "." 751.730859805756 1.60849104161168 0.20616001000254 1.56669835464093 0.204223449726822 7.80214863974765 6.08618993354218e-15 3.61738636446356e-14
"Rv0013" "Rv0013" "trpG" 512.084119586303 0.767525906754827 0.180251588249368 0.750528002512012 0.178360805387915 4.25808124194168 2.06189021292894e-05 5.03085728423651e-05
"Rv0014c" "Rv0014c" "pknB" 1476.26247901892 -1.16331100735646 0.174975481065869 -1.13989549636712 0.17344932309227 -6.64842296915042 2.96249953351692e-11 1.28199619103024e-10
"Rv0015c" "Rv0015c" "pknA" 1217.94271737461 -0.700598315413924 0.248110498208874 -0.67167759416819 0.243231639369026 -2.82373507155719 0.00474676030254229 0.00843171681986898
"Rv0016c" "Rv0016c" "pbpA" 1076.41639954947 -0.921649041985075 0.14849560367241 -0.907859205672853 0.147474023298495 -6.20657460013622 5.41519211683375e-10 2.07201511909076e-09
"Rv0017c" "Rv0017c" "rodA" 873.398043958249 -0.829347944872492 0.207728106727173 -0.805268013025491 0.204893561360063 -3.99246860686862 6.53889918943688e-05 0.000149707386609597
"Rv0018c" "Rv0018c" "pstP" 1740.6800073994 0.28389936270676 0.15846093426656 0.278662377934935 0.15714560315661 1.79160475116971 0.0731963015299392 0.103478020183188
"Rv0019c" "Rv0019c" "fhaB" 862.188932924833 0.505835020088252 0.208310149145586 0.490656186308799 0.205346018158119 2.42827832519446 0.0151706960385023 0.0246357950246232
"Rv0020c" "Rv0020c" "fhaA" 5767.37474769621 0.473086210893766 0.2299862381025 0.455832532363138 0.22599560257696 2.05701964951017 0.0396843357936824 0.0592378350917181
"Rv0021c" "Rv0021c" "." 129.524981187562 -0.816911698132706 0.270631133419662 -0.777499285307571 0.264466403675923 -3.01854294371202 0.00253993401235447 0.00470460936540146
"Rv0022c" "Rv0022c" "whiB5" 6.57818282888772 -1.64357309133514 1.18032518863247 -0.890605244123436 0.890508355587306 -1.39247480877654 0.163778664826306 0.213855664486861
"Rv0023" "Rv0023" "." 185.384001168359 -0.989561899242142 0.259086550782696 -0.946258955435888 0.253885302072615 -3.81942596500163 0.000133762598785843 0.000293329793400452
"Rv0024" "Rv0024" "." 311.969197290914 -0.475180164640494 0.217237217654086 -0.45965694126105 0.213873060926536 -2.18737916905721 0.0287148555758571 0.0441828026402
"Rv0025" "Rv0025" "." 161.775727597404 0.138454767540175 0.247876372858008 0.132389860507979 0.242453385499154 0.558563795103968 0.576459454672636 0.640528758554748
"Rv0026" "Rv0026" "." 300.716245903743 -0.269711729621997 0.184857817813759 -0.262995807616428 0.182714386892344 -1.45902257644157 0.144558893977268 0.191582300345809
"Rv0027" "Rv0027" "." 93.8951828143025 0.430313297951453 0.29212144706182 0.405543254067446 0.283925838349881 1.47306300951052 0.140734046484296 0.186830795792397
"Rv0028" "Rv0028" "." 74.1024357133733 1.22842481036759 0.328741941582114 1.1463443646041 0.319116335214171 3.73674501177318 0.000186417796398836 0.000401273843445747
"Rv0029" "Rv0029" "." 372.635288925686 0.838345814438852 0.174331218115257 0.821046446781653 0.172646325869614 4.80892535199629 1.51743854471088e-06 4.21102696500194e-06
"Rv0030" "Rv0030" "." 54.9033755955156 1.19601221680524 0.334238872123718 1.11331284261346 0.32400762173189 3.5783157392972 0.0003458155383676 0.000721277227406543
"Rv0032" "Rv0032" "bioF2" 89.1197452549527 -0.994519238499388 0.316115649194802 -0.931262512230375 0.306830785160791 -3.14606138934466 0.00165485266762264 0.00315206182269696
"Rv0034" "Rv0034" "." 8.12417248003739 -1.85090326177504 1.18978028698473 -1.00271449080794 0.903722578883549 -1.55566811958685 0.119787031221013 0.16132975292944
