"C5_Fe_NO_1" "C5_Fe_NO_2" "C5_Fe_YES_1" "C5_Fe_YES_2" "C6_Fe_NO_1" "C6_Fe_NO_2" "C6_Fe_YES_1" "C6_Fe_YES_2"
"Rv0009" 1.25363875424749 0.713828897437099 -0.0498349935849154 0.1364420406725 -0.95025051112968 -1.01721714055491 0.223821317576862 -0.310428364664446
"Rv0014c" 0.979867683266218 0.59343018539306 0.302216684945777 0.597931857066749 -0.57346522483879 -0.999832643820489 -0.316875185351736 -0.58327335666079
"Rv0015c" 0.670895150626412 0.780369247049733 -0.165962119161826 0.589321811708731 -1.01751917244995 -0.433745225226194 -0.261641789647419 -0.161717902899485
"Rv0023" 1.04567630789112 1.21393786029137 0.200523145280854 0.515360759989538 -1.39082277635679 -0.868791391825704 -0.153627208572552 -0.562256696697841
"Rv0072" 0.874255202114623 0.435079481278205 0.107207153470902 0.421236160472017 -0.520542329612627 -0.788792353780201 -0.102474706198196 -0.425968607744723
"Rv0073" 1.14688167814949 1.01987286123968 0.614767524555102 0.853425627164135 -1.03880005127775 -1.12795448811142 -0.492636706716514 -0.975556445002724
"Rv0102" 0.750884268110515 0.529048883804431 0.0960082329329213 0.510859003049374 -0.736582129646291 -0.543351022268657 -0.328214083305995 -0.278653152676301
"Rv0167" 1.04851605898481 0.785633171141122 0.43997547869751 0.636017204895353 -0.746101768671353 -1.08804746145458 -0.247128829999332 -0.828863853593529
"Rv0170" 1.54306924744024 1.02395017749302 0.699955381393518 0.867462131359614 -1.0968583611236 -1.47016106380966 -0.623886654200574 -0.943530858552556
"Rv0171" 1.17626421643846 1.00476236395437 0.487394044590475 0.872824580556645 -1.08420815094397 -1.09681842944887 -0.692337131939035 -0.667881493208086
"Rv0172" 1.26267000866522 0.981490001347034 0.44422300269453 0.752863587699154 -1.32009244673943 -0.924067563272832 -0.515633117845197 -0.681453472548488
"Rv0173" 1.62164606230074 1.18864887488017 0.611551152999787 0.868467329336235 -1.36566982308677 -1.44462511409413 -0.451659258464635 -1.02835922387139
"Rv0174" 1.57549745460278 1.0996894383043 0.64316604368824 0.800702881649 -1.29937575618363 -1.37581113672345 -0.572273798118927 -0.871595127218311
"Rv0175" 0.680849672877428 0.426636612095936 0.121596380778202 0.429438477551174 -0.520531555873884 -0.586954729099479 -0.211166854499452 -0.339868003829923
"Rv0176" 1.34428969430832 1.22441526662073 0.607836309746999 0.982840968930764 -1.26853060865881 -1.30017435227024 -0.864767792927484 -0.72590948575028
"Rv0178" 0.968890698577011 0.638746529509151 0.383180424488385 0.548026550304251 -0.890379425505446 -0.717257802580715 -0.283959771328434 -0.647247203464202
"Rv0200" 1.47024305171098 1.35254099513089 0.547430538938846 0.764864118230642 -1.59217537958985 -1.23060866725201 -0.962804988578009 -0.349489668591479
"Rv0221" 1.10312724377475 0.798487103350703 0.517231360801782 0.769812027068947 -0.826975047464329 -1.07463929966112 -0.519439285969344 -0.767604101901386
"Rv0228" 0.911532007900685 0.881891158409379 0.166746624966621 0.545534459567399 -1.26571606630709 -0.527707100002978 -0.441600300471762 -0.270680784062259
"Rv0235c" 1.0528466535036 0.857832584210646 -0.0291941118789798 0.200637744086507 -1.40986687267729 -0.500812365036956 -0.0661128532734909 -0.105330778934037
"Rv0310c" 1.54866717531783 1.14301414402093 -0.168124073451112 0.257400334784087 -1.45442906117072 -1.23725225816805 -0.118520060866036 0.029243799533061
"Rv0338c" 1.27841735643578 0.90758123710521 0.278219912971604 0.54893270916712 -1.25775204832327 -0.928246545217725 -0.356289656557986 -0.47086296558074
"Rv0418" 1.58622179388871 1.20380918211566 0.868364207569576 1.1005747432284 -1.55252755120259 -1.23750342480178 -1.06461949011064 -0.90431946068733
"Rv0432" 1.24150759937241 0.872647930972267 0.41606760140096 0.471412345143729 -0.673064667637713 -1.44109086270697 -0.366025171788281 -0.521454774756407
"Rv0463" 1.28978469217643 0.990982479210323 0.284571833038391 0.21002963134453 -1.24897198719471 -1.03179518419204 0.042384630012247 -0.536986094395169
"Rv0504c" 0.730046767710317 0.380663591667781 -0.271532114053023 0.110929296327962 -1.25846049338539 0.147750134007293 0.188081484112588 -0.0274786663875268
"Rv0505c" 0.296709290934831 0.393072711627273 -0.290748730506069 0.171137354099119 -0.363193279961474 -0.326588722600627 0.206749614070642 -0.0871382376636936
"Rv0524" 0.266752393868478 0.438112829482379 -0.286386452179658 0.0983675785591078 -0.127983233343702 -0.576881990007155 0.0134520537295 0.174566819891051
"Rv0525" 1.05384731968179 1.28331782076082 0.0034653520018777 0.441101852540409 -0.798705332668579 -1.53845980777403 -0.404460305925981 -0.0401068986163056
"Rv0526" 1.15916407898435 1.46209917392259 0.204515436070546 0.966949971480069 -1.18773403978353 -1.43352921312341 -0.835556784010886 -0.33590862353973
"Rv0527" 1.34590916377357 1.77882526296722 0.545277453051877 1.22688538215041 -1.56584676117656 -1.55888766556423 -1.10152751770422 -0.67063531749806
"Rv0528" 1.19220426768841 1.48317730667112 0.307570730981523 1.16673022242068 -1.25376672357489 -1.42161485078463 -0.920876448116807 -0.553424505285393
"Rv0529" 1.07620940094287 1.24218002901519 0.3597908836824 0.99555051888863 -0.962756375638371 -1.35563305431969 -0.524020731275827 -0.831320671295201
"Rv0545c" 1.31254040665713 1.25936296414286 0.546992369516454 0.992611917644087 -1.61795208087458 -0.953951289925414 -0.77584385813594 -0.763760429024598
"Rv0597c" 1.27493022266555 0.896470031432644 0.523023916417024 0.668446801132365 -1.22005367887047 -0.951346575227724 -0.74505703099023 -0.446413686559159
"Rv0598c" 1.04036701198733 0.744499712510179 0.046223209746584 0.322543526914716 -0.952098102051016 -0.832768622446492 -0.078039908041986 -0.290726828619313
"Rv0629c" 0.97262377255605 1.11276414983724 0.165298503958625 0.582068914762636 -1.09113524583912 -0.994252676554167 -0.621821658758786 -0.125545759962476
"Rv0632c" 1.10443280691553 0.761404648304989 0.260637305143258 0.522473784505284 -0.698873425853173 -1.16696402936735 -0.218733193607962 -0.564377896040582
"Rv0696" 1.45894235381264 1.37751594551238 0.845379272992055 1.21623213259704 -1.20539584276302 -1.63106245656201 -1.01056898082354 -1.05104242476556
"Rv0708" 1.12675808691316 0.839995781413389 0.360645094373137 0.76615613627042 -1.29579432012123 -0.67095954820532 -0.439318207355757 -0.6874830232878
"Rv0710" 1.89657512252977 1.74802585265339 0.994035844494563 1.17844005983099 -2.46295405780277 -1.18164691738039 -0.981652610004688 -1.19082329432087
"Rv0783c" 0.854913318778981 0.544900709036049 -0.200707797025268 0.084710783271726 -0.667788947834524 -0.732025079980505 0.0942708156901526 0.021726198063388
"Rv0820" 0.50734439364009 0.240495373511324 -0.0755577055432903 0.150925037339161 -0.177481544235048 -0.570358222916368 0.0621901775427345 -0.137557509338605
"Rv0844c" 0.786305052458378 0.562113345839411 0.220138548659849 0.138975153977857 -0.955885421217248 -0.392532977080541 0.0136435777432276 -0.372757280380934
"Rv0883c" 0.886038776248543 0.658274751749462 0.23420641235041 0.444967438491148 -0.556667001896161 -0.987646526101843 -0.338699328873543 -0.340474521968015
"Rv0896" 1.29246209043668 0.820603913789066 0.48947058459976 0.688956874474856 -0.781134965700929 -1.33193103852482 -0.452104375747306 -0.726323083327308
"Rv0912" 1.13873634956429 0.939854314749052 0.0667649359901761 0.351638918991577 -0.882626375308613 -1.19596428900473 -0.0851195195248553 -0.333284335456898
"Rv0925c" 1.32434571467454 0.872664601217779 0.396102234368865 0.486302762826528 -1.10003115677107 -1.09697915912125 0.0165922398248908 -0.898997237020282
"Rv0928" 1.18337679239076 0.613477055353253 -0.106197692187357 -0.038242671404312 -0.785756207522864 -1.01109764022115 0.150888100661849 -0.00644773707017876
"Rv0929" 1.59683209709135 1.14634939850093 0.415291101268934 0.645786937232262 -1.00847091348066 -1.73471058211162 -0.713997855833323 -0.347080182667874
"Rv0973c" 0.892553855119728 0.822755203858724 0.100904911131458 0.616185475888905 -1.10020953361388 -0.615099525364576 -0.370564146097855 -0.346526240922508
"Rv0994" 0.624669658041245 0.671547692539048 -0.0634348794214485 0.330759287321181 -0.598530760794558 -0.697686589785734 -0.291486128908531 0.0241617210087997
"Rv1016c" 0.909514650797134 0.462418215596652 0.109087115653942 0.216478136936763 -0.794554834698227 -0.577378031695559 0.0106419191003715 -0.336207171691078
"Rv1092c" 1.4608243036139 1.18051539461387 0.660721482240595 0.921760505427132 -1.54976230036712 -1.09157739786065 -0.560536566306712 -1.02194542136102
"Rv1098c" 1.51855845761913 1.1179569591615 0.835068094832795 0.965504430362982 -1.63775944236239 -0.998755974418238 -0.783640492872633 -1.01693203232314
"Rv1122" 0.928890862605223 0.716738182957414 0.368318227657843 0.47697448559574 -0.931402924282653 -0.714226121279985 -0.456133413273132 -0.389159299980451
"Rv1127c" 0.468539311617328 0.239075247668561 -0.19878017894661 0.194433953540387 -0.451941186262787 -0.2556733730231 -0.103262143470287 0.107608368876511
"Rv1129c" 1.78851077596396 1.40873011323754 0.442549170859194 0.693095347351242 -2.28597948459532 -0.911261404606174 -0.33281996589877 -0.802824552311666
"Rv1130" 1.18871253798048 0.77933206438383 -0.183496447700321 0.00651112469131299 -1.72951466810199 -0.238529934262321 0.356659937562007 -0.179674614552997
"Rv1131" 1.3108153411183 0.965511680186756 0.179293098426103 0.370585449753821 -1.71743804716851 -0.558888974136549 -0.0605707433030309 -0.489307804876894
"Rv1132" 1.56739874640464 1.2645299803102 0.650569742081362 0.92325974861421 -1.89303556194186 -0.938893164772985 -0.649157093309287 -0.924672397386285
"Rv1133c" 0.642883427928954 0.805326533935684 -0.307261639319403 0.298067088551724 -0.889684419533447 -0.558525542331193 -0.177588760568533 0.186783311336212
"Rv1140" 0.849892347693097 0.384958180385973 -0.0859782464761683 0.148589805120195 -0.478351021422629 -0.756499506656441 -0.00904540980181867 -0.0535661488422088
